NQUEST,ENTEPEN,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE,NORD
23469,2,1,1994,1750,13,1,3000,82,1
23469,1,1,1962,600,13,2,0,,3
23469,2,4,1972,900,13,2,0,,3
23473,1,1,1992,2667,13,2,0,85,1
23474,2,1,1988,5500,13,2,0,90,1
23490,1,1,1996,2100,13,2,0,80,1
23527,1,1,1989,1700,13,2,0,30,1
23527,1,4,1996,600,13,2,0,,1
23681,1,1,1989,2300,13,2,0,80,1
23689,1,1,1995,1600,13,2,0,75,1
23798,1,1,1997,1200,13,1,12000,100,1
23821,1,1,1993,1230,12,2,0,40,1
23823,1,1,1990,1800,12,2,0,40,1
23853,1,1,1984,1800,13,2,0,80,1
23853,3,1,1984,500,13,2,0,30,1
23951,1,1,1996,400,13,2,0,1,1
23951,3,1,1984,1900,13,2,0,65,2
23986,1,1,1995,1170,13,2,0,50,1
24010,2,1,1996,2300,13,2,0,90,1
24085,1,1,1993,700,13,2,0,80,1
24116,1,1,1992,1500,13,2,0,70,1
24116,1,1,1988,700,13,2,0,40,2
24132,2,1,1990,1800,13,2,0,80,1
24149,1,1,1985,700,13,2,0,50,1
24158,1,1,1987,820,13,2,0,40,1
24158,1,1,1991,1000,13,2,0,70,2
24195,1,1,1997,1750,13,2,0,95,2
24202,1,1,1989,2100,13,2,0,80,1
24202,2,1,1995,2300,13,2,0,70,2
24308,2,1,1992,4500,13,1,7500,100,1
24308,1,1,1996,650,13,2,0,50,2
24316,1,1,1965,700,13,2,0,50,2
24326,1,1,1977,1250,13,2,0,80,1
24326,1,1,1978,1200,13,2,0,80,2
24373,1,1,1997,1000,13,2,0,30,1
24374,1,1,1979,800,13,2,0,10,1
24374,1,2,1971,706,13,2,0,,2
24379,2,4,1997,1200,13,2,0,,1
24390,1,1,1998,2400,13,2,0,10,1
24393,2,1,1976,1600,13,2,0,50,1
24393,1,1,1990,680,13,2,0,40,2
24434,4,3,1982,336,12,2,0,,1
24435,1,1,1971,750,13,2,0,10,1
24435,1,3,1976,700,13,2,0,,2
24438,2,1,1984,1200,13,2,0,30,1
24438,1,1,1985,750,13,2,0,30,2
24446,3,1,1982,2114,13,2,0,80,1
24566,6,3,1973,2500,12,2,0,,2
24571,1,1,1991,800,13,2,0,80,1
24571,1,3,1985,400,13,2,0,,1
24571,1,1,1985,180,12,2,0,,1
24571,1,1,1986,770,13,2,0,60,2
24613,1,1,1978,1600,13,2,0,80,1
24616,1,1,1995,1550,13,2,0,95,1
24619,1,1,1994,1084,12,2,0,40,1
24619,1,1,1998,838,9,2,0,1,2
24624,1,2,1965,700,13,2,0,,4
24624,1,3,1965,700,12,2,0,,4
24633,1,1,1994,1500,13,2,0,80,1
24635,1,2,1980,400,13,2,0,,2
24635,1,4,1996,450,13,2,0,,2
24646,1,4,1994,700,13,2,0,,1
24655,1,1,1995,1000,13,2,0,90,1
24724,1,4,1975,800,12,2,0,,1
24727,2,1,1996,1500,13,2,0,60,1
24727,2,4,1996,1100,12,2,0,,1
24731,2,1,1989,1400,13,2,0,60,1
24731,2,1,1980,1100,13,2,0,60,2
24809,1,1,1990,1650,13,2,0,90,2
24835,3,1,1995,2000,13,2,0,92,1
24835,3,1,1996,1700,13,2,0,88,2
24885,1,4,1994,600,14,2,0,,1
24909,1,1,1976,1000,13,2,0,60,1
24909,2,1,1981,1500,13,2,0,80,1
24909,1,1,1995,500,13,2,0,,2
24920,1,1,1953,1725,13,2,0,80,1
24920,1,4,1979,494,13,2,0,,1
24921,2,1,1969,2500,13,2,0,90,1
24967,3,1,1982,2500,13,2,0,85,1
24967,1,6,1982,145,13,2,0,,1
24979,1,1,1996,1100,13,2,0,50,1
24979,1,1,1998,530,13,2,0,50,2
25007,2,1,1987,2000,13,2,0,67,1
25007,1,1,1989,698,13,2,0,50,2
25079,2,1,1997,2400,13,1,67000,20,1
25085,1,1,1987,1600,13,2,0,80,1
25087,1,1,1995,1200,13,2,0,70,1
25090,1,1,1995,1300,13,2,0,70,1
25134,2,1,1982,2300,13,2,0,50,1
25138,3,1,1981,700,13,2,0,10,6
25141,1,4,1997,760,13,2,0,,2
25142,1,1,1978,1600,13,2,0,150,2
25142,4,4,1995,560,13,2,0,,2
25142,3,4,1995,1000,13,2,0,,2
25238,1,1,1998,1640,13,2,0,85,1
25309,1,4,1986,700,13,2,0,,1
25309,1,2,1996,280,12,2,0,,1
25373,1,1,1980,1900,13,2,0,80,1
25373,1,1,1989,670,13,2,0,10,2
25625,1,1,1985,700,12,2,0,70,1
25649,1,1,1980,2300,13,2,0,90,1
25727,1,1,1955,470,12,2,0,50,3
25727,1,4,1991,970,12,2,0,,3
25887,1,1,1982,1400,13,1,1000,60,1
25887,7,4,1995,300,13,2,0,,1
25897,1,1,1993,1000,13,2,0,30,1
25914,2,1,1987,3300,13,2,0,90,1
25927,1,4,1983,830,13,2,0,,1
25928,1,4,1980,800,13,2,0,,1
25928,1,2,1983,200,13,2,0,,1
25964,1,1,1996,700,12,2,0,50,1
25964,1,1,1995,850,12,2,0,1,2
25968,1,1,1993,2150,13,2,0,80,1
25970,1,1,1980,1490,12,2,0,70,1
25974,1,1,1990,2300,13,2,0,90,1
25978,1,1,1980,1900,12,2,0,70,1
26006,1,1,1982,1700,13,2,0,74,1
26020,1,1,1982,700,13,2,0,50,1
26020,1,3,1982,350,13,2,0,,1
26048,3,1,1995,5000,13,2,0,90,1
26161,1,1,1978,750,12,2,0,40,5
26210,1,1,1998,2419,9,2,0,93,1
26264,1,4,1988,1600,13,2,0,,1
26264,1,2,1987,600,13,2,0,,1
26281,2,4,1978,1400,13,2,0,,1
26281,1,1,1978,250,13,2,0,30,1
26310,1,1,1997,2160,13,2,0,80,1
26349,1,1,1988,2300,12,2,0,80,1
26349,1,1,1993,690,13,2,0,30,2
26357,3,1,1997,1700,13,2,0,90,1
26441,1,1,1987,3500,13,2,0,70,1
26441,5,6,1987,1000,13,2,0,,1
26441,3,1,1980,1400,13,2,0,40,2
26499,1,4,1984,700,13,2,0,,1
26641,1,3,1994,400,13,2,0,,2
26641,1,3,1994,500,13,2,0,,5
26653,1,1,1996,133,13,2,0,10,1
26653,2,4,1989,1300,13,2,0,,1
26875,2,1,1976,2450,13,2,0,30,1
26875,1,1,1983,800,13,2,0,1,1
26926,1,1,1970,700,13,2,0,50,1
26935,1,1,1994,1200,13,2,0,80,2
27105,3,1,1996,1800,13,2,0,100,1
27108,1,1,1984,600,13,2,0,60,6
27108,1,4,1998,450,13,2,0,,6
27108,2,4,1998,930,13,2,0,,6
27109,3,4,1997,1300,13,2,0,,1
27114,1,6,1990,600,12,2,0,,1
27114,1,2,1985,600,12,2,0,,2
27116,1,1,1996,1600,12,2,0,80,1
27154,1,1,1979,1300,13,2,0,70,1
27154,1,2,1991,300,13,2,0,,2
27178,1,1,1973,2300,13,2,0,80,1
27291,1,1,1973,600,12,2,0,50,1
27291,1,4,1996,200,12,2,0,,1
27298,4,3,1994,97,12,2,0,,1
27299,1,1,1996,1950,13,2,0,50,1
27371,1,1,1995,700,13,2,0,20,1
27503,1,1,1976,1400,13,2,0,60,1
27503,1,3,1985,600,13,2,0,,1
27503,1,4,1977,500,13,2,0,,1
27505,1,1,1996,2000,13,2,0,80,1
27509,1,1,1991,1700,13,2,0,80,1
27509,1,1,1989,700,13,2,0,60,2
27644,1,1,1994,1750,13,2,0,54,2
27730,1,1,1996,2100,13,2,0,95,1
27739,1,4,1990,560,13,2,0,,1
27741,1,1,1996,1050,13,2,0,1,2
27742,1,1,1990,700,13,2,0,1,2
27744,1,1,1991,820,13,2,0,1,1
27795,1,1,1998,1330,13,2,0,60,1
27795,1,1,1997,1650,13,2,0,80,2
27795,1,1,1962,1480,13,2,0,80,4
27799,1,1,1998,1100,13,1,1000,60,1
27881,1,1,1984,1500,13,2,0,90,1
27929,2,1,1994,2500,13,2,0,80,1
27929,2,4,1997,600,13,2,0,,1
27930,2,1,1993,2200,13,2,0,80,1
27930,2,1,1998,2000,13,2,0,70,2
27947,1,1,1993,1200,13,2,0,60,1
27947,4,3,1977,850,13,2,0,,2
28012,1,1,1981,1600,13,2,0,70,1
28012,1,2,1981,600,13,2,0,,2
28075,1,1,1996,1400,13,2,0,80,1
28075,1,1,1996,1200,13,2,0,,2
28125,1,1,1982,1350,13,2,0,70,1
28125,1,1,1984,680,13,2,0,80,2
28146,7,1,1986,2500,13,2,0,80,1
28146,7,7,1990,600,12,2,0,,4
28221,3,1,1991,2700,12,2,0,10,1
28221,3,4,1995,685,12,2,0,,1
28303,1,1,1995,2190,12,1,220,95,1
28306,1,3,1963,1800,12,2,0,,1
28306,1,1,1963,429,13,2,0,1,1
28331,1,1,1980,700,13,2,0,100,1
28331,1,1,1984,700,13,2,0,,2
28332,4,3,1977,752,12,2,0,,1
28332,1,1,1977,693,13,2,0,43,2
28346,1,1,1988,640,13,2,0,100,1
28346,1,4,1998,600,5,2,0,,1
28354,2,1,1975,2300,13,2,0,90,1
28354,2,1,1989,2300,13,2,0,90,2
28360,1,3,1977,1430,13,2,0,,1
28362,1,1,1988,3800,13,1,1000,77,1
28362,1,4,1993,500,13,2,0,,1
28439,1,1,1995,1000,13,2,0,90,1
28444,1,1,1989,1500,13,2,0,50,1
28446,1,1,1992,1900,13,2,0,80,1
28446,3,1,1991,2200,13,2,0,90,2
28448,1,1,1994,1500,13,2,0,70,1
28859,1,1,1992,900,13,2,0,150,1
28859,4,3,1980,700,13,2,0,,2
28920,3,1,1975,2300,13,2,0,50,1
28920,3,1,1976,2200,13,2,0,50,2
28923,1,1,1998,2000,13,2,0,80,2
28924,1,1,1986,857,13,2,0,70,1
28932,1,4,1993,1200,13,2,0,,2
28935,1,1,1969,600,13,2,0,40,1
28935,1,4,1970,50,13,2,0,,1
28936,1,4,1972,1250,13,2,0,,1
28945,3,1,1990,2450,13,2,0,80,1
28945,3,1,1990,2000,13,2,0,85,2
28954,2,4,1994,2000,13,2,0,,1
28992,3,1,1990,3000,13,2,0,80,1
28999,2,1,1981,2400,13,2,0,80,1
29140,1,3,1971,298,13,2,0,,1
29280,1,1,1974,700,13,2,0,30,3
29280,1,4,1998,300,13,2,0,,3
29286,1,1,1995,650,13,2,0,30,1
29288,1,1,1989,700,13,2,0,70,1
29333,1,4,1989,700,13,2,0,,1
29341,1,1,1997,2500,13,2,0,25,1
29362,1,1,1984,675,13,2,0,25,1
29362,1,4,1995,880,13,2,0,,1
29362,1,1,1968,428,13,2,0,10,2
29421,1,1,1980,700,13,2,0,,1
29421,1,1,1983,689,13,2,0,100,2
29463,3,1,1970,1500,13,2,0,80,3
29463,1,4,1970,400,13,2,0,,3
29463,1,4,1970,80,13,2,0,,3
29464,3,1,1982,2100,13,2,0,80,1
29464,3,1,1982,600,14,2,0,50,1
29464,3,1,1997,2100,13,2,0,80,2
29553,1,1,1988,1100,13,2,0,15,1
29570,1,4,1980,1200,13,2,0,,1
29601,1,1,1974,650,13,2,0,30,3
29601,1,4,1974,250,13,2,0,,3
29678,2,1,1996,1713,13,2,0,80,1
29735,1,1,1984,830,13,2,0,30,1
29742,4,3,1989,350,13,2,0,,3
29774,1,4,1981,1000,13,2,0,,1
29777,1,1,1995,900,13,2,0,70,1
29798,2,1,1993,2074,13,2,0,88,1
29798,1,3,1972,680,13,2,0,,2
29805,1,1,1997,2200,13,2,0,80,1
29823,2,1,1985,2300,13,2,0,80,1
31025,1,1,1970,696,12,2,0,60,2
31041,1,1,1994,800,13,2,0,50,1
31041,5,6,1989,500,12,2,0,,2
31051,1,1,1976,1600,1,2,0,70,1
31066,1,1,1995,1950,1,2,0,85,1
31084,1,1,1996,1280,13,1,40000,33,1
31084,1,1,1994,685,13,2,0,15,2
31085,1,1,1993,2350,13,2,0,90,1
31090,1,3,1993,1100,13,2,0,,1
31116,1,1,1983,2000,13,2,0,90,1
31118,1,1,1990,1200,13,2,0,70,1
31118,3,5,1989,1000,12,2,0,,1
31144,1,1,1968,950,12,2,0,40,1
31144,4,3,1975,1100,12,2,0,,1
31180,1,1,1982,1339,13,2,0,85,1
31183,1,1,1996,1600,13,2,0,90,2
31191,1,1,1987,1500,13,2,0,90,1
31191,1,2,1985,500,13,2,0,,2
31205,7,3,1991,,13,2,0,,3
31219,1,1,1991,600,13,2,0,99,1
31219,1,4,1977,220,13,2,0,,1
31220,1,1,1985,1500,13,2,0,80,1
31221,1,1,1982,1500,13,2,0,80,1
31221,1,4,1982,500,13,2,0,,2
31221,1,3,1997,350,13,2,0,,2
31222,1,1,1980,880,13,2,0,70,1
31223,2,1,1991,2800,13,2,0,95,1
31223,4,3,1993,750,12,2,0,,1
31223,1,6,1979,160,13,2,0,,1
31223,3,1,1974,2500,13,2,0,95,2
31227,1,1,1985,1200,12,2,0,50,1
31227,1,1,1985,1200,12,2,0,60,2
31273,1,1,1994,1500,13,2,0,,1
31273,1,1,1989,1100,13,2,0,,2
31302,1,1,1982,600,13,2,0,,1
31302,1,1,1980,600,13,2,0,,2
31308,1,1,1993,700,13,2,0,,1
31308,2,4,1994,1000,13,2,0,,1
31309,7,7,1998,389,13,2,0,,2
31309,1,4,1983,1000,13,2,0,,5
31311,1,1,1966,750,13,2,0,90,1
31311,1,3,1965,320,13,2,0,,1
31311,1,1,1970,700,13,2,0,50,2
31313,1,1,1987,900,13,2,0,1,1
31313,1,1,1960,700,13,2,0,1,2
31313,1,1,1994,700,13,2,0,11,3
31313,1,1,1991,1200,13,2,0,70,3
31313,1,1,1991,1200,13,2,0,70,4
31334,1,1,1981,1800,12,2,0,70,1
31334,1,4,1990,1100,12,2,0,,1
31341,1,1,1981,1453,13,2,0,75,1
31341,1,1,1998,1335,13,2,0,70,2
31342,1,1,1976,1000,13,2,0,40,1
31342,1,2,1979,500,13,2,0,,2
31344,1,1,1973,600,13,1,2000,30,1
31344,2,4,1990,2300,13,2,0,,1
31354,2,1,1976,1000,13,2,0,70,1
31354,2,5,1946,400,12,2,0,,1
31354,1,4,1960,100,13,2,0,,1
31360,1,1,1979,600,13,2,0,140,1
31360,1,4,1989,390,13,2,0,,1
31370,1,1,1975,650,13,2,0,100,5
31370,1,3,1975,150,13,2,0,,5
31370,1,1,1976,650,13,2,0,100,6
31372,1,1,1995,1200,13,2,0,80,1
31373,1,1,1993,680,13,2,0,,1
31373,1,3,1980,720,13,2,0,,2
31374,1,1,1974,770,13,2,0,15,1
31382,1,1,1977,1400,13,1,3500,70,1
31382,1,4,1994,310,12,2,0,,1
31383,1,1,1991,2200,13,2,0,75,1
31383,1,1,1991,688,13,2,0,70,2
31403,1,1,1991,1100,13,2,0,80,1
31403,1,3,1963,700,13,2,0,,2
31413,1,1,1989,2000,13,2,0,80,1
31414,7,1,1988,3900,13,2,0,50,1
31414,2,1,1968,1400,13,2,0,50,2
31416,1,1,1997,5000,2,2,0,1,1
31420,1,1,1997,1200,13,2,0,,1
31420,1,4,1997,1200,13,2,0,,1
31424,1,1,1948,280,13,2,0,50,1
31424,1,4,1973,1200,13,2,0,,1
31435,1,1,1997,1800,13,2,0,90,1
31439,1,1,1991,1250,13,2,0,50,1
31448,1,1,1991,2700,13,2,0,90,1
31448,1,1,1991,2000,13,2,0,80,2
31449,1,4,1975,600,13,2,0,,1
31456,2,4,1990,1500,12,2,0,,1
31458,1,4,1974,1200,12,2,0,,1
31461,1,1,1978,1500,12,2,0,60,1
31462,1,1,1979,800,12,2,0,50,1
31466,1,4,1987,706,12,2,0,,1
31467,1,4,1994,1000,12,2,0,,1
31467,1,1,1981,200,12,2,0,50,1
31473,1,1,1996,1500,12,2,0,70,1
31473,1,3,1973,700,12,2,0,,2
31537,1,1,1981,606,13,2,0,1,1
31537,2,1,1976,1500,13,2,0,100,2
31556,1,1,1992,1035,13,2,0,65,1
31561,1,1,1997,2000,13,2,0,73,1
31569,1,4,1985,1350,13,2,0,,1
31586,1,1,1976,190,13,2,0,2,1
31586,2,1,1981,2200,13,2,0,94,1
31586,1,1,1973,908,13,2,0,80,2
31603,1,1,1997,2000,13,2,0,20,1
31603,1,4,1970,750,13,2,0,,5
31603,3,3,1998,700,12,1,10000,,5
31610,2,1,1979,1100,13,2,0,80,1
31610,1,4,1978,500,13,2,0,,1
31625,1,4,1978,1100,13,2,0,,2
31637,7,4,1989,1687,13,2,0,,1
31652,2,1,1994,1600,12,2,0,70,1
31652,2,1,1993,1400,12,2,0,60,2
31663,2,1,1995,1200,12,2,0,60,2
31665,1,1,1995,700,13,2,0,30,2
31666,1,4,1989,620,13,2,0,,1
31680,1,4,1992,1000,13,2,0,,1
31682,1,1,1992,2000,13,2,0,75,1
31690,1,1,1975,650,13,2,0,70,1
31690,1,4,1981,130,13,2,0,,1
31693,1,4,1977,700,13,2,0,,1
31701,1,1,1998,1700,13,2,0,60,1
31707,1,3,1955,1000,13,2,0,,1
31707,3,2,1990,400,13,2,0,,2
31708,3,1,1997,2000,13,2,0,90,2
31710,3,1,1972,2134,13,2,0,85,1
31710,1,1,1972,20,13,2,0,4,1
31716,1,1,1996,1000,13,2,0,40,1
31735,1,1,1995,1600,13,1,200,80,1
31735,1,1,1990,700,13,2,0,70,2
31737,1,1,1991,1050,13,2,0,70,1
31737,1,1,1991,1250,13,2,0,70,2
31741,1,1,1998,700,13,2,0,80,1
31741,1,4,1985,700,13,2,0,,1
31751,3,1,1990,1000,13,2,0,35,2
31757,1,4,1988,1036,13,2,0,,1
31762,1,1,1975,1800,13,2,0,74,1
31762,1,1,1980,709,13,2,0,80,2
31762,1,3,1981,409,12,2,0,,2
31798,1,1,1996,1300,13,2,0,60,1
31799,3,1,1995,2250,13,2,0,84,1
