NQUEST,GODABIT,UNIPRO,QUOPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,POSS,IMPACQ,MUTUOAB,TMUTUOAB,MUTUOAG,AGEV1,AGEV2,AGEV3,AGEV4,AGEV5,MUTUOIN,MUTUODU,MUTUOVA1,MUTUOVA2,MUTUOVA3,MUTUOVA4,TIPOTAX,TFITTO,TIPOAFF,PROPRIET,ANABIT,TFITIMP,UBIC1,UBIC2,CATABIT,SUPAB,ANCOSTR,RISTRUT,BAGNI,RISCALD,VALABIT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,VENDIM,NVENDIM,ANTIC,ANTICIPI,MANSTRA,TMANSTRA,TAXFIS,TAXVAR
3203,1,1,,1962,1,,,,,,2,4500,,,,,,,,,,,,,,,,,,,,1000,3,3,3,75,1962,1,1,1,250000,1,1,1,2,2,,2,,2,,1,30000,2,,,
3299,2,,,,,,,,,,,,,,,,,,,,,,,,,,,425,6,4,1976,,3,3,3,110,1965,1,1,1,150000,2,,2,,2,,2,,2,,2,,,,,
3663,1,1,,1948,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,700,2,1,2,110,1800,2,1,1,300000,2,,2,,2,,2,,2,,2,,2,,,
3717,2,,,,,,,,,,,,,,,,,,,,,,,,,,,545,1,1,1996,,4,1,2,150,1960,2,1,1,400000,2,,2,,2,,2,,2,,2,,,,,
3905,1,1,,1978,1,2,,,,,6,0,,,,,,,,,,,,,,,,,,,,1500,3,1,2,125,1978,2,2,1,450000,2,,2,,1,1,2,,2,,2,,2,,,
4236,2,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1,1,1992,,3,3,3,40,1900,2,1,2,80000,2,,2,,2,,2,,2,,2,,,,,
4238,1,1,,1975,2,,,,,,1,10000,,,,,,,,,,,,,,,,,,,,700,4,1,3,50,1890,2,1,1,200000,1,1,2,,2,,2,,2,,2,,2,,,
4266,1,1,,1990,1,2,,,,,1,35000,1,8400,2,,,,,,45000,10,,,,,2,,,,,2000,4,1,3,120,1910,2,2,1,400000,1,1,2,,2,,2,,2,,2,,2,,,12.5
4297,1,1,,1962,1,,,,,,6,5000,,,,,,,,,,,,,,,,,,,,1000,6,3,3,110,1962,1,2,1,350000,2,,2,,2,,2,,2,,2,,2,,,
4370,1,1,,1989,1,2,,,,,6,400000,1,3400,1,0,0,0,0,0,20000,10,,,,,2,,,,,2500,3,3,3,250,1989,2,2,1,1400000,2,,2,,2,,2,,2,,2,,1,700,,7.3
4732,1,1,,1987,1,,,,,,1,40000,,,,,,,,,,,,,,,,,,,,500,4,1,3,140,1940,1,1,1,100000,2,,2,,2,,2,,2,,2,,1,2000,,
4939,1,1,,1970,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,500,2,3,4,200,1953,2,2,2,200000,1,1,2,,2,,2,,2,,2,,1,2000,,
5027,1,1,,1987,1,2,,,,,1,43000,,,,,,,,,,,,,,,,,,,,300,4,3,4,100,1884,2,1,2,60000,2,,2,,2,,2,,2,,2,,2,,,
5028,2,,,,,,,,,,,,,,,,,,,,,,,,,,,325,1,1,1979,,4,1,3,100,1700,2,1,2,300000,2,,2,,2,,2,,2,,2,,,,,
5416,2,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2,1,1985,,3,3,4,90,1979,2,1,1,180000,2,,2,,2,,2,,2,,2,,,,,
5816,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1998,1000,1,3,2,98,1992,2,2,1,450000,2,,2,,2,,2,,1,1,2,,,,,
6090,1,1,,1960,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,400,3,3,3,80,1945,1,1,1,180000,2,,2,,2,,2,,2,,2,,2,,,
6501,2,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2,2,1971,,3,1,3,46,1960,2,1,1,100000,2,,2,,2,,2,,2,,2,,,,,
6522,1,1,,1998,1,,,,,,3,25000,1,1080,1,0,0,0,1,0,18000,15,,,,,1,,,,,500,2,2,5,54,1947,1,1,1,60000,2,,2,,2,,2,,2,,1,7000,2,,3,
7015,1,1,,1983,1,2,,,,,1,35000,,,,,,,,,,,,,,,,,,,,500,6,3,3,84,1950,2,1,1,200000,1,1,2,,2,,2,,2,,2,,1,20000,,
7089,2,,,,,,,,,,,,,,,,,,,,,,,,,,,400,2,1,1989,,4,3,3,90,1950,2,1,1,150000,2,,2,,2,,2,,2,,2,,,,,
7091,1,1,,1960,1,,,,,,1,1000,,,,,,,,,,,,,,,,,,,,600,1,3,3,96,1880,2,2,1,400000,2,,2,,2,,2,,2,,2,,2,,,
7097,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1987,600,3,3,3,110,1968,2,1,1,300000,2,,2,,2,,2,,2,,2,,,,,
7098,1,1,,1960,1,2,,,,,1,20000,,,,,,,,,,,,,,,,,,,,700,3,1,3,48,1960,1,1,1,150000,2,,2,,2,,2,,2,,2,,1,6000,,
7160,1,1,,1970,1,2,,,,,6,50000,,,,,,,,,,,,,,,,,,,,1000,5,1,3,100,1970,1,1,1,350000,1,4,2,,2,,2,,2,,2,,1,2000,,
7165,1,1,,1979,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,1000,4,3,3,100,1960,2,1,1,400000,2,,2,,2,,2,,2,,2,,2,,,
7166,1,1,,1985,1,2,,,,,1,140000,,,,,,,,,,,,,,,,,,,,1500,3,1,3,140,1984,2,2,1,500000,1,1,1,1,1,2,2,,2,,2,,1,12000,,
7781,1,1,,1957,1,,,,,,6,3500,,,,,,,,,,,,,,,,,,,,300,2,3,4,120,1957,2,1,1,280000,2,,2,,2,,2,,2,,2,,2,,,
7886,1,1,,1985,1,2,,,,,5,,,,,,,,,,,,,,,,,,,,,1000,4,3,3,120,1950,2,2,1,300000,2,,2,,2,,2,,2,,2,,2,,,
7895,1,1,,1984,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,600,2,3,3,100,1800,2,1,1,100000,2,,2,,2,,2,,2,,2,,2,,,
8332,1,1,,1957,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,1000,4,3,2,80,1954,2,2,1,400000,2,,2,,2,,2,,2,,2,,2,,,
8481,1,1,,1974,1,,,,,,6,20000,,,,,,,,,,,,,,,,,,,,,2,3,4,70,1974,2,1,1,40000,2,,2,,2,,2,,2,,2,,2,,,
8754,2,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1,1,1983,,2,3,3,90,1980,2,2,1,200000,2,,2,,2,,2,,2,,2,,,,,
8868,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1981,800,2,3,3,120,1980,2,2,1,250000,1,1,2,,1,1,2,,2,,2,,2,,,
8915,1,1,,1960,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,900,4,1,2,140,1960,2,2,1,300000,1,2,2,,2,,2,,2,,2,,2,,,
8952,1,1,,1994,2,3,,,,,1,110000,2,,,,,,,,,,,,,,,,,,,700,3,1,3,100,1977,1,1,1,170000,1,1,2,,2,,2,,2,,2,,1,1500,,
8954,1,1,,1985,1,2,,,,,5,,,,,,,,,,,,,,,,,,,,,1300,4,1,2,135,1750,2,2,1,750000,1,1,2,,2,,2,,2,,2,,2,,,
8955,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1962,1400,4,1,2,120,1955,2,2,1,600000,2,,2,,2,,2,,2,,2,,,,,
9248,1,1,,1964,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,500,3,1,3,55,1957,1,1,1,135000,2,,2,,2,,1,1,2,,2,,1,20000,,
9405,1,2,33,1984,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,250,4,1,4,90,1750,1,1,2,100000,2,,2,,2,,2,,2,,2,,2,,,
9411,2,,,,,,,,,,,,,,,,,,,,,,,,,,,400,4,1,1980,,3,3,4,70,1978,2,1,1,80000,2,,2,,2,,2,,2,,2,,,,,
9526,1,1,,1984,1,2,,,,,1,150000,1,50000,2,,,,,,200000,5,,,,,2,,,,,1500,4,3,3,240,1908,2,2,1,600000,1,2,2,,2,,2,,2,,2,,1,90000,,6.75
11940,1,1,,1972,1,2,,,,,2,16000,,,,,,,,,,,,,,,,,,,,700,3,3,3,65,1970,1,1,1,350000,1,1,2,,2,,2,,2,,2,,2,,,
11972,1,1,,1980,1,2,,,,,1,40000,,,,,,,,,,,,,,,,,,,,600,3,3,3,100,1967,1,1,1,200000,2,,1,1,1,2,2,,2,,2,,2,,,
20010,1,1,,1991,1,2,,,,,6,300000,,,,,,,,,,,,,,,,,,,,1500,3,3,3,200,1991,2,2,1,380000,1,2,2,,2,,2,,2,,2,,2,,,
20019,1,1,,1960,1,,,,,,6,6000,,,,,,,,,,,,,,,,,,,,600,3,3,4,90,1960,2,1,1,360000,1,1,2,,2,,2,,2,,2,,1,14000,,
20020,1,1,,1985,1,2,,,,,6,70000,,,,,,,,,,,,,,,,,,,,650,2,3,3,65,1984,1,1,1,120000,2,,2,,2,,2,,2,,2,,2,,,
20028,1,1,,1956,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,1000,2,3,5,115,1956,2,1,1,250000,2,,2,,1,1,1,1,2,,2,,2,,,
20033,2,,,,,,,,,,,,,,,,,,,,,,,,,,,360,1,1,1967,,2,3,4,90,1935,2,1,1,200000,2,,2,,2,,2,,2,,2,,,,,
20047,1,1,,1977,1,2,,,,,1,55000,,,,,,,,,,,,,,,,,,,,1200,3,1,3,200,1969,1,2,1,700000,1,3,2,,2,,2,,2,,2,,1,170000,,
20154,1,1,,1980,1,2,,,,,1,40000,,,,,,,,,,,,,,,,,,,,700,2,3,3,100,1969,1,2,1,200000,1,1,2,,2,,2,,2,,2,,2,,,
20169,2,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1,1,1930,,4,1,3,25,1200,3,1,1,,2,,2,,2,,2,,2,,2,,,,,
20170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,224,6,5,1959,,3,3,3,66,1958,1,2,1,350000,2,,2,,2,,2,,2,,2,,,,,
20174,1,1,,1971,1,2,,,,,30,7500,,,,,,,,,,,,,,,,,,,,800,3,1,3,85,1963,1,1,1,150000,2,,2,,2,,2,,2,,1,8000,1,4000,,
20178,2,,,,,,,,,,,,,,,,,,,,,,,,,,,250,1,1,1982,,4,1,6,84,1935,2,1,1,170000,1,1,2,,2,,2,,2,,2,,1,15000,,
20179,1,1,,1979,1,2,,,,,5,,,,,,,,,,,,,,,,,,,,,1200,4,1,2,140,1969,2,2,1,800000,2,,2,,2,,2,,2,,2,,2,,,
20223,1,1,,1968,1,2,,,,,1,10000,,,,,,,,,,,,,,,,,,,,800,4,1,3,70,1962,2,1,1,180000,2,,2,,2,,2,,2,,2,,2,,,
20231,1,1,,1990,1,2,,,,,4,,,,,,,,,,,,,,,,,,,,,800,3,3,2,100,1900,2,2,1,150000,1,2,2,,2,,2,,1,1,2,,2,,,
20241,1,1,,1988,1,,,,,,1,150000,,,,,,,,,,,,,,,,,,,,1000,3,1,2,90,1958,2,1,1,330000,2,,2,,2,,2,,2,,2,,1,4000,,
20258,2,,,,,,,,,,,,,,,,,,,,,,,,,,,300,4,1,1990,,4,1,3,35,1950,1,1,2,100000,2,,2,,2,,2,,2,,2,,,,,
20284,1,1,,1992,2,,,,,,1,130000,1,9000,2,,,,,,70000,15,,,,,2,,,,,800,3,3,3,150,1973,1,1,1,300000,2,,2,,2,,2,,2,,2,,2,,,8.5
20285,1,1,,1990,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,700,6,3,4,111,1936,2,1,1,150000,2,,2,,1,1,2,,2,,2,,2,,,
20297,2,,,,,,,,,,,,,,,,,,,,,,,,,,,280,1,1,1965,,2,3,4,85,1962,2,1,1,150000,2,,2,,2,,2,,2,,2,,,,,
20372,1,1,,1986,1,2,,,,,1,55000,,,,,,,,,,,,,,,,,,,,800,4,3,3,84,1950,2,1,1,185000,1,1,2,,2,,2,,2,,2,,2,,,
20375,1,1,,1993,1,2,,,,,1,70000,,,,,,,,,,,,,,,,,,,,400,3,3,4,70,1958,2,1,2,150000,2,,2,,2,,2,,2,,2,,2,,,
20380,2,,,,,,,,,,,,,,,,,,,,,,,,,,,100,5,1,1933,,2,2,6,60,1920,1,1,2,60000,2,,2,,2,,2,,2,,2,,,,,
20393,1,1,,1985,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,1200,6,3,3,160,1964,1,2,1,200000,2,,2,,1,1,2,,2,,2,,2,,,
20499,1,1,,1928,1,2,,,,,4,,,,,,,,,,,,,,,,,,,,,400,1,1,3,55,1928,2,1,1,180000,2,,2,,1,1,2,,2,,2,,2,,,
20704,1,1,,1978,2,,,,,,1,55000,,,,,,,,,,,,,,,,,,,,1000,2,3,3,110,1970,2,1,1,250000,2,,2,,2,,2,,2,,2,,2,,,
20711,1,1,,1973,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,1500,1,3,3,240,1920,2,2,1,750000,2,,2,,1,1,2,,2,,2,,1,10000,,
20729,2,,,,,,,,,,,,,,,,,,,,,,,,,,,478,4,1,1972,,3,3,3,90,1960,2,1,1,150000,2,,2,,2,,1,2,2,,2,,1,11000,,
20766,1,1,,1975,1,2,,,,,6,10000,,,,,,,,,,,,,,,,,,,,1800,5,1,2,200,1975,1,2,1,650000,2,,2,,2,,2,,2,,2,,1,3000,,
20767,1,1,,1974,3,,,,,,6,30000,2,,,,,,,,,,,,,,,,,,,2000,6,1,3,240,1974,2,1,1,1000000,2,,2,,2,,2,,2,,2,,1,20000,,
20782,1,1,,1948,1,2,,,,,3,8000,,,,,,,,,,,,,,,,,,,,1000,4,1,3,100,1930,2,1,1,350000,1,1,2,,2,,2,,2,,2,,2,,,
20784,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1988,1000,2,1,3,90,1970,2,1,1,300000,2,,2,,2,,2,,2,,2,,,,,
20798,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1982,1000,4,3,3,138,1960,2,2,1,300000,2,,2,,2,,2,,2,,2,,,,,
20837,1,1,,1963,1,2,,,,,1,3800,,,,,,,,,,,,,,,,,,,,900,4,1,3,98,1963,2,1,1,250000,1,2,2,,2,,2,,2,,2,,1,3000,,
20839,1,1,,1981,1,2,,,,,6,150000,,,,,,,,,,,,,,,,,,,,2000,3,1,3,320,1981,2,2,1,450000,1,3,2,,2,,1,2,2,,2,,2,,,
20849,1,1,,1991,1,2,,,,,1,150000,1,14000,2,,,,,,100000,15,,,,,2,,,,,1500,3,1,3,180,1970,2,2,1,750000,1,1,2,,2,,2,,2,,2,,1,25000,,3
20862,1,1,,1979,1,2,3,,,,1,15000,,,,,,,,,,,,,,,,,,,,1000,5,3,3,50,1957,2,1,2,150000,2,,2,,2,,2,,2,,2,,2,,,
20920,1,1,,1972,1,2,,,,,1,35000,,,,,,,,,,,,,,,,,,,,1500,4,1,2,200,1952,1,2,1,600000,1,2,1,2,2,,2,,2,,2,,1,6000,,
20936,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,2,1,1997,,1,3,3,150,1961,2,2,1,400000,2,,2,,2,,2,,2,,2,,,,,
20944,1,1,,1986,1,2,3,,,,1,148000,,,,,,,,,,,,,,,,,,,,1200,2,3,2,145,1974,1,2,1,330000,2,,2,,2,,2,,2,,2,,1,6000,,
20981,1,1,,1981,1,2,,,,,1,50000,,,,,,,,,,,,,,,,,,,,400,3,3,3,75,1961,2,1,1,180000,2,,2,,2,,2,,2,,2,,2,,,
20990,1,1,,1986,1,2,,,,,1,43000,,,,,,,,,,,,,,,,,,,,800,3,3,3,69,1963,1,1,1,130000,2,,2,,2,,2,,2,,2,,2,,,
21003,2,,,,,,,,,,,,,,,,,,,,,,,,,,,430,7,1,1979,,3,3,3,72,1962,1,1,1,190000,2,,2,,2,,2,,2,,2,,,,,
21368,1,1,,1978,1,3,,,,,2,30000,,,,,,,,,,,,,,,,,,,,650,3,3,3,100,1978,1,1,1,200000,1,2,1,2,2,,2,,2,,2,,1,7000,,
21384,1,1,,1980,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,500,4,3,4,100,1970,1,1,1,150000,2,,2,,2,,2,,2,,2,,1,10000,,
21453,1,1,,1998,3,,,,,,1,200000,,,,,,,,,,,,,,,,,,,,200,3,3,3,100,1940,2,1,1,250000,1,1,2,,2,,2,,2,,2,,2,,,
21456,1,1,,1959,1,2,,,,,2,25000,,,,,,,,,,,,,,,,,,,,1000,3,3,3,160,1958,2,3,1,700000,1,2,1,4,1,1,1,1,2,,2,,2,,,
21461,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1973,700,4,3,3,70,1962,2,1,1,70000,2,,2,,2,,2,,2,,2,,,,,
21464,1,1,,1984,2,,,,,,1,35000,,,,,,,,,,,,,,,,,,,,200,1,3,3,82,1900,1,2,2,100000,2,,2,,2,,2,,2,,2,,2,,,
21466,1,2,25,1970,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,300,3,3,4,150,1920,1,1,1,80000,2,,2,,2,,2,,2,,2,,2,,,
21472,1,1,,1994,1,2,,,,,4,,,,,,,,,,,,,,,,,,,,,700,1,3,3,100,1994,2,2,1,180000,2,,2,,1,1,2,,2,,2,,2,,,
21474,1,1,,1986,1,,,,,,6,80000,,,,,,,,,,,,,,,,,,,,1000,2,3,3,160,1986,2,2,1,250000,2,,2,,2,,2,,2,,2,,2,,,
21482,1,1,,1950,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,300,2,3,4,30,1900,1,1,2,50000,2,,2,,2,,2,,2,,2,,2,,,
21627,1,1,,1967,1,2,,,,,6,3000,,,,,,,,,,,,,,,,,,,,200,3,3,4,90,1967,1,2,2,70000,2,,2,,2,,2,,2,,2,,2,,,
21639,1,1,,1984,1,,,,,,5,,2,,,,,,,,,,,,,,,,,,,800,4,1,3,80,1959,2,2,2,270000,1,2,1,1,2,,2,,2,,2,,1,1400,,
21693,1,1,,1995,1,2,,,,,6,0,1,8400,1,0,0,0,1,0,85000,15,,,,,2,,,,,800,3,3,3,150,1995,2,2,1,220000,2,,2,,2,,2,,2,,2,,2,,,0.1
21699,1,1,,1966,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,400,3,1,3,110,1965,2,1,2,80000,2,,2,,1,2,2,,2,,2,,2,,,
21761,1,1,,1985,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,400,4,3,3,120,1960,2,2,1,600000,2,,2,,2,,2,,2,,2,,2,,,
21772,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1984,400,2,3,2,150,1984,1,1,1,250000,2,,2,,2,,2,,2,,2,,,,,
21926,1,1,,1955,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,200,2,3,4,50,1950,2,1,2,20000,2,,2,,1,1,2,,2,,2,,2,,,
21952,2,,,,,,,,,,,,,,,,,,,,,,,,,,,400,1,1,1970,,4,3,3,70,1950,2,1,1,150000,2,,2,,2,,2,,2,,2,,,,,
