NQUEST,ATTIVP,PARTIME,TUTTANNO,MESILAV,DIMAZ,ORETOT,FERIEDI,FERIENO,PSTRA,ORESTRA,YLM,INTEG,YLNM,NORD
24853,1,1,3,,7,36,1,,2,,1000,2,0,2
24860,1,1,1,,7,35,1,,2,,25000,2,0,2
24912,1,1,1,,7,36,1,,1,0,25000,1,800,1
24912,1,1,1,,3,50,2,10,2,,60000,2,0,2
24919,1,1,1,,7,22,1,,2,,26400,2,0,1
24924,1,2,1,,2,20,1,,2,,8700,2,0,1
24974,1,1,1,,6,38,1,,1,0,35000,2,0,1
24974,1,1,1,,7,25,1,,2,,30000,2,0,2
24974,1,1,2,7,2,40,1,,2,,8000,2,0,3
24984,1,1,1,,6,30,1,,2,,25000,2,0,1
24984,1,2,2,8,3,30,1,,2,,8000,2,0,2
25081,1,1,1,,7,40,2,20,1,2,32500,2,0,1
25081,1,1,1,,7,30,1,,2,,26000,2,0,2
25090,1,1,1,,7,40,1,,1,0,40000,2,0,3
25128,1,1,1,,7,36,2,7,2,,25000,1,4000,1
25128,1,2,2,11,7,20,1,,2,,8800,2,0,2
25138,1,1,1,,7,36,2,6,2,,24000,2,0,1
25138,1,2,3,,1,10,1,,2,,4000,2,0,3
25141,1,1,1,,3,40,1,,2,,28000,2,0,1
25145,1,2,1,,7,18,1,,2,,6400,2,0,1
25148,1,1,1,,6,37,2,6,1,0,36000,1,1700,1
25238,2,1,2,3,6,40,1,,1,0,4500,2,0,1
25240,1,1,1,,2,50,1,,2,,21000,2,0,1
25240,1,2,2,9,5,34,2,12,2,,9000,2,0,3
25240,1,2,2,9,5,34,2,12,2,,9000,2,0,4
25425,1,1,1,,6,40,1,,1,0,28600,2,0,1
25425,1,1,1,,2,40,1,,2,,18200,2,0,2
25429,1,1,1,,5,45,2,10,2,,52000,1,2000,1
25429,1,1,1,,7,36,2,11,1,0,25000,2,0,2
25435,1,1,1,,6,45,2,8,2,,40000,2,0,1
25435,1,1,1,,7,40,1,,2,,20000,2,0,2
25602,1,1,1,,7,38,2,10,2,,33000,2,0,1
25602,1,1,1,,2,50,2,10,2,,60000,1,,2
25610,1,1,1,,6,45,1,,2,,70000,1,18000,1
25610,1,1,1,,6,40,1,,1,2,28000,2,0,2
25723,1,1,1,,5,36,1,,2,,20000,2,0,1
25727,1,1,1,,3,36,1,,2,,29000,2,0,1
25753,1,1,1,,5,18,1,,2,,30000,2,0,1
25753,1,1,1,,5,18,1,,2,,30000,2,0,2
25760,1,1,1,,7,38,1,,2,,24000,2,0,1
25768,1,1,1,,7,36,1,,2,,30000,2,0,2
25842,1,1,1,,5,39,1,,2,,19000,2,0,1
25887,1,1,1,,7,40,1,,2,,19500,2,0,2
25903,,1,2,6,6,36,1,,2,,,2,0,1
25903,1,1,1,,6,40,1,,1,1,22100,2,0,2
25903,1,1,1,,6,40,1,,1,1,22100,2,0,3
25910,1,1,1,,6,50,1,,2,,27000,1,250,2
25914,1,2,1,,7,29,1,,1,0,16000,2,0,2
25914,1,1,2,6,2,40,1,,2,,6000,2,0,3
25919,1,1,1,,6,50,1,,2,,70000,1,45000,1
25919,1,1,1,,6,36,1,,2,,30000,2,0,2
25923,1,1,2,8,2,61,1,,1,9,16000,2,0,1
25923,1,1,1,,2,61,1,,1,9,26000,2,0,2
25923,1,1,1,,1,37,1,,2,,19500,2,0,3
25964,1,1,1,,7,30,2,15,2,,20000,2,0,4
25968,1,1,1,,5,40,1,,1,4,19000,2,0,2
25973,1,1,1,,7,38,1,,1,2,28000,2,0,1
25973,1,1,1,,7,24,1,,2,,27000,2,0,2
26029,1,1,1,,7,40,2,15,1,4,22000,2,0,1
26029,1,2,1,,2,20,1,,2,,12000,2,0,2
26047,1,1,1,,3,36,1,,1,4,40000,2,0,2
26048,1,1,1,,7,36,1,,2,,22000,2,0,4
26161,1,1,1,,1,60,2,30,2,,9000,2,0,1
26161,1,1,1,,4,40,1,,2,,12000,2,0,3
26166,1,1,1,,4,40,1,,1,1,24000,2,0,1
26166,1,1,1,,2,40,1,,1,0,20000,2,0,2
26199,1,1,1,,6,44,1,,2,,45500,2,0,1
26199,1,1,1,,7,30,1,,2,,32500,2,0,2
26201,1,1,1,,6,38,2,4,2,,40000,1,1200,2
26210,1,1,2,3,6,43,2,20,1,3,7800,2,0,1
26228,1,1,1,,6,36,2,15,1,0,35000,1,1500,1
26228,1,1,1,,5,37,2,12,1,3,37000,1,1800,2
26239,1,1,1,,6,44,2,25,1,8,33800,1,2000,1
26267,1,1,1,,7,36,2,7,1,5,20000,2,0,1
26283,1,1,1,,7,30,1,,2,,20000,2,0,3
26283,1,1,2,10,7,36,2,9,2,,13000,2,0,4
26312,1,1,1,,3,36,1,,2,,12000,2,0,1
26312,1,1,1,,6,40,1,,2,,36000,2,0,2
26349,1,1,1,,6,46,1,,1,8,36400,2,0,3
26574,1,1,1,,7,36,2,2,1,3,20000,2,0,1
26574,1,1,1,,7,36,2,10,2,,17000,2,0,2
26634,1,1,1,,6,40,1,,1,4,28000,2,0,1
26641,1,1,1,,2,40,1,,2,,20000,2,0,4
26683,1,1,1,,5,40,2,17,2,,45000,2,0,1
26683,1,1,1,,4,40,1,,2,,54000,2,0,2
26687,1,1,1,,7,36,2,8,1,0,27000,1,1800,1
26722,1,1,1,,5,45,2,10,2,,35000,1,3000,1
26722,1,1,1,,7,35,1,,1,0,20000,2,0,2
26925,1,1,1,,7,36,1,,2,,24000,2,0,1
26925,1,1,1,,7,27,1,,2,,29000,2,0,2
26925,1,1,1,,7,27,1,,2,,12000,2,0,3
26938,1,1,1,,7,36,2,15,1,1,32000,2,0,2
26939,1,1,1,,7,25,1,,1,0,34000,2,0,1
26939,1,1,1,,7,36,2,15,1,3,34000,1,1000,2
26939,2,1,3,,1,15,1,,1,0,650,2,0,3
26941,1,1,1,,3,40,2,1,2,,26000,2,0,3
26941,1,2,1,,3,20,1,,2,,10000,2,0,4
27099,1,1,1,,7,36,1,,1,0,30000,2,0,1
27099,1,1,1,,7,39,1,,1,0,32000,2,0,2
27108,1,1,1,,7,44,2,9,2,,30000,2,0,1
27112,1,1,1,,7,37,1,,2,,30000,2,0,1
27123,1,1,1,,4,40,1,,2,,32500,2,0,1
27155,1,1,1,,1,35,1,,2,,25000,2,0,2
27155,2,2,1,,1,16,1,,2,,10000,2,0,2
27162,1,1,1,,1,44,1,,2,,9600,2,0,1
27224,1,1,1,,7,40,1,,1,2,36000,2,0,1
27238,1,1,1,,5,40,1,,2,,21000,1,1200,1
27238,1,1,1,,1,40,2,10,2,,22000,2,0,2
27238,1,1,2,4,3,40,1,,2,,3600,2,0,3
27299,1,1,1,,7,18,1,,2,,35000,2,0,2
27300,1,1,1,,4,40,2,15,2,,17000,2,0,1
27300,1,1,1,,5,40,1,,2,,20000,2,0,2
27467,1,1,1,,3,36,1,,2,,15600,2,0,3
27467,1,1,1,,1,36,1,,2,,15000,2,0,4
27505,1,1,1,,7,36,2,78,2,,18000,2,0,2
27505,1,1,1,,4,40,1,,1,0,16000,2,0,3
27505,1,2,2,4,1,40,2,15,2,,2500,2,0,4
27516,1,1,1,,6,45,1,,1,5,68000,2,0,1
27516,1,1,1,,2,35,1,,2,,23000,2,0,2
27644,1,1,1,,7,40,2,9,2,,40000,2,0,1
27688,1,1,1,,5,18,2,4,2,,27000,2,0,1
27688,1,1,1,,7,36,2,10,2,,27000,2,0,2
27734,1,1,1,,4,50,1,,2,,28000,1,5000,2
27734,1,1,2,3,4,50,1,,2,,6000,1,1500,4
27735,1,1,1,,7,36,2,4,1,5,40000,1,2000,1
27735,1,1,1,,2,40,2,20,2,,24000,2,0,2
27741,1,1,1,,1,20,1,,2,,10500,2,0,3
27741,1,1,2,3,7,40,2,2,2,,8000,2,0,4
27773,1,1,1,,2,40,1,,2,,19300,2,0,1
27773,1,1,1,,7,36,1,,2,,20600,2,0,2
27773,1,1,1,,1,40,1,,2,,13200,2,0,3
27795,1,1,1,,2,48,1,,2,,20000,2,0,3
27799,1,1,1,,2,45,2,6,1,10,42400,2,0,2
27912,1,1,1,,5,36,2,22,1,30,35000,1,,1
27912,1,1,1,,2,36,1,,1,0,30000,2,0,2
27930,1,1,1,,7,30,1,,2,,15600,2,0,3
27930,1,1,2,6,2,36,1,,2,,9000,2,0,4
27935,1,1,1,,2,40,1,,2,,24000,2,0,1
27935,1,1,1,,6,36,2,10,2,,24000,2,0,2
27945,1,1,1,,7,36,2,25,2,,21000,2,0,1
27945,1,1,1,,7,36,2,12,1,0,23000,1,800,2
27947,1,1,1,,4,36,1,,2,,21000,2,0,3
28074,1,1,1,,7,36,1,,2,,42000,1,480,1
28074,1,2,1,,7,26,1,,2,,17000,1,500,2
28100,1,1,1,,7,36,1,,2,,23000,2,0,1
28100,1,2,2,8,5,26,1,,2,,10000,2,0,2
28109,1,1,2,9,6,46,2,20,2,,28000,2,0,1
28146,1,1,1,,6,36,2,10,2,,24500,2,0,2
28146,1,1,1,,5,18,1,,2,,27300,2,0,3
28158,1,1,1,,7,36,1,,1,2,35000,2,0,1
28158,1,1,1,,1,36,1,,2,,20000,2,0,4
28332,1,1,1,,7,36,2,14,1,0,22000,2,0,1
28334,1,2,1,,1,25,1,,1,2,13000,2,0,1
28334,2,2,2,1,1,30,1,,2,,1000,2,0,2
28441,1,1,1,,2,45,2,41,1,5,31300,2,0,1
28444,2,2,2,3,1,38,1,,2,,5000,2,0,1
28446,1,1,1,,2,36,1,,2,,20000,2,0,3
28460,1,1,1,,6,9,1,,2,,40000,2,0,1
28460,1,1,1,,6,19,1,,2,,28000,2,0,2
28766,1,1,1,,6,42,1,,1,1,22000,2,0,1
28766,1,1,1,,5,40,1,,1,0,17500,2,0,2
28802,1,1,1,,2,40,1,,1,0,39000,2,0,1
28807,1,1,1,,7,35,1,,1,0,30000,2,0,1
28878,1,1,1,,6,50,2,7,2,,42000,2,0,2
28897,1,1,1,,2,40,1,,1,0,5200,2,0,1
28897,2,2,1,,2,20,1,,2,,40000,2,0,2
28932,1,2,2,5,7,22,1,,2,,12000,2,0,1
28954,1,1,1,,7,18,1,,1,8,25000,2,0,1
29006,2,1,2,1,5,50,1,,1,10,6000,2,0,1
29048,1,1,2,7,5,40,1,,2,,14000,2,0,1
29048,1,1,1,,3,40,1,,2,,17000,2,0,3
29062,1,1,1,,3,44,1,,2,,30000,2,0,1
29062,1,1,1,,7,40,1,,1,0,30000,2,0,2
29140,1,1,1,,7,40,2,1,2,,24000,2,0,1
29140,1,1,2,5,4,40,1,,2,,16000,2,0,2
29197,1,1,1,,4,40,1,,1,3,30000,2,0,1
29197,1,1,1,,1,50,1,,2,,15000,2,0,3
29280,1,1,1,,7,60,2,20,1,20,38000,1,3200,1
29280,1,1,1,,7,24,1,,2,,30000,2,0,2
29283,1,1,1,,7,36,1,,2,,27000,2,0,1
29283,1,1,1,,7,30,1,,2,,25000,2,0,2
29292,1,1,1,,7,42,2,14,2,,32000,2,0,1
29335,1,1,1,,1,40,1,,2,,13000,2,0,3
29335,1,2,2,1,2,5,1,,2,,200,2,0,4
29341,1,1,1,,1,40,1,,1,2,24000,2,0,3
29341,1,1,1,,7,40,1,,1,2,24000,2,0,4
29359,1,1,1,,3,42,1,,2,,23500,2,0,1
29359,1,1,1,,7,45,1,,1,6,18000,2,0,3
29359,1,1,1,,7,40,1,,2,,14800,2,0,4
29421,2,2,2,6,1,18,2,1,2,,,2,0,3
29440,1,1,1,,6,42,2,10,2,,43000,2,0,1
29447,1,1,1,,5,50,1,,2,,43000,2,0,1
