NQUEST,Y,CN,CD1,CD2,CD,C,S
34,154440,150000,21000,0,21000,171000,-16560
123,2563.0833022,24000,0,0,0,24000,-21436.9167
173,40728,30800,10000,0,10000,40800,-72
304,26760,21000,23000,0,23000,44000,-17240
325,31438.748974,20400,0,0,0,20400,11038.748974
375,34080,18000,0,0,0,18000,16080
376,80620,42000,0,0,0,42000,38620
465,38352,32000,18000,0,18000,50000,-11648
474,36772,30000,0,0,0,30000,6772
558,80913.059545,45585.059545,0,500,500,46085.059545,34828
561,47466.618949,40800,0,0,0,40800,6666.6189491
629,89120,54000,17000,0,17000,71000,18120
632,83430,42000,40000,2500,42500,84500,-1070
633,49428,31300,0,300,300,31600,17828
686,38455.030869,21600,0,0,0,21600,16855.030869
823,76532,32000,0,0,0,32000,44532
824,20440,21400,0,0,0,21400,-960
923,26354,24800,0,0,0,24800,1554
1084,88640,60000,14000,0,14000,74000,14640
1238,25561.385301,27600,0,0,0,27600,-2038.614699
1367,25900,15600,0,0,0,15600,10300
1371,30792,20400,4200,0,4200,24600,6192
1387,27000,20400,0,0,0,20400,6600
1391,8400,8400,0,0,0,8400,0
1492,26536,22850,0,0,0,22850,3686
1759,11160,10440,0,0,0,10440,720
1763,30927.573258,20712.573258,0,0,0,20712.573258,10215
1826,31860,26400,0,700,700,27100,4760
1927,34130,22300,0,0,0,22300,11830
1946,49276.217713,17040,0,1500,1500,18540,30736.217713
2178,63442.405323,42000,15000,0,15000,57000,6442.4053227
2274,20366,17800,0,0,0,17800,2566
2447,64502.464,31500,7400,0,7400,38900,25602.464
2485,17050,15600,0,0,0,15600,1450
2866,38448,33600,7000,250,7250,40850,-2402
2875,45000,24000,0,0,0,24000,21000
2886,56924,48000,3500,0,3500,51500,5424
2963,46760,25800,0,0,0,25800,20960
2970,34000,21600,0,2000,2000,23600,10400
3078,93616,27756,-2300,0,-2300,25456,68160
3193,26066,24000,0,0,0,24000,2066
3203,106760.27817,81200,35000,50000,85000,166200,-59439.72183
3299,52124.172357,17100,0,1500,1500,18600,33524.172357
3663,35356,20400,0,3000,3000,23400,11956
3717,13043.83097,16140,0,0,0,16140,-3096.16903
3905,64168.665363,46000,0,0,0,46000,18168.665363
4236,18190,6600,0,0,0,6600,11590
4238,19777.2,22950,0,1000,1000,23950,-4172.8
4266,96513.10804,50700,0,399,399,51099,45414.10804
