NQUEST,NORD,IREG,NQUESTP,NCOMP,SEX,PARENT,ANASC,STACIV,STUDIO,TIPODIP,TIPOLAU,ANNOENUS,APQUAL,ASNONOC,APSETT,NORDP,MOTENT,ETA,CLETA,AREA5,AREA3,ACOM4C,PESOFL,NPERC,PERC,QUAL,Q,SETT,NASCREG,NASCAREA
505834,2,8,,4,2,2,1950,1,3,,,,1,,4,,,48,3,2,1,2,1.2805199619,2,1,1,1,4,8,1
505834,3,8,,4,2,3,1977,2,5,2,,,17,,,,,21,1,2,1,2,1.2805199619,2,0,7,3,5,8,1
505834,4,8,,4,2,3,1984,2,3,,,,17,,,,,14,1,2,1,2,1.2805199619,2,0,7,3,5,8,1
505836,1,8,,4,1,1,1947,1,5,2,,,2,,2,,,51,4,2,1,2,1.4100837386,3,1,2,1,2,6,1
505836,2,8,,4,2,2,1948,1,5,5,,,3,,9,,,50,3,2,1,2,1.4100837386,3,1,2,1,3,3,1
505836,3,8,,4,1,3,1973,2,7,,6,,2,,6,,,25,1,2,1,2,1.4100837386,3,1,2,1,4,3,1
505836,4,8,,4,2,3,1976,2,5,3,,,17,,,,,22,1,2,1,2,1.4100837386,3,0,7,3,5,3,1
505839,1,8,,2,1,1,1969,1,5,2,,,2,,4,,,29,1,2,1,2,1.8800423946,2,1,2,1,4,8,1
505839,2,8,,2,2,2,1970,1,4,,,,2,,6,,,28,1,2,1,2,1.8800423946,2,1,2,1,4,8,1
505840,1,8,,2,1,1,1907,1,2,,,,15,8,4,,,91,5,2,1,2,1.6349235276,2,1,6,3,5,8,1
505840,2,8,,2,2,2,1911,1,2,,,,15,8,4,,,87,5,2,1,2,1.6349235276,2,1,6,3,5,8,1
505842,1,8,,2,2,1,1961,2,3,,,,12,1,4,,,37,2,2,1,2,1.5580188273,2,1,7,3,5,15,3
505842,2,8,,2,1,3,1980,2,3,,,,1,,4,,,18,1,2,1,2,1.5580188273,2,1,1,1,4,8,1
505846,1,8,,2,1,1,1925,1,2,,,,15,1,4,,,73,5,2,1,2,1.6349235276,2,1,6,3,5,8,1
505846,2,8,,2,2,2,1926,1,2,,,,16,,,,,72,5,2,1,2,1.6349235276,2,1,6,3,5,8,1
505849,1,8,,4,1,1,1938,1,2,,,,15,1,2,,,60,4,2,1,2,1.5572762841,4,1,6,3,5,8,1
505849,2,8,,4,2,2,1939,1,2,,,,15,1,8,,,59,4,2,1,2,1.5572762841,4,1,6,3,5,8,1
505849,3,8,,4,2,3,1973,2,5,2,,,2,,2,,,25,1,2,1,2,1.5572762841,4,1,2,1,2,8,1
505849,4,8,,4,2,3,1964,2,5,1,,,2,,2,,,34,2,2,1,2,1.5572762841,4,1,2,1,2,8,1
505850,1,8,,2,2,1,1934,4,2,,,,15,1,2,,,64,4,2,1,2,1.5533531911,2,1,6,3,5,5,1
505850,2,8,,2,1,3,1961,3,7,,4,,4,,2,,,37,2,2,1,2,1.5533531911,2,1,3,1,2,8,1
505852,1,8,,2,1,1,1923,1,2,,,,15,8,2,,,75,5,2,1,2,1.6349235276,2,1,6,3,5,8,1
505852,2,8,,2,2,2,1931,1,2,,,,15,8,4,,,67,5,2,1,2,1.6349235276,2,1,6,3,5,8,1
505858,1,8,,1,2,1,1971,2,3,,,,8,,8,,,27,1,2,1,2,1.8879878724,1,1,5,2,4,,
505859,1,8,,3,1,1,1964,1,7,,8,,2,,6,,,34,2,2,1,2,1.6618060739,2,1,2,1,4,8,1
505859,2,8,,3,2,2,1964,1,7,,3,,6,,9,,,34,2,2,1,2,1.6618060739,2,1,4,2,3,8,1
505859,3,8,,3,2,3,1998,2,1,,,,18,,,,,0,1,2,1,2,1.6618060739,2,0,7,3,5,8,1
505860,1,8,,3,1,1,1944,1,5,3,,,1,,4,,,54,4,2,1,2,1.274239876,2,1,1,1,4,5,1
505860,2,8,,3,2,2,1946,1,5,2,,,2,,2,,,52,4,2,1,2,1.274239876,2,1,2,1,2,8,1
505860,3,8,,3,1,3,1980,2,3,,,,17,,,,,18,1,2,1,2,1.274239876,2,0,7,3,5,8,1
505862,1,8,,3,1,1,1954,1,7,,6,,6,,6,,,44,3,2,1,2,0.3443298138,2,1,4,2,4,8,1
505862,2,8,,3,2,2,1959,1,5,2,,,2,,2,,,39,2,2,1,2,0.3443298138,2,1,2,1,2,8,1
505862,3,8,,3,1,3,1987,2,2,,,,17,,,,,11,1,2,1,2,0.3443298138,2,0,7,3,5,8,1
505863,1,8,,1,1,1,1948,2,2,,,,1,,9,,,50,3,2,1,2,0.2632285698,1,1,1,1,3,8,1
505865,1,8,,3,1,1,1948,1,2,,,,1,,2,,,50,3,2,1,2,0.2887366896,2,1,1,1,2,8,1
505865,2,8,,3,2,2,1953,1,3,,,,13,,,,,45,3,2,1,2,0.2887366896,2,0,7,3,5,8,1
505865,3,8,,3,2,5,1922,4,2,,,,15,1,1,,,76,5,2,1,2,0.2887366896,2,1,6,3,5,8,1
505868,1,8,,3,1,1,1953,1,5,2,,,8,,8,,,45,3,2,1,2,0.3025993707,2,1,5,2,4,15,3
505868,2,8,,3,2,2,1954,1,3,,,,1,,2,,,44,3,2,1,2,0.3025993707,2,1,1,1,2,20,3
505868,3,8,,3,1,3,1980,2,3,,,,17,,,,,18,1,2,1,2,0.3025993707,2,0,7,3,5,8,1
505869,1,8,,1,1,1,1972,2,3,,,,1,,2,,,26,1,2,1,2,0.3889286249,1,1,1,1,2,,
505870,1,8,,4,1,1,1947,1,5,2,,,5,,2,,,51,4,2,1,2,0.265456595,2,1,3,1,2,8,1
505870,2,8,,4,2,2,1951,1,3,,,,13,,,,,47,3,2,1,2,0.265456595,2,1,7,3,5,8,1
505870,3,8,,4,1,3,1974,2,5,4,,,17,,,,,24,1,2,1,2,0.265456595,2,0,7,3,5,8,1
505870,4,8,,4,2,3,1977,2,5,4,,,17,,,,,21,1,2,1,2,0.265456595,2,0,7,3,5,8,1
505871,1,8,,3,2,1,1948,3,3,,,,1,,8,,,50,3,2,1,2,0.3289726595,3,1,1,1,4,10,2
505871,2,8,,3,2,4,1915,4,2,,,,16,,,,,83,5,2,1,2,0.3289726595,3,1,6,3,5,10,2
505871,3,8,,3,1,3,1972,2,5,2,,,2,,2,,,26,1,2,1,2,0.3289726595,3,1,2,1,2,8,1
505872,1,8,,4,1,1,1961,1,3,,,,2,,2,,,37,2,2,1,2,0.3236095394,2,1,2,1,2,16,3
505872,2,8,,4,2,2,1959,1,5,5,,,12,,,,,39,2,2,1,2,0.3236095394,2,1,7,3,5,9,2
505872,3,8,,4,1,3,1988,2,1,,,,17,,,,,10,1,2,1,2,0.3236095394,2,0,7,3,5,8,1
505872,4,8,,4,2,3,1998,2,1,,,,18,,,,,0,1,2,1,2,0.3236095394,2,0,7,3,5,8,1
505873,1,8,,4,1,1,1952,1,7,,4,,6,,8,,,46,3,2,1,2,0.265456595,2,1,4,2,4,8,1
505873,2,8,,4,2,2,1953,1,7,,9,,3,,9,,,45,3,2,1,2,0.265456595,2,1,2,1,3,19,3
505873,3,8,,4,1,3,1981,2,3,,,,17,,,,,17,1,2,1,2,0.265456595,2,0,7,3,5,8,1
505873,4,8,,4,2,3,1985,2,2,,,,17,,,,,13,1,2,1,2,0.265456595,2,0,7,3,5,8,1
505875,1,8,,4,1,1,1956,1,5,2,,,2,,6,,,42,3,2,1,2,0.3236095394,2,1,2,1,4,8,1
505875,2,8,,4,2,2,1961,1,3,,,,1,,4,,,37,2,2,1,2,0.3236095394,2,1,1,1,4,3,1
505875,3,8,,4,2,3,1985,2,2,,,,17,,,,,13,1,2,1,2,0.3236095394,2,0,7,3,5,8,1
505875,4,8,,4,1,3,1997,2,1,,,,18,,,,,1,1,2,1,2,0.3236095394,2,0,7,3,5,8,1
505878,1,8,,5,1,1,1953,1,2,,,,10,,2,,,45,3,2,1,2,0.2886070246,1,1,4,2,2,8,1
505878,2,8,,5,2,2,1957,1,3,,,,13,,,,,41,3,2,1,2,0.2886070246,1,0,7,3,5,,
505878,3,8,,5,2,3,1975,2,5,2,,,17,,,,,23,1,2,1,2,0.2886070246,1,0,7,3,5,8,1
505878,4,8,,5,2,3,1990,2,1,,,,17,,,,,8,1,2,1,2,0.2886070246,1,0,7,3,5,8,1
505878,5,8,,5,2,3,1992,2,1,,,,17,,,,,6,1,2,1,2,0.2886070246,1,0,7,3,5,8,1
505879,1,8,,1,2,1,1930,4,2,,,,15,1,2,,,68,5,2,1,2,0.3410887452,1,1,6,3,5,8,1
505881,1,8,,4,1,1,1941,1,4,,,,10,,2,,,57,4,2,1,2,0.6701302974,3,1,4,2,2,8,1
505881,2,8,,4,2,2,1940,1,3,,,,13,,,,,58,4,2,1,2,0.6701302974,3,0,7,3,5,8,1
505881,3,8,,4,1,3,1968,2,5,1,,,2,,2,,,30,1,2,1,2,0.6701302974,3,1,2,1,2,8,1
505881,4,8,,4,1,3,1969,2,5,1,,,2,,2,,,29,1,2,1,2,0.6701302974,3,1,2,1,2,8,1
505882,1,8,,3,1,1,1944,1,5,1,,,15,1,2,,,54,4,2,1,2,0.5508052453,2,1,6,3,5,8,1
505882,2,8,,3,2,2,1944,1,3,,,,15,2,2,,,54,4,2,1,2,0.5508052453,2,1,6,3,5,8,1
505882,3,8,,3,1,3,1975,2,7,,1,,17,,,,,23,1,2,1,2,0.5508052453,2,0,7,3,5,8,1
505885,1,8,,3,1,1,1942,1,5,1,,,15,2,9,,,56,4,2,1,2,0.5508052453,2,1,6,3,5,8,1
505885,2,8,,3,2,2,1950,1,5,1,,,2,,9,,,48,3,2,1,2,0.5508052453,2,1,2,1,3,8,1
505885,3,8,,3,1,3,1983,2,3,,,,17,,,,,15,1,2,1,2,0.5508052453,2,0,7,3,5,8,1
505887,1,8,,6,1,1,1910,4,1,,,,15,1,1,,,88,5,2,1,2,0.6566495412,3,1,6,3,5,8,1
505887,2,8,,6,1,3,1940,1,3,,,,15,1,2,,,58,4,2,1,2,0.6566495412,3,1,6,3,5,8,1
505887,3,8,,6,2,5,1941,1,3,,,,13,,,,,57,4,2,1,2,0.6566495412,3,0,7,3,5,8,1
505887,4,8,,6,2,5,1967,2,5,1,,,2,,4,,,31,2,2,1,2,0.6566495412,3,1,2,1,4,8,1
505887,5,8,,6,2,5,1972,2,5,1,,,11,,,,,26,1,2,1,2,0.6566495412,3,0,7,3,5,8,1
505887,6,8,,6,1,5,1976,2,5,1,,,11,,,,,22,1,2,1,2,0.6566495412,3,0,7,3,5,8,1
505889,1,8,,3,1,1,1962,1,3,,,,1,,2,,,36,2,2,1,2,0.6293832243,2,1,1,1,2,8,1
505889,2,8,,3,2,2,1951,1,3,,,,1,,2,,,47,3,2,1,2,0.6293832243,2,1,1,1,2,5,1
505889,3,8,,3,1,3,1991,2,1,,,,17,,,,,7,1,2,1,2,0.6293832243,2,0,7,3,5,8,1
505892,1,8,,5,1,1,1962,1,4,,,,5,,2,,,36,2,2,1,2,0.6495656123,2,1,3,1,2,8,1
505892,2,8,,5,2,2,1963,1,5,2,,,2,,4,,,35,2,2,1,2,0.6495656123,2,1,2,1,4,8,1
505892,3,8,,5,2,3,1985,2,2,,,,17,,,,,13,1,2,1,2,0.6495656123,2,0,7,3,5,8,1
505892,4,8,,5,2,3,1988,2,1,,,,17,,,,,10,1,2,1,2,0.6495656123,2,0,7,3,5,8,1
505892,5,8,,5,2,3,1996,2,1,,,,18,,,,,2,1,2,1,2,0.6495656123,2,0,7,3,5,8,1
505896,1,8,,2,2,1,1947,4,5,2,,,2,,6,,,51,4,2,1,2,0.6744785067,2,1,2,1,4,8,1
505896,2,8,,2,2,3,1972,2,5,2,,,2,,4,,,26,1,2,1,2,0.6744785067,2,1,2,1,4,8,1
505911,1,8,,2,2,1,1956,1,7,,8,,4,,6,,,42,3,2,1,1,0.4220749647,2,1,3,1,4,8,1
505911,2,8,,2,1,2,1956,1,5,2,,,2,,2,,,42,3,2,1,1,0.4220749647,2,1,2,1,2,8,1
505913,1,8,,4,1,1,1956,1,5,2,,,8,,4,,,42,3,2,1,1,0.3490055545,2,1,5,2,4,8,1
505913,2,8,,4,2,2,1955,1,5,2,,,2,,4,,,43,3,2,1,1,0.3490055545,2,1,2,1,4,8,1
505913,3,8,,4,1,3,1980,2,3,,,,17,,,,,18,1,2,1,1,0.3490055545,2,0,7,3,5,8,1
505913,4,8,,4,1,3,1983,2,3,,,,17,,,,,15,1,2,1,1,0.3490055545,2,0,7,3,5,8,1
505914,1,8,,4,1,1,1956,1,5,2,,,2,,2,,,42,3,2,1,1,0.3490055545,2,1,2,1,2,8,1
505914,2,8,,4,2,2,1962,1,7,,9,,3,,9,,,36,2,2,1,1,0.3490055545,2,1,2,1,3,8,1
505914,3,8,,4,1,3,1996,2,1,,,,18,,,,,2,1,2,1,1,0.3490055545,2,0,7,3,5,8,1
505914,4,8,,4,1,3,1996,2,1,,,,18,,,,,2,1,2,1,1,0.3490055545,2,0,7,3,5,8,1
505916,1,8,,2,1,1,1916,1,3,,,,15,1,4,,,82,5,2,1,2,0.7067150162,2,1,6,3,5,8,1
505916,2,8,,2,2,2,1923,1,3,,,,15,1,4,,,75,5,2,1,2,0.7067150162,2,1,6,3,5,8,1
505920,1,8,,4,1,1,1963,1,5,3,,,2,,7,,,35,2,2,1,1,0.3497074444,2,1,2,1,4,8,1
505920,2,8,,4,2,2,1966,1,5,2,,,2,,4,,,32,2,2,1,1,0.3497074444,2,1,2,1,4,8,1
505920,3,8,,4,2,3,1994,2,1,,,,18,,,,,4,1,2,1,1,0.3497074444,2,0,7,3,5,8,1
505920,4,8,,4,1,3,1996,2,1,,,,18,,,,,2,1,2,1,1,0.3497074444,2,0,7,3,5,8,1
505924,1,8,,6,1,1,1957,1,5,1,,,2,,4,,,41,3,2,1,1,0.3279978526,2,1,2,1,4,8,1
505924,2,8,,6,2,2,1962,1,5,1,,,2,,2,,,36,2,2,1,1,0.3279978526,2,1,2,1,2,8,1
505924,3,8,,6,1,3,1981,2,3,,,,17,,,,,17,1,2,1,1,0.3279978526,2,0,7,3,5,8,1
505924,4,8,,6,2,3,1981,2,3,,,,17,,,,,17,1,2,1,1,0.3279978526,2,0,7,3,5,8,1
505924,5,8,,6,1,3,1982,2,3,,,,17,,,,,16,1,2,1,1,0.3279978526,2,0,7,3,5,8,1
505924,6,8,,6,2,3,1984,2,3,,,,17,,,,,14,1,2,1,1,0.3279978526,2,0,7,3,5,8,1
505925,1,8,,3,1,1,1959,1,5,2,,,2,,5,,,39,2,2,1,1,0.3730802784,1,1,2,1,4,8,1
505925,2,8,,3,2,2,1966,1,5,5,,,13,,,,,32,2,2,1,1,0.3730802784,1,0,7,3,5,15,3
505925,3,8,,3,2,3,1998,2,1,,,,18,,,,,0,1,2,1,1,0.3730802784,1,0,7,3,5,8,1
505931,1,8,,2,1,1,1943,1,2,,,,15,1,2,,,55,4,2,1,1,0.2856621554,1,1,6,3,5,5,1
505931,2,8,,2,2,2,1947,1,2,,,,13,,,,,51,4,2,1,1,0.2856621554,1,0,7,3,5,8,1
505934,1,8,,2,2,1,1960,2,5,2,,,1,,4,,,38,2,2,1,1,0.4220749647,2,1,1,1,4,8,1
505934,2,8,,2,1,2,1956,2,5,2,,,8,,5,,,42,3,2,1,1,0.4220749647,2,1,5,2,4,8,1
505936,1,8,,2,1,1,1966,1,5,1,,,6,,6,,,32,2,2,1,1,0.4220749647,2,1,4,2,4,8,1
505936,2,8,,2,2,2,1971,1,7,,6,,6,,6,,,27,1,2,1,1,0.4220749647,2,1,4,2,4,8,1
505939,1,8,,2,2,1,1968,2,3,,,,9,,4,,,30,1,2,1,1,0.3954419429,2,1,5,2,4,8,1
505939,2,8,,2,2,4,1928,4,2,,,,15,9,4,,,70,5,2,1,1,0.3954419429,2,1,6,3,5,8,1
505940,1,8,,3,1,1,1958,1,3,,,,8,,3,,,40,2,2,1,1,0.3720987318,2,1,5,2,2,8,1
505940,2,8,,3,2,2,1963,1,5,4,,,8,,3,,,35,2,2,1,1,0.3720987318,2,1,5,2,2,8,1
505940,3,8,,3,1,3,1987,2,1,,,,17,,,,,11,1,2,1,1,0.3720987318,2,0,7,3,5,8,1
505941,1,8,,1,2,1,1932,4,2,,,,15,1,2,,,66,5,2,1,1,0.3685962831,1,1,6,3,5,8,1
505943,1,8,,4,1,1,1963,1,5,1,,,2,,5,,,35,2,2,1,1,0.3497074444,1,1,2,1,4,8,1
505943,2,8,,4,2,2,1967,1,3,,,,13,,,,,31,2,2,1,1,0.3497074444,1,0,7,3,5,8,1
505943,3,8,,4,1,3,1994,2,1,,,,18,,,,,4,1,2,1,1,0.3497074444,1,0,7,3,5,8,1
505943,4,8,,4,2,3,1991,2,1,,,,17,,,,,7,1,2,1,1,0.3497074444,1,0,7,3,5,8,1
505944,1,8,,2,1,1,1939,1,2,,,,15,1,3,,,59,4,2,1,1,0.2856621554,1,1,6,3,5,8,1
505944,2,8,,2,2,2,1942,1,2,,,,13,,,,,56,4,2,1,1,0.2856621554,1,0,7,3,5,8,1
505947,1,8,,4,2,1,1960,1,5,1,,,3,,9,,,38,2,2,1,1,0.3490055545,2,1,2,1,3,8,1
505947,2,8,,4,1,2,1959,1,3,,,,8,,7,,,39,2,2,1,1,0.3490055545,2,1,5,2,4,8,1
505947,3,8,,4,1,3,1990,2,1,,,,17,,,,,8,1,2,1,1,0.3490055545,2,0,7,3,5,8,1
505947,4,8,,4,1,3,1989,2,1,,,,17,,,,,9,1,2,1,1,0.3490055545,2,0,7,3,5,8,1
505949,1,8,,3,1,1,1961,1,3,,,,1,,4,,,37,2,2,1,1,0.403598808,3,1,1,1,4,8,1
