NQUEST,NORD,YL2,YL1,YTP1,YTP2,YTA1,YTA2,YM3,YL,YTP,YTA3,YTA,YT,YM1,YM2,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
1927,2,1300,16000,0,0,0,0,0,17300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17300
1946,1,0,0,5070,0,4000,0,0,0,5070,0,4000,9070,0,0,0,0,0,0,456.21771345,0,0,0,456.21771345,456.21771345,9526.2177134
1946,2,0,0,16250,0,100,0,0,0,16250,0,100,16350,0,0,0,0,0,0,0,0,0,0,0,0,16350
1946,4,0,23400,0,0,0,0,0,23400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23400
2178,1,0,0,8450,0,0,0,0,0,8450,0,0,8450,0,0,0,0,18000,18000,1152.4053227,0,0,560,592.40532274,18592.405323,27042.405323
2178,2,0,0,18200,0,0,0,0,0,18200,0,0,18200,0,0,0,0,0,0,0,0,0,0,0,0,18200
2178,3,0,18200,0,0,0,0,0,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18200
2274,1,0,0,8450,0,0,0,0,0,8450,0,0,8450,0,0,0,0,3400,3400,66,0,0,0,66,3466,11916
2274,2,0,0,8450,0,0,0,0,0,8450,0,0,8450,0,0,0,0,0,0,0,0,0,0,0,0,8450
2447,1,0,12000,0,0,0,0,0,12000,0,0,0,0,21000,0,21000,0,7500,7500,2.464,0,0,0,2.464,7502.464,40502.464
2447,2,0,24000,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
2485,1,0,0,11050,0,0,0,0,0,11050,0,0,11050,0,0,0,0,6000,6000,0,0,0,0,0,6000,17050
2866,1,0,0,11700,0,0,0,0,0,11700,0,0,11700,0,0,0,0,6000,6000,748,0,0,0,748,6748,18448
2866,2,0,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
2875,1,0,0,23400,0,0,0,0,0,23400,0,0,23400,0,0,0,0,6000,6000,0,0,0,0,0,6000,29400
2875,2,0,0,15600,0,0,0,0,0,15600,0,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,15600
2886,1,0,25000,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,6000,6000,924,0,0,0,924,6924,31924
2886,2,0,25000,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000
2963,1,0,0,16800,0,0,0,0,0,16800,0,0,16800,0,0,0,0,18600,18600,1760,0,0,0,1760,20360,37160
2963,2,0,0,9600,0,0,0,0,0,9600,0,0,9600,0,0,0,0,0,0,0,0,0,0,0,0,9600
