NQUEST,RDC,RDCMESI01,RDCMESI02,RDCMESI03,RDCMESI04,RDCMESI05,RDCMESI06,RDCMESI07,RDCMESI08,RDCMESI09,RDCMESI10,RDCMESI11,RDCMESI12,PDC,AUU,AUUMESI03,AUUMESI04,AUUMESI05,AUUMESI06,AUUMESI07,AUUMESI08,AUUMESI09,AUUMESI10,AUUMESI11,AUUMESI12,RDCVAR,RDCAMM,RDCAMM1,RDCAMM2,RDCAMM3,RDCAMM4,RDCAMM5,RDCAMM6,RDCAMM7,RDCAMM8,RDCAMM9,RDCAMM10,RDCAMM11,RDCAMM12,AUUVAR,AUUAMM,AUUAMM3,AUUAMM4,AUUAMM5,AUUAMM6,AUUAMM7,AUUAMM8,AUUAMM9,AUUAMM10,AUUAMM11,AUUAMM12,RDCAUU1,RDCAUU2,RDCAUU3,RDCAUU4,RDCAUU5,RDCAUU6,RDCAUU7,RDCAUU8,RDCAUU9,RDCAUU10,RDCAUU11,RDCAUU12,RDCPAT1,RDCPAT2,RDCPAT3,RDCCONG,NIDO,NIDOAMM,NIDOELEG,VARRED,VARREDFINE2,ASPRED,DOCSEZB
32772,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2
32822,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2
32839,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2
32861,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2
32887,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2
33036,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2
33038,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2
33303,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2
33335,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2
33451,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2
33479,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2
33839,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1
