NQUEST,ANABIT,GODABIT,UNIPRO,QUOPRO,ASCLIMA,ASSISMA,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS1,IMPACQ2,FITTONOP,TFITTONOP,TFITTO,TIPOAFF2,DFITTOM,TFITTOM,PROPRIET2,TFITIMP,RITAFF,SUPAB,ANCOSTR,BAGNI,VALABIT,TRASFAB,TRASFAB_MOT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,DETRIMM1,DETRIMM2,DETRIMM3,DETRIMM4,DETRIMM5,DETRIMM6,DETRIMM7,PROBCLIMA,REDCLIMA,PATCLIMA,ANTIC,ANTICIPI,DEBITA1,NDEBITA1,FONDGAR,DEBITA2,NDEBITA2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,CHIFINMUT1,CHIFINCONS1,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR2_BIS,FMUTRIF2_BIS,MUTUOE2_BIS,MUTUORIF,REAPMUT2_BIS,MUTUORIC2_BIS,PARMUTUO1,PARMUTUO2,PARMUTES1,PARMUTES2,PARFRA1,PARFRA2,NUMFRA1,NUMFRA2,PARANN,PARDEC,PARDUR,PARDUR_1,PARTAS,PARPOSS,PARPOSSCHI,DOCSEZD
23490,1958,5,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,400,,75,1956,1,150000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,100,4,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
23797,1987,5,,,,,,,,,,,,,,,,,,,,,,,2,1200,,70,1960,1,450000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,70,3,3,2,,2,,,2,,2,,2,,2,,1,2,2,,,3,2,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
23821,1959,1,1,,2,2,1959,1,1,0,0,0,0,0,0,0,1,20000,,,,,,,,400,,70,1959,1,80000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,1,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,2,,,,,,,,0,,,,,,,2
23823,2010,1,1,,2,2,2010,0,1,0,0,0,0,0,0,0,1,150000,,,,,,,,500,,110,2009,1,200000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,5,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
24147,1965,1,1,,1,2,1960,1,0,0,0,0,0,0,0,0,3,50000,,,,,,,,1500,,130,1920,2,900000,2,,1,5,1,2,2,,2,,2,2,2,2,2,2,2,30,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
24853,1991,1,1,,2,2,1991,1,1,0,0,0,0,0,0,0,1,75000,,,,,,,,550,,80,1991,1,250000,2,,1,1,2,,1,1,2,,2,2,2,2,2,2,2,10,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
27238,2010,1,1,,2,2,2010,1,0,0,0,0,0,0,0,0,5,20000,,,,,,,,400,,70,2010,1,70000,2,,2,,2,,1,1,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
27730,1970,1,1,,2,2,1968,1,1,0,0,0,0,0,0,0,1,80000,,,,,,,,400,,82,1968,1,90000,2,,1,1,2,,2,,2,,2,2,1,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
27734,1981,1,1,,2,2,1981,1,1,0,0,0,0,0,0,0,1,65000,,,,,,,,250,,52,1979,1,80000,2,,2,,2,,2,,2,,2,2,1,2,2,2,2,2,4,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
27739,2021,2,,,,,,1,0,0,0,0,0,0,0,0,,,,,350,3,1,400,1,,2,55,1960,1,50000,2,,1,1,1,3,2,,2,,2,2,2,2,2,2,2,0,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
27742,1945,1,1,,2,2,1945,1,0,0,0,0,0,0,0,0,5,25000,,,,,,,,350,,70,1945,1,85000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,2,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
27912,1953,1,1,,2,2,1953,0,1,0,0,0,0,0,0,0,3,30000,,,,,,,,500,,80,1950,2,120000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,10,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
27923,1963,1,1,,2,2,1963,1,0,0,0,0,0,0,0,0,3,50000,,,,,,,,450,,110,1963,2,160000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,40,2,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
28992,1983,1,1,,2,2,1983,1,0,0,0,0,0,0,0,0,1,25000,,,,,,,,650,,90,1970,1,200000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
29140,1965,1,1,,1,1,1965,1,0,0,0,0,0,0,0,0,5,30000,,,,,,,,500,,100,1965,1,300000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,15,2,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
29678,1980,1,1,,2,2,1980,1,1,0,0,0,0,0,0,0,5,20000,,,,,,,,600,,100,1975,2,120000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,50,4,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
29680,1989,1,1,,1,1,1986,1,1,0,0,0,0,0,0,0,2,20000,,,,,,,,500,,100,1970,2,90000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,50,2,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,2,,,,,,,0,,,,,,,2
29737,2003,1,1,,2,2,2002,0,1,0,0,0,0,0,0,0,3,300000,,,,,,,,700,,90,1968,2,280000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,10,5,5,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
31093,1985,1,1,,2,2,1985,1,0,0,0,0,0,0,0,0,1,60000,,,,,,,,600,,88,1985,2,210000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
31220,2010,1,1,,2,2,1988,1,0,0,0,0,0,0,0,0,5,100000,,,,,,,,300,,80,1988,1,120000,2,,1,1,1,2,2,,2,,2,2,2,2,2,2,2,10,1,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
31625,1970,1,2,50,2,2,2019,1,0,0,0,0,0,0,0,0,3,200000,2,,,,,,,1000,,100,1970,2,220000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,1,1,2,,2,,2,,2,,,1,2,2,,2,,1,2,1,,,2,,,,,,,,,0,,,,,,,2
