NQUEST,ANABIT,GODABIT,UNIPRO,QUOPRO,ASCLIMA,ASSISMA,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS1,IMPACQ2,FITTONOP,TFITTONOP,TFITTO,TIPOAFF2,DFITTOM,TFITTOM,PROPRIET2,TFITIMP,RITAFF,SUPAB,ANCOSTR,BAGNI,VALABIT,TRASFAB,TRASFAB_MOT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,DETRIMM1,DETRIMM2,DETRIMM3,DETRIMM4,DETRIMM5,DETRIMM6,DETRIMM7,PROBCLIMA,REDCLIMA,PATCLIMA,ANTIC,ANTICIPI,DEBITA1,NDEBITA1,FONDGAR,DEBITA2,NDEBITA2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,CHIFINMUT1,CHIFINCONS1,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR2_BIS,FMUTRIF2_BIS,MUTUOE2_BIS,MUTUORIF,REAPMUT2_BIS,MUTUORIC2_BIS,PARMUTUO1,PARMUTUO2,PARMUTES1,PARMUTES2,PARFRA1,PARFRA2,NUMFRA1,NUMFRA2,PARANN,PARDEC,PARDUR,PARDUR_1,PARTAS,PARPOSS,PARPOSSCHI,DOCSEZD
923226,1994,2,,,,,,1,0,0,0,0,0,0,0,0,,,,,400,2,2,,2,,2,100,1988,2,150000,2,,1,1,2,,2,,2,,2,2,2,2,2,2,2,10,4,4,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,1
923310,2018,2,,,,,,,,,,,,,,,,,,,300,2,2,,2,,1,56,1970,1,50000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923351,1974,1,1,,2,2,1974,1,0,0,0,0,0,0,0,0,1,15000,,,,,,,,400,,110,1974,1,120000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923354,1979,1,1,,2,2,1979,1,0,0,0,0,0,0,0,0,5,50000,,,,,,,,400,,196,1979,2,150000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,2,,,,,,,0,,,,,,,2
923399,1992,1,1,,2,2,1989,1,0,0,0,0,0,0,0,0,1,35000,,,,,,,,350,,96,1974,1,100000,2,,2,,2,,1,2,1,2,2,2,2,2,2,2,2,50,2,6,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,2,,,,,,,,0,,,,,,,2
923416,1997,1,1,,2,2,2017,1,1,0,0,0,0,0,0,0,1,130000,,,,,,,,600,,130,1976,2,150000,2,,1,1,2,,1,1,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923422,1971,1,1,,2,2,2002,1,0,0,0,0,0,0,0,0,3,150000,,,,,,,,500,,95,1970,2,140000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,20,1,1,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,2,2,,,,,,,0,,,,,,,2
923436,2000,1,1,,2,2,2000,1,0,0,0,0,0,0,0,0,1,60000,,,,,,,,400,,45,2000,1,60000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,1,1,2,,,1,2,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923437,2015,2,,,,,,1,0,0,0,0,0,0,0,0,,,,,60,4,1,250,4,,2,90,1980,1,120000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,25,3,4,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,2,,,,,,,,0,,,,,,,2
923438,2015,2,,,,,,,,,,,,,,,,,,,550,1,1,700,2,,2,96,2004,2,300000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,10,4,4,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923441,1978,1,1,,2,2,1978,1,0,0,0,0,0,0,0,0,1,120000,,,,,,,,500,,110,1978,2,170000,2,,1,1,2,,2,,2,,2,2,2,2,2,2,2,10,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923442,1984,1,1,,2,2,1984,1,1,0,0,0,0,0,0,0,2,150000,,,,,,,,430,,110,1972,2,150000,2,,1,5,2,,1,1,2,,2,2,2,2,2,2,2,15,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923443,1998,1,1,,2,2,1996,1,1,0,0,0,0,0,0,0,1,40000,,,,,,,,500,,110,1980,2,150000,2,,1,4,2,,1,1,2,,2,2,2,2,2,2,2,80,3,2,2,,2,,,2,,1,1,1,1,2,,2,,2,,,1,2,2,,2,,1,2,1,,,,,3,,,,,,,0,,,,,,,2
923444,1962,5,,,,,,,,,,,,,,,,,,,,,,,1,400,,90,1950,1,70000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,5,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923446,1962,1,1,,2,2,1962,1,0,0,0,0,0,0,0,0,5,50000,,,,,,,,250,,80,1962,1,40000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,20,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923447,1988,1,1,,2,2,1988,0,1,0,0,0,0,0,0,0,4,15000,,,,,,,,400,,90,1800,2,150000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,5,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923497,2019,1,1,,2,2,1990,1,0,0,0,0,0,0,0,0,1,25000,,,,,,,,200,,90,1960,1,50000,2,,1,1,2,,1,1,1,1,2,2,2,2,2,2,2,20,6,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923530,1996,1,2,50,2,2,1996,1,0,0,0,0,0,0,0,0,1,45000,2,,,,,,,400,,100,1994,1,150000,2,,1,1,2,,2,,2,,2,2,2,2,2,2,2,5,2,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923533,1975,1,1,,2,2,1983,1,1,0,0,0,0,0,0,0,4,30000,,,,,,,,150,,70,1884,1,40000,2,,2,,2,,1,1,2,,2,2,2,2,2,2,2,10,2,6,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,2,1,,,,,,,,,,,,0,,,,,,,2
923535,2003,1,1,,2,2,2003,0,0,1,0,0,0,0,0,0,5,500000,,,,,,,,500,,450,2003,2,300000,2,,1,2,1,10,1,7,2,,2,2,2,2,2,2,2,20,2,2,2,,2,,,1,1,2,,2,,2,,2,,2,,1,,2,2,,2,,1,1,1,,,2,3,,,,,,,,0,,,,,,,2
923541,1998,1,1,,2,2,2010,1,0,0,0,0,0,0,0,0,1,130000,,,,,,,,250,,120,1960,1,150000,2,,2,,2,,1,1,2,,2,2,2,2,2,2,2,50,6,6,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923580,2001,2,,,,,,,,,,,,,,,,,,,480,1,2,,2,,2,136,1965,2,180000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,10,3,3,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923583,1984,1,1,,2,2,1984,1,0,0,0,0,0,0,0,0,5,50000,,,,,,,,600,,90,1970,2,185000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,5,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923630,2008,1,1,,2,2,2005,1,0,0,0,0,0,0,0,0,1,20000,,,,,,,,100,,18,1980,1,20000,2,,2,,1,1,2,,2,,2,2,2,2,2,2,2,20,4,4,2,,2,,,2,,2,,1,1,2,,2,,2,,,2,2,2,,2,,1,2,1,,,2,,3,,,,,,,0,,,,,,,2
923640,1975,1,1,,2,2,1990,1,0,0,0,0,0,0,0,0,1,3500,,,,,,,,300,,45,1935,1,40000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,15,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923664,1965,1,1,,2,2,1965,1,0,0,0,0,0,0,0,0,1,20000,,,,,,,,400,,90,1964,1,125000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,20,6,6,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923739,2009,1,1,,2,2,2010,1,0,0,0,0,0,0,0,0,3,45000,,,,,,,,150,,25,1950,1,50000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,80,2,1,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,2,,,,,,,,0,,,,,,,2
923805,1983,1,1,,2,2,1983,1,0,0,0,0,0,0,0,0,4,150000,,,,,,,,500,,150,1983,2,180000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,50,3,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923809,1999,5,,,,,,,,,,,,,,,,,,,,,,,5,400,,87,1975,1,50000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,50,3,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923811,1975,1,1,,2,2,1975,1,0,0,0,0,0,0,0,0,5,5000,,,,,,,,500,,150,1975,2,180000,2,,2,,2,,1,2,2,,2,2,2,2,2,2,2,50,1,1,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923859,1983,1,1,,2,2,1983,1,1,0,0,0,0,0,0,0,4,150000,,,,,,,,650,,180,1982,2,250000,2,,1,1,2,,1,2,1,1,1,2,2,2,2,2,2,20,2,2,2,,1,1,1,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923887,1990,1,1,,2,2,1990,0,1,0,0,0,0,0,0,0,1,50000,,,,,,,,400,,100,1980,2,90000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,90,2,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,2,2,,,,,,,0,,,,,,,2
923888,1983,1,1,,2,2,1983,1,1,0,0,0,0,0,0,0,1,120000,,,,,,,,400,,110,1980,2,130000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,90,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923891,1994,1,1,,2,2,1994,1,0,0,0,0,0,0,0,0,1,65000,,,,,,,,400,,95,1980,1,100000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,100,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923893,1950,5,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,300,,90,1940,1,50000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,90,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923899,1969,1,1,,2,2,1969,1,1,0,0,0,0,0,0,0,1,70000,,,,,,,,400,,95,1960,1,90000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,100,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923900,1972,1,1,,2,2,1974,1,0,0,0,0,0,0,0,0,3,25000,,,,,,,,250,,90,1960,1,45000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,100,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,2,,,,,,,,0,,,,,,,2
923907,2000,5,,,,,,,,,,,,,,,,,,,,,,,1,350,,100,1960,2,50000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,100,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,2,2,,,,,,,0,,,,,,,2
923911,1981,1,1,,2,2,1981,1,0,0,0,0,0,0,0,0,3,30000,,,,,,,,250,,90,1970,1,50000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
923919,2012,2,,,,,,,,,,,,,,,,,,,360,1,2,,2,,2,100,1980,2,100000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,100,2,4,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,2,2,,,,,,,0,,,,,,,2
923977,2009,1,1,,2,2,2002,0,1,0,0,0,0,0,0,0,1,70000,,,,,,,,500,,107,2002,2,180000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,10,3,3,2,,2,,,2,,2,,1,1,2,,2,,2,,,1,2,2,,2,,1,2,1,,,2,2,2,,,,,,,0,,,,,,,2
923984,1998,1,1,,2,2,1998,1,1,0,0,0,0,0,0,0,2,65000,,,,,,,,350,,75,1990,2,75000,2,,2,,2,,2,,2,,1,2,2,2,2,2,2,10,3,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,3,3,,,,,,,0,,,,,,,2
923991,1995,5,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,250,,95,1980,1,70000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,20,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,2,,,,,,,,0,,,,,,,2
924005,2011,1,1,,2,2,2010,1,1,0,0,0,0,0,0,0,2,65000,,,,,,,,350,,75,1965,1,75000,2,,2,,2,,2,,2,,1,2,2,2,2,2,2,20,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,2,2,,,,,,,0,,,,,,,2
924026,1975,1,1,,2,2,1975,1,1,0,0,0,0,0,0,0,1,21000,,,,,,,,300,,100,1974,1,140000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924034,1991,1,1,,2,2,1991,1,1,0,0,0,0,0,0,0,1,35000,,,,,,,,350,,110,1970,1,100000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924035,2016,1,1,,2,2,2016,1,1,0,0,0,0,0,0,0,1,340000,,,,,,,,600,,120,2010,2,350000,2,,1,1,2,,2,,2,,2,2,2,2,2,2,2,10,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924036,2021,1,1,,2,2,2021,1,0,0,0,0,0,0,0,0,1,120000,,,,,,,,600,,120,2020,1,160000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,5,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,3,,,,,,,,0,,,,,,,2
924041,1987,1,1,,2,2,1987,1,1,0,0,0,0,0,0,0,1,30000,,,,,,,,350,,80,1980,1,100000,2,,1,2,2,,1,1,2,,2,2,2,2,2,2,2,5,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924069,1989,1,1,,2,2,1989,1,1,0,0,0,0,0,0,0,3,40000,,,,,,,,300,,100,1960,2,90000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,70,4,4,2,,2,,,1,1,1,1,2,,2,,2,,2,,2,2,2,2,,2,,1,1,1,,,2,,,,,,,,,0,,,,,,,2
924071,1989,1,1,,2,2,1989,1,1,0,0,0,0,0,0,0,1,45000,,,,,,,,350,,100,1950,2,120000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924081,2018,2,,,,,,1,0,0,0,0,0,0,0,0,,,,,220,3,2,,2,,1,90,1970,1,80000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,90,4,4,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924082,1994,2,,,,,,,,,,,,,,,,,,,320,1,2,,2,,2,90,1990,1,70000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,40,4,4,2,,,,,2,,2,,2,,2,,1,1,2,,,2,2,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924088,1993,1,1,,2,2,1993,0,1,0,0,0,0,0,0,0,3,50000,,,,,,,,400,,110,1960,2,130000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,60,2,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,3,,,,,,,,0,,,,,,,2
924093,1997,1,1,,2,2,1997,1,0,0,0,0,0,0,0,0,3,100000,,,,,,,,450,,100,1965,2,130000,2,,2,,2,,1,1,2,,2,2,2,2,2,2,2,100,2,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,3,3,,,,,,,0,,,,,,,2
924120,1975,1,1,,2,2,1975,1,0,0,0,0,0,0,0,0,1,50000,,,,,,,,500,,125,1974,1,220000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924140,1996,1,1,,2,2,1996,1,0,0,0,0,0,0,0,0,1,100000,,,,,,,,600,,100,1995,1,250000,2,,2,,2,,1,1,2,,2,2,2,2,2,2,2,5,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924204,2008,1,1,,2,2,2007,1,1,0,0,0,0,0,0,0,1,90000,,,,,,,,300,,90,2005,2,150000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,5,4,4,2,,1,1,1,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,2,3,3,,,,,,,0,,,,,,,2
924205,1958,5,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,200,,100,1900,1,80000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924207,2004,1,1,,2,2,2004,1,1,0,0,0,0,0,0,0,1,100000,,,,,,,,300,,128,1990,2,120000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,3,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,3,1,,,2,2,2,,,,,,,0,,,,,,,2
924213,1971,1,1,,2,2,1971,1,0,0,0,0,0,0,0,0,2,40000,,,,,,,,250,,90,1960,1,100000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,5,3,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924221,1991,1,1,,2,2,1991,1,1,0,0,0,0,0,0,0,1,37000,,,,,,,,250,,70,1990,1,37000,2,,1,1,2,,1,2,2,,2,2,2,2,2,2,2,5,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924229,1933,1,1,,2,2,1980,1,0,0,0,0,0,0,0,0,3,40000,,,,,,,,250,,120,1930,1,65000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,5,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924264,2000,1,1,,2,2,1998,1,1,0,0,0,0,0,0,0,1,90000,,,,,,,,400,,85,1990,2,120000,2,,2,,2,,2,,2,,1,2,2,2,2,2,2,20,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924269,1990,1,1,,2,2,1960,1,0,0,0,0,0,0,0,0,3,40000,,,,,,,,250,,65,1950,1,65000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,20,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924271,1995,1,1,,2,2,1995,1,0,0,0,0,0,0,0,0,1,60000,,,,,,,,300,,65,1960,1,60000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,10,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924289,2018,1,1,,2,1,2016,1,1,0,0,0,0,0,0,0,1,150000,,,,,,,,450,,103,1970,1,250000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,20,2,2,2,,1,1,3,2,,2,,2,,2,,2,,2,,3,,2,2,,2,,2,,,,,2,2,2,,,,,,,0,,,,,,,2
924290,2020,1,1,,2,2,2019,1,0,0,0,0,0,0,0,0,1,90000,,,,,,,,400,,90,2005,2,105000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,20,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,3,3,,,,,,,0,,,,,,,2
924301,1998,1,1,,2,2,1998,1,1,0,0,0,0,0,0,0,1,60000,,,,,,,,400,,85,1990,1,150000,2,,2,,1,1,2,,2,,2,2,2,2,2,2,2,3,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924304,1997,1,1,,2,2,1996,1,0,0,0,0,0,0,0,0,1,110000,,,,,,,,400,,75,1996,1,200000,2,,1,1,2,,1,2,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924310,1977,1,1,,2,2,1977,1,0,0,0,0,0,0,0,0,3,30000,,,,,,,,350,,90,1976,1,140000,2,,1,2,2,,2,,2,,2,2,2,2,2,2,2,2,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924322,2000,1,1,,2,2,2000,1,0,0,0,0,0,0,0,0,1,100000,,,,,,,,500,,115,2000,1,180000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924323,2012,1,1,,2,2,2012,1,1,0,0,0,0,0,0,0,1,150000,,,,,,,,600,,140,2010,2,280000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,5,4,4,2,,1,1,1,2,,2,,2,,2,,2,,2,,3,,2,2,,2,,1,3,1,,,2,3,3,,,,,,,0,,,,,,,2
924324,2004,1,1,,2,2,2004,1,0,0,0,0,0,0,0,0,1,100000,,,,,,,,450,,90,1970,1,130000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,5,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,3,3,,,,,,,0,,,,,,,2
924482,1972,1,1,,2,2,1972,1,1,0,0,0,0,0,0,0,5,2500,,,,,,,,150,,70,1972,1,30000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924492,1981,1,1,,2,2,1980,1,1,0,0,0,0,0,0,0,5,15000,,,,,,,,350,,120,1980,1,150000,2,,1,2,2,,1,2,1,1,2,2,2,2,2,2,2,0,,,2,,2,,,1,1,1,1,2,,2,,2,,2,,1,1,2,2,,2,,1,2,1,,,2,,,,,,,,,0,,,,,,,2
924498,1966,1,1,,2,2,1966,0,1,0,0,0,0,0,0,0,5,10000,,,,,,,,300,,200,1963,1,100000,2,,1,2,2,,1,2,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924499,1975,1,1,,1,1,1975,1,0,0,0,0,0,0,0,0,1,100000,,,,,,,,500,,200,1975,2,80000,2,,1,1,2,,2,,2,,2,2,2,2,2,2,2,50,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924509,2005,2,,,,,,,,,,,,,,,,,,,230,2,1,350,1,,1,80,1900,1,200000,1,3,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,,,,2,,1,1,2,,2,,2,,2,,,3,2,2,,2,,1,2,1,,,2,2,2,,,,,,,0,,,,,,,2
924513,2011,1,1,,2,2,2007,1,0,0,0,0,0,0,0,0,4,100000,,,,,,,,400,,110,2005,2,150000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,1,1,3,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,2,2,2,,,,,,,0,,,,,,,2
924539,1956,1,1,,2,2,1956,1,0,0,0,0,0,0,0,0,1,5000,,,,,,,,600,,120,1955,2,130000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924546,2009,1,1,,2,2,2009,1,1,0,0,0,0,0,0,0,5,100000,,,,,,,,300,,130,2009,2,100000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,3,1,,,,,2,,,,,,,0,,,,,,,2
924557,2011,1,1,,2,2,2011,1,0,0,0,0,0,0,0,0,1,107000,,,,,,,,600,,110,1970,2,150000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
924572,1972,4,,,,,,,,,,,,,,,,,,,,,,,1,300,,80,1960,1,50000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,1,1,2,,2,,2,,2,,2,,1,,2,2,,2,,1,1,1,,,2,,,,,,,,,0,,,,,,,2
924606,2016,1,1,,2,2,2016,1,0,0,0,0,0,0,0,0,3,100000,,,,,,,,450,,95,1950,2,125000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,40,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
