NQUEST,NORD,INTPER,NATTIVITA,TUTTANNO,MESILAV,ORETOT,DOVELAV,ORARIO,FATLOR,YM,YM2
995061,1,1,1,1,,20,1,1,10000,10000,
995061,1,1,2,1,,20,1,1,6000,4200,
996070,1,1,1,3,,2,1,1,1250,1000,
996140,1,1,1,3,,8,2,2,360,300,
998383,1,1,1,1,,40,1,,,,96000
998420,1,1,1,1,,1,2,2,1000,800,
999049,1,1,1,3,,5,1,1,8000,5500,
999049,1,1,2,3,,5,1,1,500,300,
1000795,1,1,1,3,,42,3,2,600,600,
1001360,2,1,1,3,,15,2,2,5000,3000,
1002069,2,2,1,2,6,8,2,3,3500,3500,
1002577,1,1,1,3,,25,3,3,7500,5000,
1003289,1,1,1,3,,3,2,2,1200,1000,
1003996,4,1,1,3,,40,2,2,2100,1500,
1004390,1,1,1,3,,3,1,1,1200,1200,
1004476,4,1,1,1,,40,2,,,,10500
1004645,1,1,1,3,,2,2,1,1200,1000,
1004658,3,1,1,3,,3,2,2,3000,2000,
1005188,1,1,1,3,,1,2,2,400,300,
1005290,3,1,1,1,,24,1,,,,15000
1005325,1,1,1,1,,30,1,,,,10000
1005929,4,1,1,2,2,25,2,2,2000,1500,
1006666,1,1,1,3,,4,2,1,3000,2500,
1006683,4,1,1,3,,5,1,1,500,300,
1006683,4,1,2,3,,5,1,1,500,300,
1007506,3,1,1,3,,3,2,2,400,400,
1007527,1,1,1,1,,10,1,,,,60000
1007527,1,1,2,1,,3,1,,,,20000
1007527,1,1,3,1,,5,1,,,,25000
1007527,1,1,4,1,,3,1,,,,25000
1008047,3,1,1,3,,5,2,2,500,500,
1008278,2,2,1,2,7,28,1,2,3500,2500,
1008356,1,2,1,3,,40,1,,,,20000
1009087,1,1,1,1,,38,2,2,80000,41000,
1009373,1,1,1,1,,18,3,1,6000,4500,
1009714,3,3,1,2,6,40,2,2,3600,3000,
1010231,3,1,1,1,,45,2,2,10000,10000,
1012688,3,3,1,1,,8,3,1,19500,5000,
1013174,1,1,1,1,,12,1,,,,8000
1015601,3,1,1,3,,20,3,2,4000,3200,
1016973,1,1,1,1,,12,2,2,6000,4200,
1017244,1,1,1,3,,4,1,1,300,300,
1018173,3,3,1,3,,5,3,3,24000,18000,
1018281,3,1,1,3,,16,2,,,,6000
1019678,3,1,1,3,,16,2,2,1200,900,
1019960,1,1,1,1,,30,1,,,,5000
1019960,2,1,1,1,,36,3,3,15000,3000,
1022843,1,1,1,2,1,2,1,1,100,100,
1023247,1,1,1,1,,36,2,,,,20000
1023247,2,1,1,1,,20,2,1,7000,6000,
1023281,2,1,1,1,,10,3,,,,6000
1023571,1,1,1,3,,5,1,1,7500,5000,
1023571,1,1,2,3,,5,1,1,1000,750,
1023571,1,1,3,3,,5,1,1,1500,750,
1024784,1,1,1,3,,10,2,2,3000,2600,
1026738,1,1,1,1,,60,2,,,,12000
1026796,1,1,1,1,,60,2,2,20000,15000,
1026860,1,1,1,2,2,4,1,1,500,500,
1027093,2,2,1,1,,40,1,,,,100000
1027995,1,1,1,1,,40,2,2,15000,12000,
1029773,1,1,1,1,,10,3,,,,10000
1030151,1,1,1,3,,10,2,2,1000,1000,
1030162,1,1,1,1,,28,1,,,,24000
1030189,1,1,1,1,,40,2,,,,16000
1030826,5,1,1,1,,40,2,2,15000,10000,
1031016,1,1,1,2,1,6,2,2,480,384,
1032420,1,1,1,3,,5,1,,,,10000
1033431,1,1,1,1,,20,2,2,2400,2000,
1035049,3,1,1,3,,21,2,2,4500,3200,
1035546,2,1,1,1,,54,2,2,1070,1070,
1036015,1,1,1,3,,4,2,2,1600,1000,
1037020,2,2,1,1,,1,1,,,,2500
1037020,2,2,2,1,,1,1,,,,6000
1037283,2,1,1,3,,16,2,2,2500,2500,
1037476,1,1,1,1,,3,1,1,1000,800,
1037476,2,2,1,1,,2,1,1,1500,1000,
1037527,2,1,1,1,,50,2,,,,20000
1038161,3,1,1,3,,20,2,2,5000,2000,
1039280,1,1,1,1,,12,1,1,32000,25000,
1039506,1,1,1,1,,30,2,,,,50000
1039506,1,1,2,3,,20,2,2,10000,8500,
1039987,1,1,1,1,,10,1,1,16000,12000,
1040968,1,1,1,1,,20,1,1,25000,18000,
1046004,3,3,1,1,,30,2,,,,44000
1050295,3,1,1,3,,6,2,2,615,515,
1056126,2,1,1,3,,18,2,3,1500,1200,
1060984,4,1,1,3,,16,3,2,2500,900,
1061983,2,1,1,2,8,15,1,1,15000,8000,
1063849,1,1,1,1,,4,2,2,3500,2800,
1064590,1,1,1,3,,20,1,1,1000,700,
1064606,1,1,1,2,2,40,2,2,4200,4000,
1064606,1,1,2,2,6,12,1,1,800,800,
1066259,3,1,1,3,,24,1,1,6000,5000,
1068350,1,1,1,1,,15,1,,,,10000
1068759,2,1,1,1,,40,2,,,,1500
1071066,4,1,1,3,,10,1,2,1500,1000,
1072462,2,1,1,1,,30,1,1,20000,15000,
