NQUEST,NORD,INTPER,NATTIVITA,PARTIME,CONTRATT,TUTTANNO,MESILAV,ATTEST,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,YLNMC,CONTAZ2_1,CONTAZ2_2,AMMCONTAZ_1,AMMCONTAZ_1_1,AMMCONTAZ_2,AMMCONTAZ_2_1
672417,1,1,1,1,1,1,,1,6,40,2,,28000,2,,,2,2,,,,
672417,2,1,1,2,1,1,,1,4,15,2,,12000,2,,,2,2,,,,
673145,1,1,1,1,1,1,,1,6,40,1,4,23000,1,150,,1,2,380,,,
673145,2,2,1,1,1,1,,1,2,40,1,0,20000,1,500,,2,2,,,,
673452,2,1,1,2,1,1,,1,1,20,2,,12000,2,,,2,2,,,,
673467,1,1,1,1,1,1,,1,7,50,1,7,18000,2,,,2,2,,,,
673467,2,2,1,2,1,1,,1,1,20,2,,13000,2,,,2,2,,,,
673540,2,1,1,1,1,1,,1,4,27,2,,11050,1,1800,BUONI PASTO,2,2,,,,
673882,1,1,1,1,1,1,,1,5,40,2,,19500,2,,,2,2,,,,
673882,2,1,1,1,1,1,,1,2,36,2,,16000,1,500,,2,2,,,,
673882,3,1,1,1,1,1,,1,2,38,1,2,16500,2,,,2,2,,,,
673882,4,1,1,1,1,1,,1,4,40,2,,17000,2,,,2,2,,,,
674105,1,1,1,1,1,1,,1,5,40,2,,14600,2,,,2,2,,,,
674105,2,2,1,2,1,1,,1,4,24,1,2,9800,2,,,2,2,,,,
674106,1,1,1,1,1,1,,1,3,40,2,,21800,2,,,2,2,,,,
674229,2,1,1,1,1,1,,1,8,35,2,,18000,2,,,2,2,,,,
674239,1,1,1,1,1,1,,1,6,24,2,,29000,2,,,2,2,,,,
674842,1,1,1,2,1,1,,1,1,24,2,,14300,2,,,2,2,,,,
674868,3,1,1,1,1,1,,1,2,40,2,,20000,2,,,2,2,,,,
674968,3,1,1,1,1,1,,1,1,36,2,,10000,2,,,2,2,,,,
675280,2,1,1,1,1,1,,1,8,40,2,,28000,2,,,2,2,,,,
675280,3,1,1,1,1,1,,1,6,40,2,,20000,2,,,2,2,,,,
675334,1,2,1,1,1,1,,1,8,36,1,2,20410,2,,,2,2,,,,
675801,3,1,1,2,1,1,,1,1,24,2,,16000,2,,,2,2,,,,
675801,4,1,1,2,1,1,,1,1,15,2,,10000,2,,,2,2,,,,
676304,1,1,1,2,1,1,,1,1,24,1,0,7800,2,,,1,2,,1,,
677112,1,1,1,1,2,1,,1,6,40,2,,17500,1,1800,Ticket pasti,2,2,,,,
677489,1,1,1,1,1,2,9,1,8,38,2,,18500,2,,,2,2,,,,
678160,1,1,1,1,1,1,,1,8,37,2,,30000,2,,,1,2,,1,,
680244,1,1,1,1,1,1,,1,6,40,2,,39000,2,,,1,1,,1,,1
680244,2,2,1,1,1,1,,1,6,40,1,1,17500,1,1270,Ticket mensa,2,2,,,,
680430,1,1,1,1,1,1,,1,7,40,2,,12000,2,,,2,2,,,,
680537,1,2,1,1,1,1,,1,1,40,2,,25000,2,,,2,2,,,,
680537,2,2,1,2,1,1,,1,2,20,2,,11000,2,,,2,2,,,,
680537,3,2,1,1,2,1,,1,5,40,2,,20000,2,,,2,2,,,,
680537,4,2,1,1,1,1,,1,2,40,1,0,9800,2,,,2,2,,,,
680587,1,1,1,1,1,1,,1,8,36,2,,25000,1,1200,,2,2,,,,
681192,2,1,1,1,2,1,,1,3,40,1,5,16300,2,,,2,2,,,,
681387,1,1,1,2,1,1,,1,1,20,2,,9500,2,,,2,2,,,,
681394,1,2,1,1,1,1,,1,2,40,1,12,20000,2,,,2,2,,,,
681394,2,2,1,2,1,1,,1,4,20,2,,8000,2,,,2,2,,,,
681520,1,2,1,1,1,1,,1,2,45,2,,18000,2,,,2,2,,,,
681822,1,1,1,1,1,1,,1,8,40,2,,23000,2,,,1,2,,1,,
682204,2,1,1,1,1,1,,1,7,40,2,,17520,2,,,2,2,,,,
682204,4,1,1,1,1,2,6,1,6,35,2,,9300,2,,,2,2,,,,
682298,1,1,1,2,1,1,,1,5,32,1,5,11000,2,,,2,2,,,,
682298,2,1,1,1,1,1,,1,5,36,1,4,15000,2,,,2,2,,,,
682298,3,1,1,1,2,1,,1,4,40,1,0,16000,2,,,2,2,,,,
682298,4,4,1,2,2,2,6,1,7,25,1,4,6000,2,,,2,2,,,,
682359,1,1,1,1,1,1,,1,8,36,1,5,24500,2,,,2,2,,,,
682359,3,1,1,1,2,1,,1,8,18,2,,19000,2,,,2,2,,,,
682408,2,1,1,1,1,1,,1,6,38,1,10,21500,1,1800,Buoni pasto,1,2,,1,,
682897,1,1,1,1,1,1,,1,7,38,2,,22000,1,800,,1,2,,1,,
682897,3,1,1,1,1,1,,1,4,40,2,,18000,2,,,2,2,,,,
682918,2,1,1,2,1,1,,1,1,5,2,,6500,2,,,2,2,,,,
683119,1,1,1,1,1,1,,1,4,40,2,,24000,2,,,1,2,1300,,,
683119,2,1,1,1,1,1,,1,5,40,2,,23000,2,,,1,2,,1,,
683164,1,1,1,1,1,1,,1,5,36,1,0,27300,1,500,,2,2,,,,
683247,3,1,1,1,1,1,,1,2,40,2,,14300,2,,,2,2,,,,
683349,1,1,1,1,1,1,,1,7,50,2,,45000,2,,,1,1,,1,,1
683349,2,1,1,1,1,1,,1,7,45,2,,25000,2,,,1,1,,1,,1
683472,2,1,1,1,1,1,,1,8,30,2,,18500,2,,,2,2,,,,
683472,3,1,1,1,2,1,,1,5,40,1,0,10000,2,,,2,2,,,,
683669,2,2,1,1,1,1,,1,8,18,2,,18000,2,,,2,2,,,,
683727,3,1,1,1,1,1,,1,5,50,1,10,16000,2,,,2,2,,,,
684000,2,1,1,1,1,1,,1,2,42,2,,14400,2,,,2,2,,,,
684279,1,1,1,2,1,1,,1,2,21,2,,8000,2,,,2,2,,,,
684671,1,1,1,1,2,2,5,1,2,40,2,,8000,2,,,2,2,,,,
684740,2,2,1,1,1,1,,1,1,40,2,,9600,2,,,1,2,600,,,
684740,3,2,1,2,1,1,,1,1,20,2,,6000,2,,,2,2,,,,
685016,2,1,1,1,1,1,,1,8,30,2,,13500,2,,,2,2,,,,
685296,1,1,1,1,1,1,,1,6,45,1,5,22000,2,,,2,2,,,,
685297,1,1,1,1,1,1,,1,3,36,2,,18000,2,,,2,2,,,,
685299,1,1,1,1,1,1,,1,6,45,1,5,32000,2,,,2,2,,,,
685301,2,1,1,1,1,1,,1,4,40,2,,23000,2,,,2,2,,,,
685780,4,1,1,1,1,1,,1,4,40,2,,16000,2,,,1,1,,1,,1
685780,5,1,1,1,2,1,,2,7,40,2,,10000,2,,,2,2,,,,
685812,1,1,1,1,1,1,,1,5,32,2,,15000,2,,,2,2,,,,
685812,2,1,1,1,1,1,,1,1,29,1,4,22000,2,,,2,2,,,,
685902,1,1,1,1,1,1,,1,3,22,2,,32000,2,,,2,2,,,,
685905,2,2,1,2,1,1,,1,3,30,2,,10000,2,,,2,2,,,,
685905,3,1,1,1,2,2,2,1,7,40,2,,2400,2,,,2,2,,,,
686014,2,1,1,1,2,1,,1,1,30,2,,13000,2,,,2,2,,,,
686185,1,1,1,1,1,1,,1,8,26,2,,27000,2,,,2,2,,,,
686185,2,1,1,2,2,1,,1,8,25,2,,20000,2,,,2,2,,,,
686190,2,1,1,1,1,1,,1,4,40,2,,15000,2,,,2,2,,,,
686717,2,1,1,1,2,1,,1,2,35,2,,14000,2,,,2,2,,,,
686866,1,1,1,1,1,1,,1,2,40,2,,15000,2,,,2,2,,,,
686866,2,1,1,1,1,1,,1,2,36,2,,25000,2,,,2,2,,,,
686866,3,1,1,1,2,1,,1,2,36,2,,12000,2,,,2,2,,,,
686866,4,1,1,1,1,1,,1,2,40,2,,15000,2,,,2,2,,,,
687022,1,1,1,1,2,2,9,1,3,40,2,,12800,1,952,Mensa scolastica,2,2,,,,
687022,2,1,1,1,1,1,,1,4,40,2,,19300,1,1800,Ticket pasti,1,2,,1,,
687287,3,2,1,1,1,1,,1,1,40,2,,15000,2,,,2,2,,,,
687321,1,1,1,2,2,2,3,1,1,20,2,,1950,2,,,2,2,,,,
687321,2,2,1,1,1,1,,1,2,37,2,,32000,1,250,,2,2,,,,
687699,1,1,1,1,1,1,,1,7,40,1,4,28000,2,,,2,2,,,,
687699,2,1,1,1,1,1,,1,4,36,2,,20000,2,,,2,2,,,,
687849,2,1,1,1,2,1,,1,4,50,2,,17000,2,,,2,2,,,,
687934,1,1,1,1,1,1,,1,7,40,2,,21000,1,600,,2,2,,,,
687934,2,1,1,1,2,2,10,1,4,40,2,,15000,2,,,2,2,,,,
687971,3,1,1,1,1,1,,1,6,40,1,1,16900,2,,,2,2,,,,
687987,1,1,1,1,1,1,,1,2,40,2,,21600,2,,,2,2,,,,
687987,2,1,1,2,1,1,,1,4,30,2,,8400,2,,,2,2,,,,
688264,2,1,1,1,1,1,,1,8,36,2,,20000,2,,,2,2,,,,
700740,1,1,1,1,1,1,,1,6,40,2,,17500,2,,,1,2,,1,,
700740,4,1,1,2,2,1,,1,3,30,2,,2800,2,,,2,2,,,,
701240,1,1,1,1,1,1,,1,4,36,2,,10000,2,,,2,2,,,,
701240,3,1,1,1,1,1,,1,1,40,2,,10000,2,,,2,2,,,,
702643,3,1,1,2,1,1,,1,2,40,1,6,3600,2,,,2,2,,,,
705116,1,1,1,1,1,1,,1,3,40,2,,22000,2,,,1,2,960,,,
705116,2,1,1,2,2,2,7,1,4,25,2,,7500,2,,,2,2,,,,
706224,1,1,1,1,1,1,,1,6,36,2,,16000,1,600,,2,2,,,,
706224,3,1,1,2,2,3,,1,1,1,2,,4000,2,,,2,2,,,,
706634,2,1,1,1,2,1,,1,5,40,2,,14300,2,,,2,2,,,,
706634,3,1,1,1,1,1,,1,5,40,1,2,20800,1,200,,2,2,,,,
706727,2,1,1,1,1,1,,1,1,40,2,,25000,2,,,2,2,,,,
709420,3,1,1,1,1,1,,1,4,38,2,,12000,2,,,2,2,,,,
710507,2,2,1,1,2,2,7,1,8,36,2,,8500,2,,,2,2,,,,
710556,2,1,1,1,1,1,,1,7,40,1,1,30000,1,2000,,1,2,2000,,,
710606,2,1,1,1,1,1,,1,2,42,1,0,16000,2,,,2,2,,,,
712244,1,1,1,2,1,1,,1,1,20,2,,4800,2,,,2,2,,,,
713400,3,1,1,1,1,1,,1,1,40,2,,18000,2,,,2,2,,,,
713700,1,1,1,1,1,1,,1,8,42,2,,75000,1,1800,,1,1,300,,300,
713700,2,1,1,2,1,1,,1,8,10,2,,15000,2,,,2,2,,,,
713837,2,1,1,2,1,1,,1,2,20,2,,8000,2,,,2,2,,,,
713837,3,1,1,1,1,1,,1,7,40,2,,19000,2,,,2,2,,,,
714021,3,3,1,1,2,2,1,1,2,40,2,,1000,2,,,2,2,,,,
714021,3,3,2,1,2,2,6,1,2,40,1,4,6000,2,,,2,2,,,,
714416,1,1,1,2,1,1,,1,1,45,2,,14400,2,,,2,2,,,,
715065,1,1,1,2,1,1,,1,1,20,2,,10000,2,,,1,2,,1,,
715065,2,1,1,1,1,1,,1,8,40,1,5,50000,2,,,2,2,,,,
716849,1,1,1,2,2,2,6,1,2,6,1,2,5500,2,,,2,2,,,,
716849,3,1,1,1,2,1,,1,2,32,2,,15000,2,,,2,2,,,,
716937,1,1,1,1,1,1,,1,8,36,2,,22000,2,,,2,2,,,,
716937,3,1,1,1,1,1,,1,7,40,2,,24000,2,,,2,2,,,,
717669,1,1,1,1,1,1,,1,6,40,2,,14000,2,,,2,2,,,,
717669,3,1,1,1,1,2,6,1,2,40,2,,12100,2,,,2,2,,,,
717900,1,1,1,1,1,1,,1,7,40,2,,35000,2,,,2,2,,,,
718006,1,1,1,1,1,1,,1,8,36,1,2,25000,2,,,2,2,,,,
719613,1,1,1,1,1,1,,1,8,40,2,,24000,2,,,2,2,,,,
719840,2,1,1,1,1,1,,1,8,40,2,,16440,2,,,2,2,,,,
720117,2,1,1,1,1,1,,1,1,30,2,,100000,1,700,,2,2,,,,
720117,2,1,2,1,2,1,,1,1,10,2,,8000,2,,,2,2,,,,
720603,2,1,1,1,1,1,,1,1,30,2,,4000,2,,,2,2,,,,
720634,1,1,1,1,1,2,8,1,8,40,1,2,12000,2,,,2,2,,,,
720634,2,1,1,1,1,1,,1,1,36,2,,7800,2,,,2,2,,,,
721871,1,1,1,1,1,1,,1,8,40,2,,22000,2,,,2,2,,,,
721871,2,1,1,1,1,1,,1,8,40,2,,21000,2,,,2,2,,,,
723207,1,1,1,1,2,2,4,1,2,36,2,,4950,2,,,2,2,,,,
723207,2,1,1,1,2,2,6,1,2,36,2,,6800,2,,,2,2,,,,
724213,1,1,1,1,1,1,,1,7,40,2,,15000,1,200,,2,2,,,,
724635,1,1,1,1,1,1,,1,6,38,1,1,20000,1,600,,2,1,,,100,
725716,1,1,1,1,1,1,,1,8,36,2,,27000,2,,,2,2,,,,
725716,2,1,1,1,1,1,,1,8,36,1,5,43000,2,,,2,2,,,,
726553,1,2,1,1,1,1,,1,7,40,1,1,25000,1,1700,,2,2,,,,
726553,2,2,1,2,1,1,,1,7,34,1,2,17000,2,,,2,2,,,,
730333,1,1,1,1,1,1,,1,5,40,2,,20000,2,,,2,2,,,,
730402,1,2,1,1,1,1,,1,4,40,2,,36000,1,3000,,2,2,,,,
730430,1,1,1,1,1,2,9,1,8,36,2,,18000,2,,,2,2,,,,
730430,2,1,1,1,1,1,,1,4,40,2,,20000,2,,,2,2,,,,
732013,1,1,1,1,1,1,,1,7,32,2,,22000,2,,,2,2,,,,
733363,1,1,1,2,2,2,8,1,8,20,2,,5600,2,,,2,2,,,,
733363,2,1,1,1,1,1,,1,8,40,1,2,16000,2,,,2,2,,,,
733755,1,1,1,1,1,1,,1,8,18,2,,19000,2,,,2,2,,,,
735143,1,1,1,1,1,1,,1,6,34,1,1,26000,2,,,2,2,,,,
735143,2,2,1,2,1,1,,1,7,24,1,2,15400,2,,,2,2,,,,
735143,3,1,1,1,1,1,,1,4,40,1,1,16900,2,,,2,2,,,,
735401,1,1,1,1,1,1,,1,3,40,2,,22500,1,1800,Ticket pasti,1,1,,1,,1
735401,2,1,1,1,1,1,,1,5,40,2,,36000,1,1800,Ticket pasti,1,1,,1,,1
735621,1,1,1,1,1,1,,1,8,36,1,2,25000,1,400,,2,2,,,,
735621,2,1,1,1,1,1,,1,8,36,2,,20000,1,600,,2,2,,,,
736206,1,1,1,1,1,1,,1,6,36,2,,18000,1,1500,,2,2,,,,
736206,3,1,1,1,1,1,,1,6,40,2,,16000,2,,,2,2,,,,
736206,4,1,1,1,1,1,,1,2,60,2,,10000,2,,,2,2,,,,
736917,1,1,1,1,1,1,,1,7,40,2,,29400,1,1500,,2,2,,,,
736917,2,2,1,1,1,1,,1,8,24,2,,21500,1,500,,2,2,,,,
736935,1,1,1,1,1,1,,1,7,45,2,,43000,1,4500,,1,1,1000,,660,
736935,2,1,1,2,1,1,,1,8,33,2,,26000,2,,,1,2,1000,,,
736957,1,1,1,1,1,1,,1,8,40,2,,40000,2,,,2,2,,,,
736957,2,1,1,1,1,1,,1,7,40,2,,15000,2,,,2,2,,,,
800003,1,1,1,1,1,1,,1,6,40,2,,18000,1,1800,Buoni pasto che dipendono dai giorni che faccio in presenza o in smartworking,2,2,,,,
800010,2,1,1,1,2,2,8,1,2,44,2,,12800,2,,,2,2,,,,
800464,1,1,1,1,1,1,,1,8,18,2,,21000,2,,,2,2,,,,
800464,2,1,1,1,1,1,,1,7,36,1,0,24000,2,,,2,2,,,,
