NQUEST,NORDEB2,QUALEIMM,DEBM2,ANMUTUOI2,MUTUODUI2,MUTUOINI2,DEBGAR2,DEBPERS2,DEBRF2,DEBREFMOT2_1,DEBREFMOT2_2,DEBREFMOT2_2C,DEBMOD2_1,DEBMOD2_2,DEBMOD2_8C,ANRIFIN2,MUTUOFIN2,TIPOTAX2,RATACON2,TAXFIS2,TAXVAR2,TMUTUOAB2,TDEBITA2,DEBCOR
936692,1,6,1,2008,30,200000,1,,2,,,,,,,,15,2,2,,2,18000,100000,
936723,1,6,1,2010,25,300000,1,,2,,,,,,,,12,2,2,,3,16800,160000,
936801,1,3,1,2022,20,130000,1,,2,,,,,,,,19,3,2,1,1.2,650,124350,
937081,1,2,1,2021,9,40000,1,,2,,,,,,,,9,2,2,,4,4800,32000,
937209,1,1,1,2019,25,144000,1,,2,,,,,,,,21,2,2,,1.8,8350,136800,
937209,2,2,1,2017,20,78000,1,,2,,,,,,,,15,2,2,,1.4,3500,74100,
937209,3,3,3,2021,10,150000,4,1,2,,,,,,,,9,2,2,,2.4,15000,136000,
937994,1,1,1,2018,30,150000,1,,2,,,,,,,,25,1,,1.5,,8400,142000,1
938183,1,1,2,2021,7,100000,4,1,2,,,,,,,,4,1,,3.7,,40000,30000,
938362,1,1,1,2013,15,50000,1,,3,,,,,,,,6,2,1,,2,4800,28000,
938443,1,2,1,2011,30,110000,1,,2,,,,,,,,17,2,2,,4.38,4320,70000,
938652,1,1,1,2019,12,36000,4,1,2,,,,,,,,9,1,,1.5,,3100,19000,
939260,1,1,1,2015,30,450000,1,,2,,,,,,,,23,1,,0.85,,15000,300000,
939424,1,1,1,2011,20,109000,1,,1,,,,,,,,9,1,,1.8,,6600,60000,
940094,1,2,1,2019,20,170000,1,,2,,,,,,,,20,2,1,,4,12000,160000,
940814,1,2,1,2014,15,130000,1,,1,,,,,,,,6,1,,2,,3600,15000,
940814,2,3,1,2021,15,80000,1,,2,,,,,,,,13,1,,2,,4392,70000,
942406,1,1,1,2017,10,180000,4,1,2,,,,,,,,4,1,,4,,24000,110000,
942430,1,6,2,2010,15,300000,3,,1,,,,,,,,10,2,2,,2,12000,120000,
942430,2,6,4,2020,7,25000,4,1,2,,,,,,,,5,1,,1,,2000,23000,
944121,1,1,1,2008,15,170000,1,,2,,,,,,,,2,2,2,,3,13800,28000,
944136,1,1,1,2019,10,80000,1,,2,,,,,,,,7,2,2,,4,7500,58000,
945123,1,3,2,2019,30,150000,1,,2,,,,,,,,25,1,,1.8,,6600,120000,
946048,1,1,1,2012,25,400000,1,,2,,,,,,,,15,1,,4,,24000,200000,
947003,1,7,1,2015,24,245000,1,,2,,,,,,,,15,1,,2.17,,13164,166000,
947951,1,6,2,2020,3,50000,1,,2,,,,,,,,1,1,,1.6,,29000,26400,
948920,1,1,1,2010,20,200000,1,,2,,,,,,,,8,1,,4,,10000,80000,
949117,1,1,1,2022,19,150000,1,,2,,,,,,,,18,1,,1.9,,7500,145000,
949227,1,1,2,2019,10,30000,3,,2,,,,,,,,6,1,,7,,4320,25920,
949264,1,3,1,2010,20,120000,1,,2,,,,,,,,7,1,,3,,6000,42000,
949292,1,1,2,2022,10,20000,4,1,2,,,,,,,,9,2,1,,1,2040,18000,
949372,1,1,1,2007,20,50000,1,,2,,,,,,,,5,1,,2,,3000,15000,
949425,1,2,1,2020,20,67000,1,,2,,,,,,,,17,1,,2.2,,3900,63000,
949529,1,7,1,2017,30,70000,4,1,2,,,,,,,,25,1,,2.5,,4800,55000,
950222,1,1,3,2010,15,65000,1,,2,,,,,,,,3,2,2,,5,5300,15000,
951019,1,2,1,2019,30,133000,1,,2,,,,,,,,24,1,,3,,6000,112000,
951125,1,3,1,2017,10,200000,1,,2,,,,,,,,5,2,1,,3,21600,130000,
951236,1,1,1,2017,20,160000,1,,2,,,,,,,,15,1,,2.1,,9600,140000,
951236,2,2,1,2019,20,80000,1,,2,,,,,,,,17,1,,2.1,,4500,76000,
951458,1,1,2,2020,10,2000000,3,,1,,,,,,,,7,2,1,,2,220000,1450000,
951469,1,2,1,2013,20,250000,1,,2,,,,,,,,5,1,,2,,24000,70000,
951566,1,7,1,2017,10,56000,4,1,2,,,,,,,,5,1,,5,,5700,12500,
951597,1,1,1,2014,25,90000,1,,1,,,,,,,,16,1,,2.2,,4800,100000,
951597,2,2,1,2016,25,85000,1,,2,,,,,,,,18,1,,2.15,,3600,60000,
951597,3,3,1,2016,25,70000,1,,2,,,,,,,,19,1,,2.15,,3000,50000,
951597,4,6,1,2017,20,25000,1,,2,,,,,,,,14,1,,2.05,,1680,19000,
952228,1,2,1,2017,15,68000,1,,2,,,,,,,,10,1,,1.5,,5200,48000,
952337,1,7,1,2009,30,200000,1,,2,,,,,,,,16,2,2,,5,7800,90000,
952425,1,1,1,2015,15,210000,1,,1,,,,,,,,8,1,,2,,12480,120000,
952723,1,6,1,2008,20,400000,1,,2,,,,,,,,5,2,1,,1,20000,100000,
952815,1,1,1,2008,20,60000,1,,2,,,,,,,,7,1,,2,,2400,20000,
952933,1,6,1,2017,17,300000,1,,2,,,,,,,,11,2,2,,5.3,18000,160000,
953340,1,1,1,2021,15,85000,2,,2,,,,,,,,13,2,2,,3,8000,77000,
953373,1,1,2,2002,20,130000,1,,1,,,,,,,,5,2,2,,5,450,35000,
953442,1,1,2,2021,10,60000,1,,2,,,,,,,,7,2,2,,2.5,10200,25000,
953951,1,2,1,2004,20,250000,1,,2,,,,,,,,2,1,,1,,16000,32000,
954179,1,1,3,2003,20,200000,1,,2,,,,,,,,2,3,1,3.5,1,15000,25000,
954521,1,1,1,2005,20,100000,1,,2,,,,,,,,2,2,2,,3.11,6000,13000,
954777,1,1,1,2002,22,300000,1,,3,,,,,,,,12,2,2,,2,4800,40000,
954907,1,1,1,2006,30,140000,1,,2,,,,,,,,13,1,,1,,5500,70000,
954907,2,2,1,2020,15,80000,1,,2,,,,,,,,13,1,,2,,5500,68000,
954929,1,2,1,2015,20,90000,1,,2,,,,,,,,13,2,2,,2.65,5000,61000,
955150,1,1,1,2021,30,200000,1,,2,,,,,,,,29,2,1,,3,6000,195000,
955579,1,1,1,1998,25,170000,1,,2,,,,,,,,2,2,1,,0.5,8500,70000,
955797,1,1,1,2007,30,237000,1,,2,,,,,,,,14,1,,1,,3000,70000,
955797,2,2,1,2019,10,120000,1,,2,,,,,,,,6,1,,1,,10800,70000,
956017,1,3,1,2016,35,130000,2,,2,,,,,,,,28,2,2,,2,5000,110000,
957002,1,2,2,2015,20,300000,2,,2,,,,,,,,13,2,2,,2,13000,200000,
957225,1,1,1,2002,30,200000,1,,2,,,,,,,,10,1,,5,,7150,120000,
957556,1,1,2,2020,5,8000,4,1,2,,,,,,,,2,1,,4.9,,2400,4500,
957657,1,1,1,2014,15,320000,1,,2,,,,,,,,6,1,,3,,24000,104000,
957687,1,1,1,2020,30,200000,1,,2,,,,,,,,28,1,,2,,7200,185000,
959167,1,1,1,2005,20,50000,1,,2,,,,,,,,4,1,,2.3,,2500,10000,
960182,1,1,1,2002,20,220000,1,,2,,,,,,,,0,1,,1.5,,10800,1000,
960657,1,1,1,2012,15,65000,1,,1,,,,,,,,5,1,,4,,4000,20000,
961538,1,1,1,2019,15,200000,1,,2,,,,,,,,11,2,2,,5,19200,180000,
961640,1,1,1,2018,20,150000,1,,2,,,,,,,,16,1,,1.5,,8500,116000,
970189,1,1,1,2016,15,160000,1,,2,,,,,,,,7,2,2,,2.8,13200,90000,
970357,1,2,2,2022,3,8300,4,1,2,,,,,,,,2,1,,5,,2760,5520,
973354,1,1,1,2004,20,112000,1,,2,,,,,,,,2,2,2,,4,5880,12008,
980250,1,6,1,2022,15,145000,1,,2,,,,,,,,15,2,2,,3.5,2200,143000,
980477,1,1,1,2016,8,5000,4,1,2,,,,,,,,1,1,,6,,990,1000,
981146,1,7,4,2013,20,220000,4,1,2,,,,,,,,11,1,,1,,18000,22000,
981753,1,1,1,2006,30,120000,1,,2,,,,,,,,14,1,,3,,3400,47000,
981855,1,7,1,2011,15,75000,1,,1,,,,,,,,3,2,1,,3,4500,12000,1
983489,1,7,1,2018,4,12000,1,,1,,,,,,,,3,1,,8,,1740,4200,1
985517,1,1,1,2012,15,330000,2,,2,,,,,,,,5,2,2,,2,23000,130000,
986438,1,1,1,2022,10,150000,1,,2,,,,,,,,9,1,,2,,13200,137000,
986572,1,1,1,2010,20,80000,1,,2,,,,,,,,8,2,1,,4,6480,52000,
987718,1,1,1,2018,10,70000,1,,2,,,,,,,,5,1,,5,,7400,33000,
988780,1,1,2,2000,20,100000,1,,2,,,,,,,,2,1,,3,,12000,30000,
989018,1,1,1,2016,15,60000,1,,2,,,,,,,,8,2,1,,2,5500,35000,
989096,1,6,2,2022,10,80000,2,,2,,,,,,,,9,1,,1.5,,7000,78000,
990363,1,1,1,2014,10,10000,4,1,2,,,,,,,,1,1,,3,,750,1500,
990401,1,1,1,2019,10,110000,4,1,2,,,,,,,,5,1,,2.75,,9600,60000,
990454,1,6,1,2020,10,100000,1,,2,,,,,,,,7,1,,0.7,,9600,70000,
990490,1,1,1,2020,18,250000,1,,2,,,,,,,,15,1,,2.5,,24000,220000,
990513,1,1,1,2016,10,70000,4,1,2,,,,,,,,3,2,2,,6,6600,30000,
991448,1,2,1,2014,10,40000,4,1,2,,,,,,,,2,2,1,,5.32,4850,8330,
991571,1,1,1,2022,10,50000,4,1,2,,,,,,,,9,1,,1.8,,6000,47000,
991988,1,1,1,2004,20,155000,1,,2,,,,,,,,1,1,,1,,4800,5200,
994004,1,1,1,2018,10,40000,1,,2,,,,,,,,5,2,2,,4,6120,30000,
994255,1,1,1,2022,30,90000,1,,2,,,,,,,,30,2,1,,4,1000,29000,
995183,1,1,2,2015,20,70000,1,,2,,,,,,,,13,1,,0.04,,3500,40000,
995763,1,7,1,2017,25,139000,2,,2,,,,,,,,19,2,2,,2.5,7600,118000,1
1001480,1,1,3,2018,10,70000,1,,2,,,,,,,,6,1,,1,,7200,43200,
1001905,1,1,2,2008,20,60000,2,,2,,,,,,,,6,1,,5.5,,4500,23829,
1002659,1,1,1,2020,5,20000,1,,2,,,,,,,,2,1,,6,,3840,7680,
1003835,1,7,1,2018,15,60000,1,,2,,,,,,,,10,1,,3,,4560,42000,
1005030,1,2,4,2019,15,40000,1,,2,,,,,,,,12,1,,1,,2772,30857,
1005030,2,1,1,2019,15,66000,1,,2,,,,,,,,12,1,,1,,4728,52880,
1005087,1,7,1,2011,15,70000,1,,2,,,,,,,,3,2,2,,3,6000,10000,1
1005325,1,1,1,2010,14,100000,1,,2,,,,,,,,2,1,,2,,6900,17200,
1007037,1,7,1,2019,30,150000,1,,2,,,,,,,,26,1,,4,,6000,126000,
1008271,1,1,1,1999,25,150000,1,,2,,,,,,,,1,1,,3,,6200,12000,
1008334,1,1,1,2017,20,100000,1,,1,,,,,,,,9,3,2,1,4,6000,70000,
1008617,1,1,1,2011,30,130000,1,,2,,,,,,,,18,2,2,,0.6,5000,90000,
1008825,1,1,1,2017,30,190000,1,,2,,,,,,,,24,1,,3,,8400,140000,
1008867,1,1,2,2009,15,70000,1,,2,,,,,,,,1,2,2,,0.45,5600,10500,
1012823,1,7,2,2020,10,15000,4,1,2,,,,,,,,7,1,,2,,1800,11600,
1014425,1,1,1,2021,25,100000,1,,2,,,,,,,,24,1,,3,,9000,95000,
1015197,1,7,1,2020,15,100000,4,1,3,,,,,,,,12,1,,3,,18000,85000,
1016279,1,2,1,2021,20,130000,1,,2,,,,,,,,20,1,,1,,7000,120000,
1016383,1,2,1,2011,20,110000,1,,2,,,,,,,,8,2,2,,4.2,6600,55000,
1016507,1,2,1,2013,15,100000,1,,2,,,,,,,,5,1,,2.5,,6000,15000,
1016748,1,1,1,2019,30,85000,1,,2,,,,,,,,26,1,,1.4,,2640,74400,
1016908,1,7,1,2019,7,25000,2,,2,,,,,,,,3,3,1,3,3,6000,8000,
1017328,1,1,1,2010,30,130000,1,,2,,,,,,,,17,2,2,,4,7000,80000,
1018013,1,1,1,2017,10,20000,4,2,3,,,,,,,,4,1,,3,,3000,17000,
1020941,1,7,2,2018,15,78000,1,,2,,,,,,,,10,2,1,,2,3600,40000,
1021045,1,1,2,2012,25,120000,1,,1,,,,,,,,8,1,,4.5,,11400,50000,
1021615,1,1,1,2021,30,156000,1,,2,,,,,,,,28,1,,2,,6000,151000,
1022160,1,1,1,2011,20,140000,1,,2,,,,,,,,9,1,,1,,4800,43000,
1022160,2,1,1,2019,20,50000,1,,2,,,,,,,,17,1,,0.5,,2400,37000,
1022580,1,2,1,2005,25,750000,3,,2,,,,,,,,7,2,2,,4,42000,250000,1
1022580,2,2,2,2020,10,100000,4,1,2,,,,,,,,7,1,,3,,10200,71000,1
1024555,1,1,1,2015,10,90000,1,,2,,,,,,,,3,3,2,2,3,10000,30000,
1024583,1,1,2,2017,10,30000,1,,2,,,,,,,,4,1,,4,,4900,18000,
1024636,1,7,1,2008,20,100000,1,,2,,,,,,,,5,1,,5.2,,8461,42600,1
1026460,1,6,1,2020,20,150000,1,,2,,,,,,,,17,1,,2,,8300,130000,
1026782,1,1,1,2022,30,170000,4,1,2,,,,,,,,30,2,2,,2,470,170000,
1026885,1,1,1,2010,20,70000,4,2,2,,,,,,,,7,1,,4,,5616,40000,
1027296,1,1,1,2022,20,50000,1,,2,,,,,,,,19,1,,3,,2600,48000,
1027686,1,1,1,2016,15,100000,1,,2,,,,,,,,8,3,2,3,3,9000,50000,
1030835,1,1,1,2005,20,55000,1,,2,,,,,,,,3,1,,1,,5000,15000,
1031632,1,1,1,2011,15,180000,4,1,2,,,,,,,,3,1,,2,,9600,36800,2
1031744,1,1,1,2017,15,100000,1,,2,,,,,,,,11,2,1,,2,6000,76000,
1034008,1,1,1,2017,15,50000,1,,2,,,,,,,,9,1,,3,,4000,30000,
1034500,1,1,1,2021,30,140000,1,,2,,,,,,,,28,1,,1,,4800,134400,
1034990,1,2,1,2022,30,360000,1,,2,,,,,,,,29,1,,3,,1500,358500,
1035060,1,1,1,2022,15,100000,1,,2,,,,,,,,14,1,,3,,3000,97000,
1035077,1,1,1,2022,30,140000,1,,2,,,,,,,,29,1,,3,,8000,132000,
1035083,1,1,1,2017,10,80000,1,,2,,,,,,,,5,1,,2.5,,9000,40000,
1035083,2,2,1,2022,10,100000,1,,2,,,,,,,,10,1,,2,,5000,95000,
1035539,1,1,2,2022,10,25000,2,,2,,,,,,,,9,1,,6,,3600,23000,
1035560,1,1,1,2019,17,100000,1,,2,,,,,,,,13,1,,3,,6240,75000,
1035599,1,1,1,2014,30,180000,1,,2,,,,,,,,22,1,,2.5,,6000,126000,
1035614,1,1,1,2004,35,170000,1,,2,,,,,,,,16,2,1,,4,6000,90000,
1036471,1,2,2,2013,20,120000,1,,2,,,,,,,,10,2,1,,4,15000,60000,
1037020,1,1,1,2014,20,100000,1,,2,,,,,,,,12,1,,1,,7900,48000,
1037165,1,1,1,2008,30,70000,1,,1,,,,,,,,15,1,,1.55,,4800,35000,
1037210,1,1,2,2020,10,90000,1,,2,,,,,,,,7,1,,1.04,,9600,70000,
1037341,1,7,2,2019,12,80000,1,,2,,,,,,,,8,1,,7,,5784,47000,
1037959,1,1,1,2021,20,100000,1,,2,,,,,,,,18,1,,2,,5000,90000,
1039542,1,3,1,2005,20,180000,1,,2,,,,,,,,3,2,2,,3,13200,40000,
1039755,1,1,1,2004,30,300000,1,,2,,,,,,,,9,2,2,,2,8000,70000,
1039842,1,2,1,2021,25,245000,1,,1,,,,,,,,24,1,,9,,10440,240000,1
1040421,1,1,1,2011,20,167000,1,,2,,,,,,,,9,2,2,,1,8000,64000,
1047691,1,1,1,2008,15,80000,1,,2,,,,,,,,0,2,1,,5,6000,1400,
1050498,1,1,1,2011,30,210000,1,,2,,,,,,,,18,2,1,,1.6,6800,139000,
1052125,1,1,1,2006,30,165000,1,,,,,,,,,,13,2,2,,0,6000,79000,
1053254,1,1,1,2001,30,100000,1,,2,,,,,,,,8,2,1,,5,5500,30000,
1060296,1,7,1,2015,15,50000,4,1,2,,,,,,,,7,1,,4,,4500,30000,
1068747,1,1,2,2021,30,90000,2,,2,,,,,,,,28,3,1,2,2,5040,75000,
1069287,1,1,3,2003,25,100000,2,,2,,,,,,,,5,1,,2,,5000,20000,
