NQUEST,NORD,INTPER,NATTIVITA,TIPOPEN,ENTEPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
674229,1,1,1,1,1,2000,600,12,2,,50
674239,2,2,1,1,1,2020,1700,13,2,,90
674281,2,1,1,1,1,2016,1200,12,2,,70
674283,1,1,1,1,1,2004,800,13,2,,50
674287,1,1,1,1,1,2008,1650,12,2,,90
674572,1,1,1,3,1,2006,620,13,2,,
674968,1,1,1,1,1,1983,1400,13,2,,80
674970,1,2,1,5,1,2018,1100,13,2,,
674970,2,2,1,1,1,2018,900,13,2,,60
674974,1,2,1,1,1,2016,800,13,2,,80
674974,2,2,1,5,1,2020,300,13,2,,
675086,1,1,1,1,1,2006,1400,13,2,,80
675086,1,1,2,3,1,2006,200,13,2,,
675265,2,1,1,1,1,2008,1080,13,2,,50
675667,1,1,1,3,1,2009,1100,12,2,,
675739,1,1,1,3,1,1993,600,13,2,,
675739,1,1,2,1,1,2011,1200,13,2,,33
675801,1,1,1,5,1,1993,300,12,2,,
676304,2,1,1,3,1,1993,600,14,2,,
676304,2,1,2,5,1,2021,500,12,2,,
676374,1,1,1,1,1,2009,1050,13,2,,70
676521,1,1,1,1,1,1992,1600,13,1,1100,90
676521,3,1,1,1,1,2021,1500,13,2,,80
676557,1,1,1,3,1,2014,1400,13,2,,
676580,1,1,1,1,1,1995,960,14,2,,70
676807,1,1,1,3,1,2011,820,13,2,,
676844,1,1,1,3,1,2021,650,13,2,,
676851,1,1,1,1,1,2006,1150,13,2,,80
676941,1,1,1,1,1,2014,535,13,2,,60
677167,1,1,1,1,1,2007,2372,13,2,,90
677195,1,1,1,1,1,2011,1930,13,2,,100
677195,2,1,1,1,1,2006,2750,13,2,,70
677474,1,2,1,1,1,2003,1360,13,2,,60
677474,2,2,1,1,1,1981,1390,13,2,,80
677475,1,2,1,1,1,2016,1050,13,2,,70
677475,2,2,1,1,1,2010,1320,13,2,,70
677476,1,1,1,3,1,2002,530,13,2,,
677489,1,1,1,1,1,2022,2200,13,2,,80
677489,1,1,2,3,1,2007,1200,13,2,,
677946,1,1,1,1,1,2001,3200,13,2,,60
677946,2,1,1,1,1,2002,1900,13,2,,60
680143,1,1,1,1,1,1990,690,13,2,,65
680143,1,1,2,3,1,1987,665,13,2,,
680239,1,1,1,1,1,1996,750,13,2,,80
681097,1,1,1,1,1,2009,900,13,2,,80
681192,1,1,1,1,1,2003,1090,13,2,,75
681349,1,1,1,1,1,2013,890,13,2,,60
681430,1,1,1,1,1,2007,504,14,2,,60
681499,1,1,1,1,1,2000,1032,13,2,,70
681668,1,1,1,1,1,2007,560,13,2,,60
681668,2,2,1,1,1,2010,1400,13,2,,90
682006,1,1,1,1,1,2002,2800,13,2,,70
682169,1,1,1,3,1,2016,900,13,2,,
682192,1,2,1,1,1,1995,1250,13,2,,90
682192,2,2,1,1,1,2003,500,14,2,,90
682192,2,2,2,5,1,1986,250,12,2,,
682210,1,1,1,1,1,2010,1200,13,2,,80
682240,1,1,1,1,1,1998,1620,13,2,,65
682240,2,2,1,1,1,2007,980,13,2,,60
682360,1,1,1,3,1,2001,850,13,2,,
682360,1,1,2,3,1,2014,800,13,2,,
682363,1,1,1,1,1,2003,1900,13,2,,100
682496,1,1,1,5,1,2010,680,13,2,,
682496,2,1,1,2,1,1999,600,13,2,,
682737,1,1,1,1,1,2007,1994,13,2,,60
682737,2,1,1,1,1,2016,2098,13,2,,70
682737,3,1,1,5,1,2010,800,13,2,,
682782,1,1,1,1,1,1999,860,13,2,,70
682812,1,1,1,1,1,2015,1200,13,2,,80
682829,1,1,1,1,1,1994,1600,13,2,,60
682897,2,1,1,1,1,2019,1000,13,2,,100
682969,1,1,1,1,1,2011,1500,13,2,,80
683034,1,1,1,1,1,2020,1400,13,2,,85
683043,1,1,1,1,1,2005,340,13,2,,50
683043,1,1,2,3,1,2006,380,13,2,,
683043,1,1,3,5,1,1996,880,13,2,,
683121,1,1,1,1,1,1998,1500,13,2,,80
683177,1,1,1,1,1,2014,1250,13,2,,70
683247,1,1,1,1,1,2019,1370,13,2,,90
683248,1,1,1,1,1,2012,1316,13,2,,90
683349,7,1,1,1,1,1990,950,13,2,,90
683399,1,1,1,1,1,2008,1700,13,2,,80
683645,1,1,1,1,1,2005,730,14,2,,60
683645,2,1,1,1,1,2004,1100,13,2,,70
683650,1,2,1,1,1,2012,700,13,2,,40
683650,2,1,1,1,1,2009,760,13,2,,30
683661,1,1,1,1,1,2012,2100,13,2,,80
683661,2,1,1,1,1,2019,1300,13,2,,70
683669,1,2,1,1,1,2022,600,12,2,,40
683727,1,1,1,3,1,2006,520,14,2,,
683767,1,1,1,1,1,2015,1420,13,2,,110
683767,2,2,1,1,1,2007,900,13,2,,80
683785,1,1,1,1,1,2010,1290,13,2,,75
683785,1,1,2,3,1,2019,475,13,2,,
683896,1,1,1,1,1,2009,500,14,2,,40
683896,2,1,1,1,1,1992,1200,13,2,,70
683991,2,1,1,1,1,2010,900,12,2,,60
684063,1,1,1,1,1,2018,1700,13,2,,90
684259,2,1,1,1,1,2022,1200,13,2,,40
684359,1,1,1,1,1,2013,1540,13,2,,70
684359,2,1,1,1,1,2004,1200,13,2,,70
684434,1,1,1,1,1,2003,1100,12,1,900,75
684434,2,1,1,1,1,2000,2200,12,1,1930,85
684454,1,1,1,1,1,1986,1050,13,2,,40
684454,2,2,1,1,1,2007,520,13,2,,50
684524,1,1,1,1,1,1998,700,12,2,,70
684524,1,1,2,3,1,2000,300,12,2,,
684525,1,1,1,1,1,2016,1600,13,2,,90
684525,2,1,1,1,1,2021,2000,12,2,,80
684885,2,1,1,1,1,2016,2200,13,2,,85
684937,1,1,1,1,1,2008,900,13,2,,70
685058,1,1,1,1,1,2018,1300,13,2,,70
685130,1,1,1,3,1,2008,1100,13,2,,
685149,1,1,1,1,1,1997,1820,13,2,,70
685164,1,1,1,1,1,2021,2000,13,2,,70
685164,2,1,1,1,1,2017,3500,13,2,,70
685296,2,1,1,5,1,2019,290,13,2,,
