NQUEST,CTIT,NCTIT,ICTIT,BANCHE,SCOPER,UTSCOPER,VMSCOPER,FSCOPER,FSCOPER1,CARTA,CARTE,USOCART,CARTDEB,CARTDEB1,BANCOMAT,CARTAPRE,SPESECON,COLDIS,TRADING,ECREDIT,PAYLAT,PAYLATCOME1,PAYLATCOME2,PAYLATCOME3,PAYLATCOME4,INTERNET,TWEET,DEPOSIT,NDEPOSIT
35322,,,,1,,,,,,2,,,,,1,2,500,2,,,2,,,,,2,,1,1
35323,,,,1,,,,,,2,,,,,2,2,800,2,,,2,,,,,2,,1,1
35340,,,,1,,,,,,2,,,,,2,2,600,2,,,2,,,,,2,,1,1
35372,2,,,1,2,,,,,2,,,,,1,2,600,2,,,2,,,,,1,2,1,2
35640,2,,,1,1,2,,,,1,2,2,,,1,2,700,1,2,3,2,,,,,1,2,1,2
35682,2,,,2,1,2,,,,1,1,1,,,1,1,500,1,3,3,2,,,,,1,2,1,3
35788,2,,,1,2,,,,,1,1,1,,,1,1,600,1,3,3,2,,,,,1,2,1,1
36130,2,,,1,2,,,,,1,1,2,,,1,2,250,1,3,3,2,,,,,1,1,1,1
36186,2,,,1,2,,,,,2,,,,,1,1,650,2,,,2,,,,,1,2,1,1
36250,2,,,1,2,,,,,1,1,2,,,1,2,500,1,3,3,2,,,,,1,2,1,1
36321,2,,,1,1,2,,,,1,1,2,,,2,2,1600,2,,,2,,,,,1,2,1,1
36333,2,,,1,2,,,,,2,,,,,1,2,200,2,,,2,,,,,1,2,1,1
36403,2,,,1,2,,,,,2,,,,,1,2,300,2,,,2,,,,,1,2,1,1
36409,2,,,1,1,2,,,,1,1,2,,,1,2,300,1,3,3,2,,,,,1,2,1,1
36443,2,,,1,2,,,,,1,1,1,,,1,2,500,2,,,2,,,,,2,,1,3
36697,2,,,1,2,,,,,2,,,,,1,2,500,1,3,3,2,,,,,1,2,1,1
36893,2,,,1,2,,,,,1,1,1,,,1,1,1200,2,,,2,,,,,1,2,1,1
37299,2,,,1,2,,,,,2,,,,,2,2,1000,2,,,2,,,,,1,2,1,1
37521,1,1,1,2,2,,,,,2,,,,,1,1,800,1,3,3,2,,,,,1,2,1,2
37810,1,1,1,1,2,,,,,2,,,,,1,2,560,2,,,2,,,,,2,,1,1
38014,2,,,2,1,2,,,,2,,,,,1,1,1000,2,,,2,,,,,2,,1,3
38095,2,,,1,2,,,,,2,,,,,2,2,1000,2,,,2,,,,,1,2,1,1
38106,2,,,2,2,,,,,2,,,,,1,2,100,2,,,2,,,,,2,,1,2
38316,1,1,2,2,2,,,,,1,2,2,,,1,2,100,2,,,2,,,,,1,2,1,2
38877,2,,,2,2,,,,,2,,,,,1,2,400,2,,,2,,,,,2,,1,2
38885,1,1,2,2,1,2,,,,2,,,,,1,2,1200,2,,,2,,,,,1,2,1,3
38939,1,2,2,1,2,,,,,1,1,1,,,1,1,400,1,3,3,2,,,,,1,2,1,2
39056,1,1,1,2,1,2,,,,1,1,2,,,1,2,400,1,3,3,2,,,,,1,2,1,2
