NQUEST,Y,CN,CD1,CD2,CD,C,S
173,33194.077815,23600,0,0,0,23600,9594.077815
2886,58808.398179,33210,0,500,500,33710,25098.398179
3717,6110,10630,0,0,0,10630,-4520
5416,27431.513713,25300,0,0,0,25300,2131.5137132
7886,32031.359272,28000,0,0,0,28000,4031.3592717
20297,34066.994936,16120,5000,400,5400,21520,12546.994936
20711,32801.95149,22840,0,4500,4500,27340,5461.9514902
22099,18009.407781,16200,0,0,0,16200,1809.4077815
22169,8320.4703891,11000,0,0,0,11000,-2679.529611
22173,28618.815563,20050,0,0,0,20050,8568.815563
22286,28129.9405,22500,0,0,0,22500,5629.9404998
22624,35404.703891,19700,0,0,0,19700,15704.703891
22657,47148.344499,28202,0,0,0,28202,18946.344499
23490,22395.586142,11490,-1000,0,-1000,10490,11905.586142
23797,32617.247599,23160,0,0,0,23160,9457.2475994
23821,13656.306821,12570,0,0,0,12570,1086.3068213
23823,27532.927235,19240,0,0,0,19240,8292.9272352
24147,95856.154062,46620,0,3500,3500,50120,45736.154062
24853,60390.488427,26200,0,1500,1500,27700,32690.488427
27238,33162.718543,22500,0,0,0,22500,10662.718543
27730,35806.271854,25765,0,500,500,26265,9541.2718543
27734,19224.940778,11910,0,0,0,11910,7314.9407781
27739,20846.655376,12890,0,0,0,12890,7956.6553759
27742,13161.567964,10460,0,0,0,10460,2701.5679636
27912,37829.757451,26980,0,500,500,27480,10349.757451
27923,26319.279636,21560,0,0,0,21560,4759.2796358
28992,28694.077815,19220,0,0,0,19220,9474.077815
29140,37231.359272,26700,0,0,0,26700,10531.359272
29678,18974.684018,18315,0,0,0,18315,659.68401795
29680,20536.474599,19120,0,0,0,19120,1416.4745991
29737,66659.266014,27550,0,0,0,27550,39109.266014
31093,47210.975745,26600,0,0,0,26600,20610.975745
31220,44869.900515,10116,0,0,0,10116,34753.900515
31625,38494.077815,37688,16000,0,16000,53688,-15193.92219
31652,51973.749002,39400,0,0,0,39400,12573.749002
31695,40025.928049,29330,0,0,0,29330,10695.928049
31757,18382.508742,14940,0,0,0,14940,3442.5087417
31860,53348.951797,47530,0,240,240,47770,5578.9517967
32320,78094.077815,31160,0,0,0,31160,46934.077815
32471,12715.679636,13508,0,0,0,13508,-792.3203642
32524,94512.511877,47397,0,0,0,47397,47115.511877
32556,24260.860702,20750,0,0,0,20750,3510.8607018
32729,41526.655381,38400,0,13000,13000,51400,-9873.344619
32734,21010.975745,19650,0,0,0,19650,1360.9757451
32765,54374.917122,28000,0,500,500,28500,25874.917122
32772,29450.005083,30600,0,0,0,30600,-1149.994917
32822,17009.407781,13725,0,0,0,13725,3284.4077815
32839,39588.15563,33520,0,0,0,33520,6068.15563
32861,39622.622991,26859,0,1000,1000,27859,11763.622991
32887,48760.900667,41650,5000,0,5000,46650,2110.9006665
33036,24552.508742,13200,0,0,0,13200,11352.508742
33038,24806.271854,21580,0,500,500,22080,2726.2718543
33303,37751.359272,19950,0,0,0,19950,17801.359272
33335,42952.192294,25310,0,1000,1000,26310,16642.192294
33451,23415.679636,21500,0,0,0,21500,1915.6796358
33479,44731.359272,25520,0,0,0,25520,19211.359272
33839,13852.578676,13360,0,0,0,13360,492.5786756
33882,22327.155085,20950,0,0,0,20950,1377.155085
33937,28462.718543,16200,0,0,0,16200,12262.718543
34252,19140.975745,18900,0,0,0,18900,240.97574508
34778,32088.913899,13020,0,0,0,13020,19068.913899
34825,55674.93982,24993,0,500,500,25493,30181.93982
35022,16004.703891,21360,0,0,0,21360,-5355.296109
35234,29755.665299,23500,0,500,500,24000,5755.6652989
35322,13970.9382,10090,0,550,550,10640,3330.9381996
35323,20429.983644,15010,0,0,0,15010,5419.9836443
35340,7823.5194537,7700,0,0,0,7700,123.51945375
35372,41283.398179,16650,0,0,0,16650,24633.398179
35640,44888.15563,22980,0,360,360,23340,21548.15563
35682,36143.90298,16900,0,0,0,16900,19243.90298
35788,36125.324011,37100,0,0,0,37100,-974.6759894
36130,45315.679636,24600,6000,0,6000,30600,14715.679636
36186,14902.979131,17150,0,0,0,17150,-2247.020869
