NQUEST,NORD,INTPER,CASD,CIGRED,CIGORE,CIGMESI,CASV,MOBD,MOBV,DISD,DISV,LIQD,LIQV,ACED,ACEV,APLD,APLV,AIPD,AIPV,BORSAD,BORSAV,RRD,RRV,ROD,ROV,ALIMD,ALIMV,ASCD,ASCV,ALTRED,ALTREV
924513,2,1,2,,,,,2,,1,13000,2,,,,,,,,,,,,,,,,,,,
924606,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,4500,2,,2,
924992,2,2,2,,,,,2,,1,5568,2,,,,,,,,,,,,,,,,,,,
925027,1,1,2,,,,,2,,1,2500,2,,,,,,,,,,,,,,,,,,,
925115,1,1,1,2,,,4000,2,,2,,2,,,,,,,,,,,,,,,,,,,
925223,2,1,1,,,,600,2,,2,,2,,,,,,,,,,,,,,,,,,,
925543,1,1,,,,,,,,,,,,2,,1,8000,2,,,,,,,,,,,,,
925752,1,1,,,,,,,,,,,,2,,1,524,2,,,,,,,,,,,,,
925759,1,1,,,,,,,,,,,,1,8400,2,,2,,,,,,,,,,,,,
926676,2,2,,,,,,,,,,,,1,570,2,,2,,,,,,,,,,,,,
927946,2,2,,,,,,,,,,,,1,450,2,,2,,,,,,,,,,,,,
928363,1,1,,,,,,,,,,,,1,850,2,,2,,,,,,,,,,,,,
930014,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,2000,2,,2,,2,
930014,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,1500,2,,2,,2,
930336,3,1,2,,,,,2,,1,1700,2,,,,,,,,,,,,,,,,,,,
930571,3,1,,,,,,,,,,,,1,800,2,,2,,,,,,,,,,,,,
930576,2,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
930577,4,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
930577,5,1,,,,,,,,,,,,1,400,2,,2,,,,,,,,,,,,,
930672,1,1,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
930672,2,1,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
930686,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,300
930686,4,1,,,,,,,,,,,,2,,1,300,2,,,,,,,,,,,,,
930770,1,,,,,,,,,,,,,2,,1,6000,2,,,,,,,,,,,,,
931003,2,1,2,,,,,2,,1,10000,2,,,,,,,,,,,,,,,,,,,
931037,1,1,,,,,,,,,,,,1,8929,2,,2,,2,,2,,1,1000,2,,2,,2,
931037,2,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
931349,2,,,,,,,,,,,,,,,,,,,2,,2,,1,12000,2,,2,,2,
931766,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,50000,2,,2,,2,
931766,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,50000,2,,2,,2,
931766,5,1,,,,,,,,,,,,,,,,,,2,,2,,1,50000,2,,2,,2,
932412,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,3600,2,,2,
932501,1,1,2,,,,,2,,2,,1,90000,,,,,,,,,,,,,,,,,,
932577,3,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
932773,1,1,,,,,,,,,,,,1,1980,2,,2,,,,,,,,,,,,,
933025,4,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
933025,5,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
933580,2,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,1800,2,,2,
933893,4,1,,,,,,,,,,,,1,15000,2,,2,,,,,,,,,,,,,
934140,3,1,,,,,,,,,,,,,,,,,,1,15000,2,,2,,2,,2,,2,
934294,2,2,,,,,,,,,,,,1,1440,2,,2,,,,,,,,,,,,,
934365,3,1,,,,,,,,,,,,1,480,2,,2,,,,,,,,,,,,,
934368,1,,,,,,,,,,,,,2,,1,2800,1,5800,,,,,,,,,,,,
934406,1,1,,,,,,,,,,,,1,780,2,,2,,,,,,,,,,,,,
934524,2,1,,,,,,,,,,,,2,,1,720,2,,,,,,,,,,,,,
934782,1,1,1,1,176,1,,2,,2,,1,10000,,,,,,,,,,,,,,,,,,
935905,2,1,,,,,,,,,,,,1,350,2,,2,,,,,,,,,,,,,
936039,1,1,,,,,,,,,,,,1,900,2,,2,,,,,,,,,,,,,
936424,4,2,,,,,,,,,,,,,,,,,,1,3000,2,,2,,2,,2,,2,
936839,2,1,2,,,,,2,,1,6300,2,,,,,,,,,,,,,,,,,,,
936872,2,1,1,,,,7000,2,,2,,2,,,,,,,,,,,,,,,,,,,
937470,1,1,,,,,,,,,,,,1,1602,2,,2,,,,,,,,,,,,,
937612,1,,,,,,,,,,,,,1,50,2,,2,,,,,,,,,,,,,
938784,1,,,,,,,,,,,,,,,,,,,2,,2,,1,5000,2,,2,,2,
939240,1,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
939266,4,1,,,,,,,,,,,,1,2400,2,,2,,,,,,,,,,,,,
939266,5,1,,,,,,,,,,,,1,2400,2,,2,,,,,,,,,,,,,
939691,1,2,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
940241,1,,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
940308,2,,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
940308,3,,,,,,,,,,,,,1,2600,2,,2,,,,,,,,,,,,,
940359,2,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
940554,4,1,,,,,,,,,,,,,,,,,,1,5000,2,,2,,2,,2,,2,
941928,1,,2,,,,,2,,1,3000,1,1995,,,,,,,2,,2,,2,,2,,2,,1,15300
942056,1,1,2,,,,,2,,1,3600,2,,,,,,,,1,100,2,,2,,2,,2,,2,
942430,3,1,,,,,,,,,,,,,,,,,,1,500,2,,1,4000,2,,2,,1,3000
942528,1,1,,,,,,,,,,,,2,,1,15000,2,,,,,,,,,,,,,
942808,2,2,,,,,,,,,,,,2,,1,960,2,,,,,,,,,,,,,
942839,3,1,,,,,,,,,,,,1,10800,2,,2,,,,,,,,,,,,,
943657,1,2,,,,,,,,,,,,1,10001,2,,2,,,,,,,,,,,,,
944148,1,1,,,,,,,,,,,,2,,1,400,2,,,,,,,,,,,,,
944418,1,,1,2,,,800,2,,2,,2,,,,,,,,,,,,,,,,,,,
944440,1,,,,,,,,,,,,,,,,,,,2,,2,,1,2000,2,,2,,2,
944498,1,1,1,2,,,500,2,,2,,2,,,,,,,,,,,,,,,,,,,
944585,1,1,2,,,,,2,,1,4800,2,,,,,,,,,,,,,,,,,,,
944585,2,1,,,,,,,,,,,,1,3600,2,,2,,,,,,,,,,,,,
944589,1,1,,,,,,,,,,,,1,1800,2,,2,,,,,,,,,,,,,
945003,2,2,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
945013,1,,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
945119,1,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
945767,1,1,2,,,,,2,,1,4000,2,,,,,,,,,,,,,,,,,,,
945779,4,1,,,,,,,,,,,,,,,,,,1,2800,1,2400,2,,2,,2,,2,
945781,3,1,,,,,,,,,,,,,,,,,,1,4200,2,,2,,2,,2,,2,
945784,3,1,,,,,,,,,,,,,,,,,,1,3000,2,,2,,2,,2,,2,
945784,4,1,,,,,,,,,,,,,,,,,,1,4800,2,,2,,2,,2,,2,
946455,3,1,,,,,,,,,,,,2,,2,,1,400,,,,,,,,,,,,
946629,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,3000,2,,2,
946863,2,,,,,,,,,,,,,1,3900,2,,2,,,,,,,,,,,,,
946979,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,5000,2,,2,,2,
947049,2,,,,,,,,,,,,,1,1500,2,,2,,,,,,,,,,,,,
947086,3,2,,,,,,,,,,,,1,2400,2,,2,,,,,,,,,,,,,
947721,3,1,,,,,,,,,,,,,,,,,,1,500,1,3000,2,,2,,2,,2,
947799,4,1,,,,,,,,,,,,1,280,2,,2,,,,,,,,,,,,,
947821,1,1,,,,,,,,,,,,,,,,,,1,1100,2,,2,,2,,2,,2,
948010,1,1,,,,,,,,,,,,1,350,2,,2,,,,,,,,,,,,,
948023,1,1,,,,,,,,,,,,,,,,,,1,516,2,,2,,2,,1,500,2,
948023,2,1,,,,,,,,,,,,,,,,,,2,,1,300,2,,2,,2,,2,
948023,3,1,,,,,,,,,,,,,,,,,,1,50,2,,2,,2,,2,,2,
948092,3,2,,,,,,,,,,,,,,,,,,2,,1,300,2,,2,,2,,2,
948107,2,,,,,,,,,,,,,1,600,2,,2,,2,,2,,2,,1,3000,2,,2,
948140,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,5000,2,,2,,2,
948140,3,1,,,,,,,,,,,,2,,2,,2,,2,,2,,1,2000,2,,2,,2,
948548,1,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
948548,2,1,,,,,,,,,,,,1,40000,2,,2,,,,,,,,,,,,,
948593,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,2000,2,,2,,2,
948593,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,2000,2,,1,800,2,
949070,2,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
949132,3,1,,,,,,,,,,,,,,,,,,1,75,2,,2,,2,,2,,1,300
949132,4,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,225
949185,2,1,,,,,,,,,,,,1,6250,2,,2,,,,,,,,,,,,,
949221,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,3600,2,,2,
949291,2,1,2,,,,,2,,1,3500,2,,,,,,,,,,,,,,,,,,,
949410,2,2,2,,,,,2,,1,500,2,,,,,,,,,,,,,,,,,,,
949463,2,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
949529,1,,,,,,,,,,,,,1,3500,2,,2,,,,,,,,,,,,,
949711,3,1,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
949887,1,1,,,,,,,,,,,,,,,,,,2,,1,6000,2,,2,,2,,2,
950163,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,9900,2,,2,
951073,3,1,,,,,,,,,,,,1,800,2,,2,,,,,,,,,,,,,
951073,4,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
951163,1,1,,,,,,,,,,,,1,1800,2,,2,,,,,,,,,,,,,
951173,1,1,,,,,,,,,,,,1,450,2,,2,,,,,,,,,,,,,
951184,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,900,2,,2,,2,
951184,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,1600,2,,2,,2,
951184,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,1200,2,,2,,2,
951190,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,900,2,,2,,2,
951280,1,1,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
951280,3,1,,,,,,,,,,,,1,6120,2,,2,,,,,,,,,,,,,
951288,1,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
951330,3,1,,,,,,,,,,,,1,3800,2,,2,,,,,,,,,,,,,
951330,4,1,,,,,,,,,,,,1,3800,2,,2,,,,,,,,,,,,,
951350,2,1,2,,,,,2,,1,3554,2,,,,,,,,,,,,,,,,,,,
951450,2,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
951511,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
951793,1,1,,,,,,,,,,,,1,2002,2,,2,,,,,,,,,,,,,
951963,2,2,,,,,,,,,,,,1,3200,2,,2,,,,,,,,,,,,,
951997,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,70000,2,,2,,2,
951997,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,1000
952305,1,,,,,,,,,,,,,1,1300,2,,2,,,,,,,,,,,,,
952337,1,1,,,,,,,,,,,,1,400,2,,2,,,,,,,,,,,,,
