NQUEST,NORD,GIU1,GIU2,GIU3,GIU4,GIU5,GIU6,GIUTOT,GIUTEL
33335,2,4,2,3,3,3,1,3,
33336,1,3,4,4,4,3,2,4,
33336,2,4,1,4,4,4,1,4,
33346,1,4,3,5,5,4,2,4,
33382,1,3,1,5,5,5,1,3,
33455,1,3,3,4,5,5,1,4,
33479,2,3,3,5,4,5,1,3,
33591,1,4,1,2,3,3,2,3,
33626,1,4,4,4,3,2,1,3,
33626,2,3,3,4,2,4,1,3,
33626,3,3,2,4,4,4,1,3,
33634,3,3,3,4,4,4,1,4,
33635,1,4,1,3,4,3,5,3,
33635,3,5,1,4,4,4,2,4,
33684,1,3,4,4,5,4,5,4,
33684,4,4,4,4,5,5,5,5,
33751,1,4,1,4,4,4,1,4,
33751,2,3,2,3,4,4,1,4,
33753,4,5,5,5,3,2,4,3,
33753,6,5,1,4,3,2,1,3,
33773,1,3,1,4,4,2,4,2,
33773,2,4,1,3,3,3,3,2,
33777,1,4,3,5,5,5,3,3,
33778,1,5,1,5,5,5,1,4,
33778,2,3,3,5,4,3,3,3,2
33782,1,3,2,3,3,3,1,3,
33783,1,4,1,5,5,5,3,5,
33783,2,4,1,5,5,5,3,5,2
33792,1,5,3,5,5,3,1,5,
33792,2,5,1,3,5,3,1,5,2
33814,1,4,4,5,5,5,1,3,
33839,1,4,1,1,3,3,2,3,
33839,4,4,1,4,3,3,4,3,
33860,1,5,4,5,5,3,3,5,
33865,1,3,1,4,3,4,3,4,
33865,2,2,4,4,4,2,1,3,
33879,3,5,4,5,5,4,2,5,
33879,4,5,5,5,5,4,2,5,4
33879,5,5,2,4,5,5,4,3,
33895,1,5,3,5,5,4,3,4,
33895,2,4,3,5,5,3,1,4,2
33927,2,5,,3,5,4,1,5,
33934,1,3,1,4,4,3,2,2,
33938,1,4,1,5,5,4,2,5,
33977,2,3,3,5,2,3,4,2,
33983,1,3,3,4,3,3,2,2,
33983,2,2,4,5,1,1,4,1,
33994,1,3,5,5,5,5,2,1,
34011,1,3,4,5,5,2,4,4,
34017,1,5,4,5,4,5,1,4,
34018,1,4,1,1,1,3,1,1,
34029,1,4,4,5,4,4,1,4,
34029,2,3,3,3,2,3,1,4,
34032,3,5,5,5,5,5,2,5,
34032,4,5,5,5,5,5,1,5,
34051,1,2,5,5,3,3,2,3,
34056,1,1,1,3,5,3,5,1,
34058,3,4,2,4,5,5,3,5,
34058,4,4,2,4,5,5,3,5,
34058,6,4,2,4,5,5,3,5,
34062,1,3,3,3,4,4,1,4,
34069,1,4,1,5,4,2,2,3,
34069,2,3,2,2,2,1,2,1,
34124,1,4,3,5,5,3,3,3,
34131,1,3,1,4,5,3,5,5,
34131,2,3,1,4,5,3,5,5,
34134,1,5,1,3,3,5,3,3,
34181,1,3,2,4,3,3,4,3,
34184,1,3,1,3,3,4,1,3,
34192,2,4,3,5,5,5,1,4,
34198,1,3,5,2,2,4,1,4,
34206,1,,4,5,5,4,2,4,
34206,2,5,1,5,5,5,1,5,
34206,3,3,1,5,5,3,2,5,
34211,3,4,3,4,4,4,5,4,
34216,2,5,4,3,3,2,4,4,
34221,1,5,4,3,4,5,1,5,
34221,2,5,4,3,4,3,1,5,
34224,1,4,5,5,5,5,1,5,
34241,1,4,3,4,4,4,1,4,
34242,1,2,1,5,5,,1,5,
34252,1,3,2,3,3,2,1,2,
34255,1,5,1,5,5,5,1,5,
34255,3,3,1,3,1,4,1,1,
34260,1,4,3,3,3,3,1,3,
34264,2,3,3,4,4,4,1,4,
34269,1,4,1,4,4,4,2,4,
34269,2,4,1,3,3,3,2,1,
34273,1,4,1,4,4,3,1,3,
34302,3,3,2,3,4,3,5,3,
34305,1,5,1,3,3,3,1,4,
34319,1,3,1,4,4,3,5,4,
34393,1,4,1,3,4,4,1,4,
34432,1,5,3,5,5,3,1,4,
34435,2,3,5,5,5,4,4,5,
34458,1,3,3,5,5,5,1,5,
34499,1,3,5,5,5,4,1,3,
34499,2,3,5,5,5,4,1,3,
34525,1,3,2,3,3,3,3,4,
34560,1,5,4,4,5,4,4,5,
34584,2,4,1,5,4,5,5,3,2
34653,1,4,4,3,4,3,5,3,
34721,1,3,3,4,3,3,2,3,
34721,2,3,1,5,5,2,4,5,
34732,1,2,2,5,5,4,5,5,
34736,2,4,4,5,5,3,5,4,
34785,1,4,1,5,5,4,3,3,
34793,1,3,4,4,4,3,2,3,
34800,1,3,4,4,3,4,3,3,
34800,3,3,3,5,4,3,2,4,3
34833,1,4,4,4,2,4,3,3,
34833,3,2,1,1,1,2,3,3,
34833,4,4,2,4,4,5,1,4,
34841,1,3,1,5,4,3,3,4,
34841,2,4,1,3,4,3,2,4,
34847,1,3,2,5,5,4,4,4,
34847,2,5,1,5,5,5,1,5,
34852,1,5,1,5,5,5,1,5,
34922,1,3,2,5,3,3,1,3,
34925,1,5,1,3,5,3,1,4,
34926,1,3,3,4,4,5,1,5,
34926,3,4,3,4,4,4,1,4,
34927,1,4,3,4,4,4,1,4,
34931,1,3,4,5,4,4,1,3,
34933,1,3,4,5,3,3,5,3,
34961,2,5,3,5,5,5,1,5,
34962,1,3,4,4,4,4,3,3,
34962,2,4,4,3,3,4,4,3,
34983,1,4,3,4,3,3,2,3,
34983,2,4,3,4,3,3,2,3,
34983,3,4,3,4,3,3,2,2,
35001,3,5,5,4,5,5,2,2,
35022,1,3,4,5,2,4,4,3,
35022,2,4,4,2,5,4,3,5,
35032,1,3,5,2,2,2,3,1,
35032,2,4,5,4,4,1,2,3,
35035,2,3,4,4,2,2,3,3,
35067,3,3,3,4,4,5,3,4,3
35080,1,3,3,3,3,3,3,3,
35080,2,3,2,4,4,3,3,4,
35106,1,4,3,3,3,3,1,3,
35142,3,4,1,3,3,3,1,3,3
35157,1,3,4,4,4,2,3,5,
35168,2,4,4,5,2,3,3,5,
35202,1,3,4,4,5,4,3,4,
35228,1,4,5,5,3,5,1,5,
35228,2,1,3,2,3,2,3,2,3
35231,3,3,5,5,5,5,1,4,
35231,4,4,5,5,5,5,1,4,
35232,2,4,3,5,5,4,3,4,
35276,2,3,2,3,4,4,4,3,
35278,1,4,4,4,4,4,4,5,
35278,2,4,2,4,5,4,4,5,
35281,1,3,2,5,5,5,3,5,
35326,1,4,1,5,5,5,1,5,
35326,3,4,1,4,5,5,1,5,
35332,1,3,3,4,3,3,4,3,
35354,1,3,3,4,3,4,5,4,
35366,1,3,1,3,4,3,1,2,
35366,2,4,2,4,5,3,1,4,
35371,1,3,1,3,3,3,1,3,
35377,1,3,5,5,2,4,1,2,
35381,1,3,5,5,5,4,1,5,
35394,1,4,1,5,3,3,1,4,
35399,1,4,4,5,4,5,1,3,
35399,2,4,3,5,5,5,1,4,
35454,1,3,1,3,3,3,1,3,
35454,2,2,1,4,4,3,1,3,
35458,1,4,1,5,5,5,1,5,
35458,2,4,1,4,5,5,1,5,
35472,1,3,1,3,4,4,1,4,
35472,3,3,1,5,3,2,1,3,
35486,1,4,1,3,3,3,3,4,
35497,1,2,4,4,4,2,2,3,
35497,3,4,3,3,3,4,1,2,
35497,4,3,3,4,4,2,2,2,
35501,1,5,1,5,5,5,1,5,
35506,1,5,1,5,5,4,1,5,
35506,2,5,1,5,5,5,1,5,
35518,3,5,1,5,5,5,1,5,
35518,4,5,1,5,5,4,1,5,
35518,5,5,1,5,5,5,3,5,
35520,1,5,1,4,5,5,4,4,
35552,2,4,2,4,4,5,1,4,
35553,1,2,4,4,3,4,1,3,
35555,1,4,1,4,4,3,1,3,
35570,1,4,2,5,5,5,1,1,
35588,1,3,3,4,4,3,4,2,
35590,2,4,1,5,5,3,4,4,
35592,2,3,2,5,4,1,5,3,
35596,1,2,2,2,5,2,1,2,
35627,1,5,3,5,5,5,1,5,
35628,2,3,2,5,5,5,1,5,
35628,3,3,5,5,5,1,5,5,
35640,1,5,5,5,5,5,1,5,
35643,1,5,1,5,5,4,5,5,
35643,4,4,1,4,4,3,2,5,
35647,1,3,4,4,4,4,1,4,
35650,1,4,5,4,4,3,2,4,
35677,1,4,2,5,5,5,1,5,
35677,2,4,2,5,5,5,1,5,
35718,1,4,4,4,4,4,1,4,
35718,2,5,2,5,5,5,1,4,
35718,3,5,1,5,5,5,1,4,
35728,3,5,1,5,3,1,2,1,
35747,1,4,1,5,5,5,1,5,
35781,1,4,3,4,2,3,1,2,
35781,3,4,3,4,4,4,1,4,
35781,4,4,3,4,4,4,1,4,
35819,1,4,1,5,5,3,2,4,
35820,1,4,2,5,5,5,1,5,
35820,2,1,1,5,5,4,1,5,
35851,4,5,1,3,3,4,1,3,
35896,2,4,3,4,4,3,3,4,
35899,3,3,1,3,3,4,2,4,
35899,4,3,1,4,2,4,2,2,
35964,1,4,1,5,5,3,2,4,
35964,2,3,3,5,5,5,3,4,
36002,1,3,3,3,3,4,1,3,
36002,4,4,3,3,3,4,3,3,
36010,1,4,1,3,3,4,2,3,
36049,1,5,2,5,5,5,2,5,
36062,1,1,1,5,5,5,3,3,
36062,2,3,3,5,5,5,3,5,
36073,2,4,1,4,3,3,1,3,
36074,1,3,4,4,4,4,2,3,
36101,1,4,2,4,4,3,2,3,
36101,3,4,2,4,4,4,3,3,3
36107,1,3,1,3,3,3,4,3,
36107,3,5,4,5,5,5,4,4,3
36107,7,4,1,4,4,4,3,3,7
36109,1,4,2,3,5,5,1,5,
36109,2,5,4,4,3,5,3,5,
36116,1,3,4,5,5,4,1,4,
36116,3,4,1,4,5,4,4,4,
36120,1,3,4,5,4,3,4,4,
36120,2,3,3,5,3,3,4,3,2
36124,2,3,3,5,4,3,1,4,
36124,4,3,3,5,3,3,1,3,
36128,1,3,4,3,3,3,3,3,
36128,2,3,3,3,3,3,3,3,
36144,1,4,3,5,5,4,5,5,
36147,1,5,2,4,5,5,4,5,
36147,2,5,2,4,5,5,4,5,
36147,3,5,5,4,5,3,4,4,
36161,3,4,3,4,4,3,3,1,
36163,1,3,4,4,4,3,3,3,
36163,2,3,3,4,4,3,2,3,
36184,1,4,3,4,4,2,1,3,
36184,2,5,4,3,4,2,2,3,
36187,1,4,3,2,4,4,3,3,
36187,3,4,3,3,2,3,3,3,
36253,1,4,2,4,5,4,1,3,
36262,1,4,2,5,5,5,1,5,
36262,2,4,2,5,5,5,1,5,
36311,1,3,3,4,3,2,2,3,
36316,1,5,1,5,4,3,4,4,
36316,2,4,4,5,4,4,2,4,2
36316,3,4,1,4,5,4,1,5,3
36316,4,5,1,5,4,4,1,4,4
36321,1,4,4,3,4,3,1,3,
36333,1,2,4,4,5,3,3,2,
36349,1,5,5,5,4,4,1,5,
36373,1,5,1,5,4,5,1,5,
36376,2,4,2,4,4,4,1,5,
36378,1,4,3,4,4,3,1,3,
36378,3,4,3,4,4,3,2,3,
36378,4,4,3,4,4,3,2,3,
36391,1,5,4,5,5,4,2,5,
36391,4,5,4,5,5,4,2,5,
36402,1,3,3,4,4,4,2,3,
36403,1,3,3,4,4,4,3,4,
36406,1,3,2,4,4,3,3,3,
36409,1,4,2,3,3,3,2,3,
36409,2,4,2,3,3,3,2,3,
36425,1,4,3,4,4,4,3,4,
36425,2,4,2,4,5,4,3,5,
36428,1,5,1,5,4,5,1,5,
36446,1,5,1,5,5,5,1,5,
36446,2,5,1,4,4,5,1,4,
36450,1,4,2,4,4,4,2,4,
36450,2,5,1,5,5,4,1,4,2
36488,1,4,1,5,4,5,1,5,
36493,3,4,3,4,4,4,1,3,
36513,1,4,4,5,4,2,1,4,
36519,1,4,2,2,3,2,1,1,
36519,3,5,2,5,4,4,4,5,
36521,1,5,1,4,4,4,1,5,
36530,1,2,3,4,5,3,2,4,
36530,2,4,2,4,5,4,1,4,
36550,1,3,4,5,4,3,1,3,
36558,1,4,2,5,4,3,4,4,
36622,2,2,3,5,3,3,5,3,
36627,1,5,5,5,5,5,5,5,
36627,2,5,5,5,5,5,5,5,2
36627,3,5,5,5,5,5,5,5,3
36646,1,2,3,5,5,3,5,1,
36647,1,3,1,4,1,4,3,1,
36647,2,3,4,4,2,3,5,2,
36688,1,4,1,4,5,5,2,5,
36726,1,3,3,4,3,3,2,3,
36726,2,4,4,4,5,5,3,4,
36739,1,3,4,4,5,3,1,5,
36758,1,4,3,4,5,4,3,5,
36759,1,3,3,4,4,3,3,2,
36759,2,3,2,4,4,4,4,3,
36763,1,4,1,4,4,3,1,4,
36763,2,5,1,5,5,3,4,5,
36763,3,4,1,4,4,3,3,4,
36768,1,3,3,4,2,3,3,2,
36768,2,3,2,4,3,4,3,3,
36770,1,4,1,3,4,2,1,2,
36775,1,3,4,4,4,3,1,4,
36809,1,3,3,5,3,3,2,4,
36815,1,3,2,4,4,3,2,2,
36815,3,3,2,4,4,3,3,3,
36876,1,2,4,2,3,2,2,1,
36883,1,2,3,5,5,2,5,3,
36889,1,4,1,4,3,2,2,3,
36891,1,3,4,5,4,3,5,4,
37001,1,3,5,3,4,3,1,3,
37044,2,3,4,3,5,3,1,5,
37044,3,3,4,3,5,4,1,4,3
37067,1,2,3,5,5,3,1,3,
37083,1,3,3,5,5,5,1,4,
37115,1,3,4,4,3,3,4,1,
37115,2,3,2,5,4,3,3,5,
37205,1,2,2,2,3,3,1,1,
37218,1,3,1,5,4,4,3,3,
37264,1,2,1,4,4,3,1,3,
37286,1,2,1,3,3,3,2,3,
37286,2,3,1,3,4,4,2,4,
37288,1,3,2,4,3,3,4,3,
37288,2,3,2,4,3,3,4,3,
37303,1,3,1,3,3,3,4,3,
37303,2,3,2,3,3,4,3,3,
37303,5,3,1,4,3,3,3,3,
37310,2,3,3,4,3,4,4,3,
37316,2,4,3,5,5,4,1,5,
37327,1,4,3,4,4,2,3,4,
37327,2,3,4,4,2,4,4,3,
37338,1,2,3,2,3,2,1,2,
37343,1,4,2,3,4,2,2,2,
37343,3,3,4,2,2,2,4,3,
37343,4,3,3,2,3,2,3,3,
37350,1,4,3,4,4,2,2,3,
37350,2,3,2,4,2,2,3,4,
37386,1,4,2,3,5,5,5,5,
37386,2,5,5,5,5,5,4,5,
37389,3,5,5,5,5,5,1,5,
37390,2,3,3,5,4,4,5,4,
37418,1,4,1,5,5,5,3,5,
37418,3,4,1,5,4,4,1,5,
37456,1,4,1,5,5,5,1,4,
37456,2,4,1,4,5,5,1,4,
37459,1,2,3,4,4,2,3,4,
37465,1,1,3,1,3,3,5,4,
37465,3,2,1,5,3,3,3,3,3
37509,1,4,3,5,3,3,3,3,
37509,2,3,2,4,4,3,3,3,
37511,1,3,1,3,2,3,1,2,
37518,3,3,5,5,5,4,2,4,3
37523,2,4,1,5,5,5,1,5,2
37572,1,2,3,4,2,3,1,3,
37572,2,2,5,5,2,3,1,2,
37584,1,5,3,5,5,4,1,4,
37622,2,3,3,3,3,4,4,3,
37653,1,1,5,5,3,2,1,1,
37659,1,5,1,5,5,4,1,4,
37662,1,4,1,4,4,3,1,4,
37662,2,4,1,5,5,5,1,4,
37665,1,3,4,5,5,3,1,4,
37665,2,3,4,5,3,2,1,3,
37721,1,4,1,4,4,4,1,5,
37776,1,5,3,5,5,3,4,5,
37776,3,4,3,5,5,4,3,5,
37789,1,3,1,5,3,5,1,3,
37793,1,1,5,4,4,5,1,4,
37816,1,3,2,5,5,5,1,5,
37831,2,4,2,5,5,5,1,5,
37880,3,3,2,3,3,3,1,3,
37880,4,3,2,5,5,5,1,4,
37883,1,4,2,5,5,4,1,4,
37900,1,4,1,5,5,4,1,4,
37900,2,4,1,4,4,4,1,3,2
37901,1,4,3,4,4,4,2,4,
37901,2,4,3,4,4,4,2,4,
37918,1,4,1,5,5,3,2,4,
37918,2,4,1,5,5,3,2,3,
37930,1,5,1,5,5,5,1,5,
37930,2,5,1,3,3,4,1,3,
38007,1,5,1,3,4,3,2,3,
38007,2,3,1,3,4,4,1,4,2
38014,2,3,3,4,4,3,1,3,2
38019,1,4,1,3,3,4,1,4,
38019,4,3,3,4,4,3,2,4,
38040,1,3,1,3,4,4,1,3,
38040,2,3,1,4,4,4,1,4,
38061,1,3,2,5,5,4,4,4,
38061,2,3,2,4,4,4,3,3,
38070,1,3,2,4,3,2,2,3,
38104,1,4,2,4,4,3,3,5,
38106,1,5,1,3,4,4,1,5,
38112,1,5,1,4,5,4,3,5,
38112,2,2,4,4,3,4,3,5,
38121,3,2,3,3,3,3,3,3,
38122,1,2,2,4,4,2,1,3,
38122,2,5,1,4,4,4,1,3,
38122,3,2,2,3,3,2,4,2,
38127,1,4,4,3,3,3,3,2,
38127,2,4,4,4,3,4,3,3,
38131,1,4,1,3,3,3,1,4,
38131,2,4,1,3,4,4,1,4,
38136,1,4,1,4,4,3,3,4,
38144,1,2,3,5,5,4,1,3,
38152,1,1,3,5,5,4,1,5,
38152,2,2,3,5,4,3,1,2,
38153,1,3,5,5,3,1,3,1,
38159,1,4,2,4,4,4,1,1,
38159,2,4,2,5,5,5,1,3,
38171,1,3,4,3,4,4,1,3,
38175,1,2,1,3,4,3,1,4,
38175,3,3,3,1,3,2,5,3,
38179,1,4,2,5,4,4,1,3,
38183,1,3,3,3,4,3,2,4,
38183,2,4,1,5,5,3,1,4,
38200,3,4,1,4,4,4,4,4,
38258,1,2,5,5,5,4,1,5,
38272,1,4,1,5,4,4,1,4,
38319,1,3,2,4,4,3,1,4,
38335,1,4,1,4,4,3,5,3,
38335,2,3,1,3,3,3,4,3,
38412,1,4,1,5,4,4,3,2,
38412,2,3,3,3,3,3,3,2,
38431,2,3,3,3,3,3,3,3,
38442,1,3,4,4,4,3,3,3,
38442,2,2,4,4,4,3,1,5,
38453,3,5,1,5,5,3,4,5,
38475,1,3,1,4,1,1,5,1,
38475,2,3,1,3,3,3,2,3,
38489,1,3,2,5,2,5,1,5,
38489,2,3,3,5,3,3,1,5,
38495,1,5,4,5,5,5,5,1,
38495,2,5,1,5,5,5,5,1,
38496,3,4,4,5,5,2,4,2,
38525,1,4,1,4,4,3,3,4,
38525,3,4,1,3,4,3,3,4,3
38530,1,4,2,4,4,4,2,4,
38543,1,1,5,4,5,4,3,1,
38543,2,1,5,5,5,4,3,3,
38544,1,3,5,4,3,3,1,1,
38544,2,3,3,4,3,3,1,1,
38551,1,3,3,4,4,4,3,4,
38558,1,4,3,5,4,2,5,4,
38558,2,3,1,5,3,1,3,1,
38572,1,3,2,4,4,4,4,4,
38572,2,4,4,3,4,3,2,4,
38572,3,4,4,3,4,4,4,4,
38624,3,4,1,3,3,3,3,3,3
38629,1,4,5,5,4,5,2,5,
38658,1,3,1,4,3,3,5,3,
38702,1,5,1,5,3,5,2,5,
38702,2,5,1,5,2,2,3,5,
38702,3,5,1,5,3,5,2,5,
38709,2,2,5,5,3,2,5,3,
38709,3,5,1,5,3,5,5,3,
38709,4,2,5,5,3,2,5,3,
38712,1,5,1,5,5,2,2,5,
38739,1,3,2,4,5,4,2,5,
38739,2,1,3,3,5,5,3,2,2
38754,2,3,4,5,5,4,5,3,
38829,2,4,1,5,5,4,3,4,2
38841,1,3,2,5,4,3,4,3,
38860,1,3,5,5,2,2,1,1,
38860,2,3,4,5,3,3,4,3,
38869,1,2,5,5,3,2,5,3,
38869,2,4,2,5,5,1,5,5,
38872,1,1,4,3,5,2,1,3,
38873,2,3,1,4,5,4,1,3,
38885,1,4,3,3,4,4,1,4,
38885,2,5,1,5,5,5,1,5,
38903,3,4,1,5,5,5,1,5,
38903,4,3,2,3,4,3,3,3,
38905,1,3,4,5,3,5,4,3,
38906,1,3,4,4,3,3,2,3,
38906,2,2,1,4,4,4,1,3,
38912,1,3,3,3,3,5,1,3,
38927,2,1,3,5,5,3,3,3,
38930,1,1,3,4,5,3,2,4,
38931,1,4,1,3,5,3,2,3,
38931,2,3,1,5,4,4,1,4,2
38939,1,5,2,4,4,4,2,4,
38940,2,4,2,5,5,5,1,5,
38943,1,3,3,4,3,2,4,3,
38946,1,3,2,4,4,3,3,4,
38946,3,3,3,5,4,4,2,4,
38946,4,4,1,5,5,4,3,4,
38956,2,3,4,4,4,4,3,4,
38958,1,3,1,4,4,3,1,4,
38963,1,3,3,5,5,4,2,4,
38963,2,5,1,5,5,5,1,5,
38977,1,5,4,5,5,4,1,5,
38977,2,5,1,5,5,5,5,5,
38979,1,5,1,5,5,5,1,5,
38979,2,5,1,5,5,5,4,5,
38992,2,4,1,5,4,3,3,4,
38995,1,2,3,4,5,4,1,4,
39004,1,3,1,4,4,4,2,4,
39037,1,2,2,5,4,1,3,3,
39037,2,5,1,4,5,5,5,4,
39055,3,3,1,3,3,3,5,3,3
39056,1,2,1,3,2,2,1,2,
39057,3,2,2,4,2,2,3,2,3
39064,1,5,1,4,4,4,5,3,
39065,2,3,3,4,3,4,2,3,
39078,2,3,3,4,4,4,3,4,
39085,1,5,1,4,4,4,3,4,
39093,1,4,2,5,4,3,1,3,
39094,3,3,3,4,4,4,3,4,
39113,1,4,4,5,5,3,1,5,
39113,2,3,1,5,4,4,1,4,
39125,1,4,3,5,4,4,1,2,
39125,2,5,2,4,4,4,3,5,
39125,3,4,1,5,5,5,2,4,3
39125,4,3,2,4,5,4,1,5,4
39126,2,3,3,4,4,3,1,3,2
39126,3,3,4,4,2,3,2,4,
39129,1,3,5,5,5,3,2,4,
39129,2,2,4,5,2,1,1,1,
39141,3,4,2,4,5,4,3,5,
39206,1,3,2,4,2,3,4,3,
39206,4,4,1,3,2,4,2,3,
39218,1,3,1,1,3,3,1,1,
39225,1,3,3,3,2,3,1,2,
39225,2,3,3,3,2,2,2,2,
39227,3,4,2,4,5,4,3,3,
39227,4,4,1,4,4,4,2,4,
39242,3,3,2,4,4,4,4,4,
39259,1,4,4,4,3,3,5,4,
39313,1,1,3,4,1,4,2,2,
39313,2,3,2,3,4,4,2,3,
39313,3,4,1,3,4,4,1,4,
39317,1,3,2,5,4,3,3,4,
39318,1,5,2,5,5,4,2,5,
39318,2,5,2,5,4,4,2,5,2
39327,1,3,1,3,4,3,1,4,
39327,2,4,1,4,4,3,4,4,
39328,1,3,1,4,3,3,1,2,
39384,3,5,1,4,5,5,1,4,
39402,2,4,3,4,4,4,3,4,
39405,3,3,3,3,3,3,3,3,
39405,5,3,3,3,3,3,3,3,
39405,6,3,3,3,3,3,3,3,
39411,2,4,3,3,4,4,1,4,
39427,1,4,1,4,2,4,3,1,
39441,1,4,3,4,5,3,1,4,
39441,3,2,5,4,4,3,3,2,3
39447,1,3,2,5,5,3,5,4,
39451,1,5,1,4,4,4,1,4,
39459,1,3,1,5,5,3,1,3,
39459,2,3,1,3,5,3,1,3,
39466,1,3,3,4,3,2,3,4,
39466,3,3,3,4,4,4,5,3,3
39466,5,3,4,4,4,4,5,3,5
39474,2,3,2,3,4,4,2,4,
39474,4,3,2,4,4,4,2,4,
39491,1,4,2,4,4,4,1,4,
39496,3,4,4,4,4,4,4,4,
39499,1,3,3,3,3,3,3,3,
39499,2,3,3,3,2,2,2,3,
39499,3,3,3,3,2,2,2,3,
39533,2,2,5,1,3,3,5,1,
39533,3,1,2,3,3,4,5,1,
39534,2,3,4,4,5,4,3,4,
39542,1,4,3,4,2,4,5,1,
39542,3,4,4,4,3,4,3,2,
39581,1,3,3,3,3,3,2,3,
39628,1,4,1,4,3,4,1,3,
39632,1,4,4,4,4,4,1,5,
39662,1,3,1,5,5,5,3,2,
39662,2,3,1,5,5,5,3,2,
39697,1,4,2,4,4,5,2,4,
39697,2,3,3,3,4,3,4,4,
39704,3,3,3,5,3,3,2,3,
39710,1,4,1,4,5,4,1,2,
39710,2,5,1,5,5,5,1,4,
39801,1,3,5,2,5,5,1,1,
39807,2,3,1,4,,4,2,2,
39901,1,4,2,4,4,4,1,4,
39901,2,4,1,5,4,3,1,5,
39903,1,3,3,4,3,2,2,4,
39903,3,4,2,4,3,2,4,3,
39954,1,3,3,4,4,4,3,3,
39961,1,3,4,4,5,5,2,5,
39961,2,3,4,4,5,5,2,5,
39966,1,5,1,4,5,5,2,3,
50031,1,3,1,4,4,3,2,4,
50031,2,3,1,4,4,3,2,4,
50032,1,4,1,3,3,3,1,3,
50033,1,4,3,5,5,4,1,4,
50033,3,3,3,5,5,4,5,5,
50047,1,3,2,5,4,3,2,4,
50047,2,3,1,5,5,3,2,3,
50050,1,1,3,5,5,3,2,3,
50053,3,4,1,5,5,5,2,5,
50079,1,3,4,4,4,4,4,4,
50128,1,2,4,5,3,4,4,3,
50135,4,4,3,3,4,3,2,4,
50148,1,2,4,4,2,3,5,2,
50170,1,4,3,5,4,4,3,4,
50178,2,5,1,5,5,5,2,5,
50195,1,4,2,3,5,4,3,5,
50200,2,4,1,4,5,5,1,5,2
50209,2,3,3,4,4,4,1,5,
50232,3,4,3,5,5,5,1,5,
50233,1,3,2,4,4,3,3,4,
50233,2,3,2,4,3,3,3,2,
50245,1,4,2,5,5,5,2,2,
50251,2,3,2,5,5,5,1,5,
50251,4,3,2,5,5,5,1,5,
50251,5,5,3,5,5,5,1,5,
50281,1,3,5,5,4,4,4,3,
50281,3,3,5,5,4,4,4,3,
50300,1,3,3,3,4,3,4,3,
50331,4,3,3,4,4,3,3,3,
50336,1,2,1,3,3,3,2,3,
50336,2,2,4,4,3,3,2,3,
50339,2,4,2,4,2,2,2,2,
50411,1,3,2,3,3,3,3,3,
50465,1,3,3,2,2,3,2,2,
50488,1,4,4,4,3,3,2,2,
50488,2,4,3,3,3,2,2,2,
50513,1,4,1,3,3,3,3,3,
50513,2,3,1,3,3,3,1,1,
50582,1,4,2,5,5,5,1,5,
50612,3,5,5,5,4,5,4,4,
50625,1,4,1,3,4,3,2,3,
50625,2,3,2,5,5,3,1,3,
50711,1,3,1,5,5,3,1,5,
50711,2,4,1,3,4,3,1,3,
50766,1,4,4,4,5,5,3,4,
50776,1,1,1,2,5,5,3,5,
50776,2,5,5,2,5,5,5,5,
50791,1,5,1,5,4,1,4,3,
50791,2,3,5,3,2,3,1,3,
50819,2,4,1,4,4,2,1,4,
50828,2,4,4,5,5,5,2,5,
50914,1,4,3,5,4,4,1,4,
50914,2,4,3,5,4,4,1,4,
50941,1,5,1,4,4,4,3,3,
50942,1,3,3,3,2,5,1,5,
50942,2,5,4,5,5,5,1,5,
51054,2,3,1,3,3,4,2,4,
51055,1,4,1,5,4,4,1,3,
51057,2,4,4,5,4,4,3,4,
51070,2,3,2,5,4,1,3,3,
51073,1,3,3,4,5,3,4,4,
51084,3,4,1,4,4,4,1,3,
51086,1,3,3,5,4,4,3,4,
51086,2,3,2,5,4,4,2,4,
51087,2,4,2,5,5,4,2,4,
51092,1,5,1,5,5,5,1,5,
51148,3,3,3,3,5,2,5,5,
51148,4,3,3,3,5,2,5,5,
51181,1,4,1,4,4,3,5,3,
51193,1,4,1,5,5,4,3,2,
51193,2,4,1,5,5,4,3,3,
51201,1,3,4,5,5,3,1,4,
51252,1,4,1,3,4,3,3,4,
51290,1,3,4,4,4,5,1,4,
51294,1,5,1,5,5,5,1,5,
51297,2,5,3,4,4,5,3,4,
51351,1,4,3,3,5,5,5,5,
51366,1,3,1,4,4,4,1,4,
51381,1,3,5,5,3,1,2,1,
51388,1,3,1,4,3,3,1,3,
51388,2,5,1,5,5,4,1,5,
51389,3,4,4,4,4,4,1,3,
51390,1,4,5,5,5,5,1,5,
51394,1,4,3,4,4,3,2,4,
51399,1,4,,1,1,1,5,1,
51399,2,4,3,4,5,3,1,4,
51444,1,5,2,3,3,3,3,3,
51444,2,3,3,3,3,3,3,3,
51479,1,3,3,3,4,4,1,3,
51479,2,4,1,4,4,3,3,3,
51523,1,4,3,4,4,4,2,4,
51523,2,3,1,3,1,4,2,3,2
51544,1,2,4,4,4,2,4,4,
51544,2,4,1,4,3,4,1,4,
51545,1,3,1,2,1,4,1,1,
51545,2,4,1,3,5,4,1,5,2
51639,1,4,2,4,4,3,1,3,
51639,3,4,2,4,4,3,1,3,
51639,4,4,2,4,4,3,1,3,
