NQUEST,NORD,GIU1,GIU2,GIU3,GIU4,GIU5,GIU6,GIUTOT,GIUTEL
23821,4,3,3,4,5,4,5,5,
23822,1,3,3,4,4,3,4,3,
23865,1,4,2,3,4,4,2,4,
23958,1,4,3,5,4,4,2,4,
23958,2,5,1,4,3,4,3,4,
24021,1,4,5,5,5,5,1,5,
24025,1,5,1,5,5,5,1,5,
24025,2,3,5,3,4,5,1,4,
24030,1,3,5,5,5,3,1,3,
24071,1,3,4,3,4,3,1,3,
24080,1,3,4,5,5,5,1,5,
24080,2,5,1,5,5,5,1,5,
24132,2,5,1,5,5,5,5,5,
24144,3,2,3,3,1,1,3,2,
24147,1,4,3,5,5,5,5,4,
24147,2,5,1,5,5,5,5,5,
24170,1,2,5,5,5,5,1,5,
24170,2,3,5,5,5,5,1,5,
24173,2,1,2,5,3,5,1,5,
24194,1,3,2,5,5,5,1,4,
24195,2,4,4,4,4,4,5,4,
24202,3,3,1,3,4,3,2,4,
24210,1,4,4,3,5,3,4,3,
24210,2,1,2,3,5,2,5,3,
24304,1,3,3,4,4,3,2,4,
24304,2,3,2,3,4,2,1,4,
24315,1,5,1,5,5,5,1,5,
24315,2,5,1,5,5,5,1,5,
24363,2,5,5,3,3,3,3,3,
24373,1,2,3,5,4,5,3,2,
24382,2,2,3,4,2,2,3,3,
24382,3,3,3,5,4,4,4,3,
24390,1,2,4,3,3,1,5,1,
24390,2,4,1,3,5,5,1,4,
24392,1,3,3,4,3,4,3,3,
24392,2,3,1,3,3,3,2,2,
24415,1,3,2,3,3,4,2,3,
24415,2,3,2,4,3,3,4,3,
24431,1,3,4,4,2,3,4,2,
24431,2,4,3,3,3,2,2,4,
24434,1,3,2,4,3,2,3,2,
24434,2,2,2,3,4,2,4,2,
24438,3,3,4,3,2,4,4,3,
24438,4,3,2,4,4,2,3,2,
24446,2,2,4,4,3,4,5,3,
24507,1,3,3,4,4,3,5,4,
24530,3,4,4,4,4,4,3,3,
24530,4,4,4,3,3,3,4,3,
24531,1,3,1,2,2,2,4,2,
24624,1,3,3,3,4,3,2,3,
24624,2,3,1,4,3,3,4,3,
24626,1,1,3,3,2,3,4,4,
24626,2,4,2,4,4,1,2,4,
24626,3,2,2,4,2,3,2,3,
24630,1,4,4,3,4,3,2,3,
24633,3,3,3,3,3,3,1,3,
24635,1,4,2,4,4,4,1,4,
24646,2,3,4,4,3,3,2,3,
24659,1,1,3,5,2,1,5,3,
24659,2,1,3,5,2,1,5,3,
24731,1,4,1,3,5,4,3,4,
24731,3,3,2,5,4,2,5,3,
24835,2,3,1,3,3,4,1,2,
24849,1,4,1,4,3,5,3,4,
24912,1,3,1,3,3,2,1,2,
24912,2,4,1,5,5,4,1,5,
24919,1,3,3,3,3,2,4,2,
24924,1,5,1,3,3,3,1,4,
24924,2,5,1,5,5,5,4,5,2
24931,1,5,1,4,5,4,1,5,
24931,2,5,1,4,5,4,1,5,
24948,1,3,4,5,3,1,3,2,
24949,1,4,2,5,5,3,4,3,
24949,2,4,2,5,5,3,4,3,
24979,1,3,2,4,5,4,4,5,
24984,1,4,4,4,4,4,4,4,
24984,2,3,3,3,3,3,3,3,
25079,1,4,4,5,5,3,1,5,
25081,1,4,3,5,4,4,1,3,
25081,2,3,3,5,4,3,3,3,
25128,1,3,4,4,4,5,3,5,
25128,2,3,4,4,4,5,1,3,
25137,1,2,2,4,5,3,1,4,
25138,1,3,5,5,,3,1,5,
25141,1,4,1,3,5,3,1,4,
25145,1,3,2,2,3,1,1,1,
25148,1,3,2,4,4,4,1,5,
25148,2,3,1,5,5,4,1,5,
25238,1,2,4,4,2,4,4,3,
25240,1,4,3,4,3,5,5,3,
25245,1,5,4,5,5,3,1,5,
25425,1,4,2,4,4,4,2,4,
25425,2,3,3,4,4,4,2,4,
25435,1,4,2,5,4,5,1,4,
25435,2,4,3,5,5,4,1,5,2
25448,2,3,3,4,2,3,2,3,
25463,1,3,3,4,3,2,2,2,
25610,1,2,2,5,5,5,1,5,
25610,2,2,2,5,5,5,1,5,
25634,1,3,3,4,4,4,3,2,
25754,3,3,3,4,5,4,2,4,3
25759,1,2,2,3,3,3,3,2,
25767,1,4,2,3,4,3,3,4,
25767,2,4,2,3,4,3,3,4,
25842,1,3,2,4,5,5,4,2,
25910,2,3,3,5,5,3,3,3,
25914,1,1,2,5,5,4,1,1,
25914,2,4,1,5,4,4,1,2,
25917,2,4,1,4,5,4,3,5,
25918,1,3,3,4,3,2,4,3,
25918,2,4,4,5,3,3,3,4,
25923,1,2,3,4,3,4,3,3,
25923,2,3,4,5,5,5,4,4,
25930,1,3,4,3,4,3,4,3,
25930,3,4,3,4,4,3,4,4,
25963,1,2,3,5,3,2,3,2,
25963,2,3,2,2,2,4,3,2,
25964,1,3,3,4,5,5,3,3,
25964,2,3,3,4,4,5,3,3,
25967,1,3,3,1,4,4,1,2,
25975,1,3,1,3,3,2,2,3,
25975,2,4,4,4,4,5,1,4,2
26029,1,2,1,4,5,4,3,5,
26040,3,2,2,3,2,4,2,2,
26161,1,4,1,3,4,3,1,5,
26161,2,4,1,3,4,3,1,5,
26161,4,3,3,4,3,3,2,3,
26163,1,5,1,5,5,5,1,5,
26201,1,4,5,5,5,4,3,4,
26210,1,4,1,5,4,4,1,4,
26239,1,5,3,4,5,4,4,4,
26267,1,3,3,3,3,4,1,4,
26312,1,3,2,5,3,1,3,1,
26312,2,4,4,5,5,4,1,3,2
26326,1,2,4,3,2,1,1,1,
26349,3,4,2,4,5,4,2,4,3
26424,1,4,2,5,5,4,3,5,
26424,2,5,4,4,5,5,1,5,
26499,2,4,2,4,5,5,1,4,
26499,5,5,2,3,5,5,1,4,
26574,1,3,2,5,4,3,2,2,
26574,2,5,1,5,5,4,1,4,2
26585,2,5,1,3,5,3,3,5,2
26585,3,3,2,3,5,3,3,4,3
26592,1,4,1,5,5,3,4,5,
26592,2,2,1,5,5,3,4,4,2
26684,1,2,2,5,4,3,5,2,
26684,2,4,3,4,4,4,2,4,2
26687,1,4,1,3,1,2,1,1,
26690,3,4,4,5,5,4,3,4,
26692,1,3,4,3,4,3,5,3,
26692,3,3,4,3,4,3,5,3,
26692,4,3,4,3,4,3,5,3,
26695,1,2,4,3,3,2,4,3,
26722,1,4,1,2,4,4,2,3,
26722,2,3,4,4,4,3,2,3,
26885,1,4,1,4,4,3,1,4,
26885,2,4,1,4,5,4,1,4,
26925,1,4,1,5,4,5,1,4,
26925,2,5,1,5,5,5,1,5,
27108,4,3,3,5,5,5,4,5,
27157,1,1,4,5,5,2,2,1,
27157,2,3,2,5,5,3,4,2,
27162,2,5,3,5,5,5,3,5,2
27197,1,3,3,3,4,2,1,3,
27224,1,3,2,4,3,5,1,3,
27224,2,4,1,4,4,4,3,3,
27229,1,4,3,4,4,3,1,3,
27238,1,3,3,4,3,3,5,2,
27238,2,5,1,4,5,4,2,5,
27506,3,4,1,5,4,5,1,4,3
27506,4,4,1,5,4,5,3,5,4
27644,1,3,2,5,1,3,3,2,
27688,1,3,3,5,5,5,1,5,
27688,2,3,4,5,4,5,1,5,
27746,1,3,4,5,4,3,5,3,
27773,1,4,1,4,4,5,1,4,
27773,2,1,1,5,4,3,1,4,
27912,1,3,1,4,5,3,1,5,
27912,2,3,1,4,4,4,1,5,
27945,1,4,3,4,4,4,2,4,
27945,2,2,3,4,4,4,2,4,
28074,1,3,1,4,4,4,1,4,
28074,2,3,1,4,3,1,3,2,
28075,1,4,2,5,4,2,1,2,
28075,2,4,2,5,4,2,1,2,
28109,1,2,2,4,4,4,3,3,
28146,2,5,1,4,4,3,1,3,
28146,3,5,3,5,4,2,1,2,
28303,3,5,3,4,5,4,4,5,
28327,1,3,2,3,4,4,1,2,
28332,1,4,3,3,4,5,1,4,
28334,1,4,3,5,5,3,5,5,
28354,3,5,1,5,5,5,5,5,
28418,1,3,3,4,3,3,3,3,
28441,1,4,3,3,4,4,2,4,
28441,2,5,1,3,4,4,1,5,
28446,2,3,1,4,4,4,1,3,
28446,3,3,1,4,1,2,4,1,
28460,1,5,1,3,3,3,2,3,
28802,1,5,5,4,3,5,5,3,
28807,1,2,3,5,2,3,1,1,
28877,3,4,1,3,4,4,2,4,
28877,4,4,2,5,4,4,2,4,
28878,1,3,3,5,5,5,4,3,
28927,1,4,3,5,5,4,4,5,
28954,1,4,3,5,5,4,2,4,
28954,2,5,5,5,2,,5,3,
29006,1,4,1,5,5,4,2,4,
29006,2,5,3,5,4,4,1,4,2
