NQUEST,NORD,CERC,MCERC1,MCERC2,MCERC3,MCERC4,MCERC5,MCERC6,MCERC7,MCERC8,MCERC9,MCERC10,MCERC11,OFFERTE,NOFFERTE,NRIFIUTI,NESPLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,DISOC,CASSINT,DIS1,DIS2,DIS3,DIS4,DIS5,DISTOT,DISTEL,ETAPEN,ETALAV2,NOMALAT,MALAT
236008,2,2,,,,,,,,,,,,2,0,0,1,25,1,29,,2,2,,,,,,,,58,,2,7
236008,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
236014,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
236016,1,2,,,,,,,,,,,,2,0,0,1,,1,,,2,2,,,,,,,,,,,
236019,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
236023,1,2,,,,,,,,,,,,2,0,0,1,30,1,27,,2,2,,,,,,,,57,,1,0
236023,2,2,,,,,,,,,,,,2,0,0,2,19,1,38,,2,2,,,,,,,,,,,
236023,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
236034,1,2,,,,,,,,,,,,2,0,0,1,,1,23,,2,2,,,,,,,,,,,
236034,2,2,,,,,,,,,,,,2,0,0,1,,1,20,,2,2,,,,,,,,,,,
236034,3,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
236036,1,2,,,,,,,,,,,,2,0,0,1,16,1,,,2,2,,,,,,,,,,,
236037,1,2,,,,,,,,,,,,2,0,0,1,30,1,15,,2,2,,,,,,,,,,,
236039,1,2,,,,,,,,,,,,2,0,0,4,20,1,8,,1,2,2,3,2,1,2,2,,65,28,2,30
236039,2,2,1,,,,,,,,,,,2,0,0,1,21,1,9,,1,2,,,,,,,,,,,
236057,1,2,,,,,,,,,,,,2,0,0,1,15,1,,,2,2,,,,,,,,,,,
236063,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
236067,1,2,,,,,,,,,,,,2,0,0,1,,1,,,2,2,,,,,,,,,,,
236068,1,2,,,,,,,,,,,,2,0,0,1,18,1,34,,2,2,,,,,,,,55,,1,0
236068,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
236068,3,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
236069,1,2,,,,,,,,,,,,2,0,0,1,19,1,43,,2,2,,,,,,,,,,,
236069,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
236071,1,2,,,,,,,,,,,,2,0,0,1,21,1,17,,2,2,,,,,,,,55,,1,0
236071,2,2,,,,,,,,,,,,2,0,0,5,14,1,20,,2,2,,,,,,,,55,25,1,0
236072,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
236072,2,2,,,,,,,,,,,,2,0,0,2,20,1,35,,2,2,,,,,,,,,,2,10
236072,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
236072,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
236077,1,2,,,,,,,,,,,,2,0,0,1,18,1,22,,2,2,,,,,,,,,,,
236077,2,2,,,,,,,,,,,,2,0,0,1,28,1,9,,2,2,,,,,,,,,,,
236086,1,2,,,,,,,,,,,,2,0,0,1,14,1,,,2,2,,,,,,,,,,,
236086,2,2,,,,,,,,,,,,2,0,0,1,16,1,15,,2,2,,,,,,,,,,2,10
236087,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
236087,2,2,,,,,,,,,,,,2,0,0,5,15,1,20,,2,2,,,,,,,,65,32,2,30
236088,1,2,,,,,,,,,,,,2,0,0,1,20,1,21,,1,2,5,,,,,,,,,,
236088,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237003,1,2,,,,,,,,,,,,2,0,0,3,26,1,22,,2,2,,,,,,,,65,35,2,7
237003,2,2,,,,,,,,,,,,2,0,0,1,25,1,26,,2,2,,,,,,,,60,,1,0
237003,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
237003,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
237010,1,2,,,,,,,,,,,,2,0,0,2,15,1,36,,2,2,,,,,,,,,,,
237010,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237013,1,1,,,,,,,,,,,,2,0,0,13,13,1,0.5,6,1,2,2,3,3,3,4,1,,,,,
237013,2,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237015,1,1,,,,,,,,,,,,2,0,0,1,20,1,12,,1,2,3,3,3,3,3,3,,,,,
237015,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237018,1,1,,,,,,,,,,,,2,0,0,1,23,1,6,,1,1,3,3,3,3,3,3,,,,,
237018,2,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237023,1,1,,,,,,,,,,,,2,0,0,1,16,1,12,,1,2,2,2,2,2,2,2,,,,,
237023,2,2,,,,,,,1,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237025,1,2,,,,,,,,,,,,2,0,0,1,29,1,18,,2,2,,,,,,,,63,,2,4
237025,2,2,,,,,,,,,,,,2,0,0,1,21,1,18,,2,2,,,,,,,,55,,2,4
237028,1,1,,,,,,,,,,,,2,0,0,2,6,1,28,,1,1,1,5,4,4,3,2,,,,,
237028,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237028,3,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237034,1,2,,,,,,,,,,,,2,0,0,1,20,1,29,,1,2,3,3,3,3,3,3,,65,,2,10
237034,2,2,,,,,,,,,,,,2,0,0,1,29,1,9,,2,2,,,,,,,,60,,1,0
237034,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
237034,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
237035,1,2,,,,,,,,,,,,2,0,0,1,18,1,33,,2,2,,,,,,,,,,,
237035,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237035,3,2,,,,,,,1,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237038,1,1,,,,,,,,,,,,2,0,0,2,15,1,4,,1,2,3,3,3,3,3,3,,65,23,1,0
237038,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237042,1,2,,,,,,,,,,,,2,0,0,3,17,1,15,,1,2,3,2,3,2,2,3,,50,18,2,8
237042,2,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237052,1,1,,,,,,,,,,,,2,0,0,1,8,1,2,,1,2,3,3,3,3,3,3,,,,,
237052,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
237057,1,2,,,,,,,,,,,,2,0,0,2,18,1,9,,1,2,3,3,3,3,3,3,,65,31,2,30
237057,2,2,,,,,,,,,,,,2,0,0,1,23,1,3,,2,2,,,,,,,,56,,1,0
237060,1,1,,,,,,,,,,,,2,0,0,1,15,1,,,2,2,,,,,,,,65,,1,0
237060,2,2,,,,,,1,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
238003,1,1,,,,,,,,,,,,2,0,0,8,15,1,27,,2,2,,,,,,,,55,24,1,0
238003,2,2,1,1,,,,,,,,,,2,0,0,1,14,1,6,,2,2,,,,,,,,,,,
238003,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
238003,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
238004,1,2,,,,,,,,,,,,2,0,0,4,15,1,37,,1,2,3,3,3,2,3,2,,,,,
238004,2,2,,,,,,,,,,,,2,0,0,1,15,1,10,,2,2,,,,,,,,,,,
238004,3,2,,,,,,,,,,,,2,0,0,1,18,1,10,,2,2,,,,,,,,,,1,0
238004,4,2,,,,,,,,,,,,2,0,0,1,18,1,9,,2,2,,,,,,,,,,2,4
238005,1,2,,,,,,,,,,,,2,0,0,3,16,1,25,,2,2,,,,,,,,,25,1,0
238005,2,2,,,,,,,,,,,,2,0,0,2,20,1,10,,2,2,,,,,,,,,31,1,0
238006,1,2,,,,,,,,,,,,2,0,0,3,18,1,26,,2,2,,,,,,,,57,21,1,0
238006,2,2,,,,,,,,,,,,2,0,0,3,18,1,26,,2,2,,,,,,,,54,25,2,2
238006,3,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
238012,1,2,,,,,,,,,,,,1,4,4,10,15,1,32,,2,2,,,,,,,,,48,1,0
238012,2,2,,,,,,,,,,,,2,0,0,2,19,1,25,,2,2,,,,,,,,45,21,1,0
238012,3,2,,,,,,,,,,,,2,0,0,2,20,1,4,,2,2,,,,,,,,,23,2,14
238012,4,1,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
238016,1,2,,,,,,,,,,,,2,0,0,1,25,2,0,0,2,2,,,,,,,,,,,
238023,1,2,,,,,,,,,,,,2,0,0,4,15,1,30,,2,2,,,,,,,,55,40,2,60
238023,2,1,,,,,,,,,,,,2,0,0,3,15,1,13,,1,1,3,2,3,3,4,2,,,,,
238023,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
238023,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
238024,1,2,,,,,,,,,,,,2,0,0,3,8,1,32,,2,2,,,,,,,,65,45,1,0
238024,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
238024,3,2,,,,,,,,,,,,2,0,0,1,20,1,9,,2,2,,,,,,,,,,1,0
238024,4,2,,,,,,,,,,,,2,0,0,1,18,1,9,,2,2,,,,,,,,,,1,0
238024,5,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
238024,6,2,,,,,,,,,,1,,2,0,0,0,,,,,,,,,,,,,,,,,
238032,1,2,,,,,,,,,,,,2,0,0,2,17,1,37,,2,2,,,,,,,,,,,
