NQUEST,NORD,SEX,PARENT,ANASC,MOTENT,NORDP,STACIV,STUDIO,TIPODIP,TIPOLAU,SALUTE,CRONIC,INVALID,APQUAL,ASNONOC,APSETT,INTPER,NCOMP,ETA,IREG,AREA5,AREA3,ACOM4C,CLETA,NPERC,PESOFL,NASCREG,NASCAREA
1989,2,1,2,1931,,1,1,2,,,2,1,2,15,1,2,2,2,64,5,2,1,2,4,2,0.6465264139,5,1
2178,1,1,1,1959,,1,2,5,1,,2,1,2,2,,7,1,3,36,9,3,2,2,2,3,0.6915098935,9,2
2178,2,1,4,1928,,2,1,2,,,4,2,2,15,1,7,,3,67,9,3,2,2,5,3,0.6915098935,9,2
2178,3,2,4,1933,,3,1,3,,,4,2,2,15,1,9,,3,62,9,3,2,2,4,3,0.6915098935,9,2
2274,1,1,1,1928,,1,1,2,,,3,2,2,15,1,1,1,3,67,15,4,3,0,5,3,2.6765542406,15,3
2274,2,2,2,1927,,2,1,2,,,3,2,2,15,1,1,2,3,68,15,4,3,0,5,3,2.6765542406,15,3
2274,3,2,3,1961,,3,2,5,3,,4,2,2,1,,1,3,3,34,15,4,3,0,2,3,2.6765542406,15,3
2447,1,1,1,1957,,1,1,3,,,4,2,2,8,,5,1,4,38,9,3,2,2,2,2,1.8659072338,15,3
2447,2,2,2,1958,,2,1,2,,,4,2,2,1,,2,2,4,37,9,3,2,2,2,2,1.8659072338,9,2
2447,3,1,3,1981,,3,2,3,,,4,2,2,17,,,,4,14,9,3,2,2,1,2,1.8659072338,9,2
2447,4,2,3,1985,,4,2,2,,,4,2,2,17,,,,4,10,9,3,2,2,1,2,1.8659072338,9,2
2485,1,2,1,1935,,1,4,2,,,3,1,2,16,,,1,1,60,9,3,2,2,4,1,0.5579338673,9,2
2577,1,1,1,1909,,1,4,1,,,2,1,2,15,1,2,1,1,86,18,4,3,2,5,1,0.3937020044,18,3
2579,1,1,1,1947,,1,1,5,2,,3,1,2,2,,9,1,5,48,18,4,3,2,3,2,0.4085652713,18,3
2579,2,2,2,1957,,2,1,3,,,2,1,2,13,,,,5,38,18,4,3,2,2,2,0.4085652713,16,3
2579,3,1,3,1972,,3,2,5,2,,4,2,2,11,,,,5,23,18,4,3,2,1,2,0.4085652713,16,3
2579,4,2,3,1973,,4,2,5,2,,4,2,2,12,1,2,4,5,22,18,4,3,2,1,2,0.4085652713,18,3
2579,5,2,3,1980,,5,2,3,,,4,2,2,17,,,,5,15,18,4,3,2,1,2,0.4085652713,18,3
2866,1,1,1,1933,,1,1,2,,,3,1,2,8,,4,1,5,62,13,4,3,0,4,1,0.9417890299,13,3
2866,2,2,2,1943,,2,1,2,,,3,1,2,13,,,,5,52,13,4,3,0,4,1,0.9417890299,13,3
2866,3,1,3,1971,,3,2,5,2,,5,2,2,11,,,3,5,24,13,4,3,0,1,1,0.9417890299,13,3
2866,4,2,3,1975,,4,2,5,3,,5,2,2,17,,,,5,20,13,4,3,0,1,1,0.9417890299,13,3
2866,5,1,3,1979,,5,2,3,,,5,2,2,17,,,,5,16,13,4,3,0,1,1,0.9417890299,13,3
2875,1,1,1,1911,,1,1,2,,,2,1,1,15,2,9,1,3,84,13,4,3,0,5,3,0.8603002878,13,3
2875,2,2,2,1914,,2,1,2,,,3,2,2,15,8,4,2,3,81,13,4,3,0,5,3,0.8603002878,13,3
2875,3,1,3,1950,,3,2,5,1,,3,2,2,2,,9,3,3,45,13,4,3,0,3,3,0.8603002878,13,3
2886,1,1,1,1949,,1,1,5,2,,4,1,2,2,,9,1,5,46,13,4,3,2,3,3,0.3417894177,13,3
2886,2,2,2,1952,,2,1,5,2,,4,2,2,2,,9,2,5,43,13,4,3,2,3,3,0.3417894177,13,3
2886,3,1,3,1977,,3,2,3,,,4,2,2,17,,,,5,18,13,4,3,2,1,3,0.3417894177,13,3
2886,4,1,3,1979,,4,2,3,,,4,2,2,17,,,,5,16,13,4,3,2,1,3,0.3417894177,13,3
2886,5,1,3,1983,,5,2,2,,,4,2,2,17,,,,5,12,13,4,3,2,1,3,0.3417894177,13,3
2963,1,1,1,1927,,1,1,2,,,3,1,1,15,1,1,1,2,68,16,4,3,2,5,2,0.586202282,14,3
2963,2,2,2,1932,,2,1,2,,,3,1,2,16,,,,2,63,16,4,3,2,4,2,0.586202282,16,3
2970,1,1,1,1942,,1,1,3,,,3,2,2,9,,3,1,6,53,16,4,3,2,4,2,0.7334520679,16,3
2970,2,2,2,1945,,2,1,2,,,3,2,2,13,,,,6,50,16,4,3,2,3,2,0.7334520679,16,3
2970,3,1,3,1969,,3,2,5,2,,5,2,2,9,,3,,6,26,16,4,3,2,1,2,0.7334520679,16,3
2970,4,1,3,1972,,4,2,5,2,,5,2,2,17,,,,6,23,16,4,3,2,1,2,0.7334520679,16,3
2970,5,2,3,1974,,5,2,5,2,,5,2,2,17,,,,6,21,16,4,3,2,1,2,0.7334520679,16,3
2970,6,2,3,1984,,6,2,2,,,5,2,2,17,,,,6,11,16,4,3,2,1,2,0.7334520679,16,3
3078,1,1,1,1964,,1,1,3,,,4,2,2,10,,2,1,4,31,12,3,2,2,2,1,0.6733668318,12,2
3078,2,2,2,1964,,2,1,3,,,3,2,2,13,,,,4,31,12,3,2,2,2,1,0.6733668318,12,2
3078,3,2,3,1989,,3,2,1,,,3,2,2,17,,,,4,6,12,3,2,2,1,1,0.6733668318,12,2
3078,4,2,3,1992,,4,2,1,,,5,2,2,18,,,,4,3,12,3,2,2,1,1,0.6733668318,12,2
3166,1,1,1,1940,,1,1,2,,,5,2,2,1,,9,1,5,55,12,3,2,1,4,2,1.4140236124,12,2
3166,2,2,2,1947,,2,1,2,,,4,1,2,13,,,,5,48,12,3,2,1,3,2,1.4140236124,12,2
3166,3,2,3,1973,,3,2,5,2,,5,2,2,2,,8,,5,22,12,3,2,1,1,2,1.4140236124,3,1
3166,4,2,3,1974,,4,2,5,3,,5,2,2,17,,,,5,21,12,3,2,1,1,2,1.4140236124,12,2
3166,5,2,3,1977,,5,2,3,,,5,2,2,17,,,,5,18,12,3,2,1,1,2,1.4140236124,12,2
3193,1,1,1,1962,,1,1,3,,,4,2,2,1,,2,1,4,33,13,4,3,1,2,1,0.3120769653,13,3
3193,2,2,2,1965,,2,1,3,,,3,2,2,13,,,,4,30,13,4,3,1,1,1,0.3120769653,13,3
3193,3,2,3,1987,,3,2,1,,,5,2,2,17,,,,4,8,13,4,3,1,1,1,0.3120769653,13,3
3193,4,1,3,1992,,4,2,1,,,5,2,2,18,,,,4,3,13,4,3,1,1,1,0.3120769653,13,3
3203,1,1,1,1925,,1,4,2,,,4,1,2,15,2,2,1,2,70,1,1,1,2,5,2,0.4507881152,1,1
3203,2,1,3,1957,,2,2,7,,4,5,2,2,3,,9,2,2,38,1,1,1,2,2,2,0.4507881152,1,1
3204,1,1,1,1957,,1,1,7,,10,4,2,2,8,,9,1,2,38,1,1,1,2,2,2,0.5834682793,1,1
3204,2,2,2,1967,2,,1,6,,10,4,1,2,2,,9,2,2,28,1,1,1,2,1,2,0.5834682793,1,1
3299,1,1,1,1939,,1,1,4,,,5,2,2,1,,2,1,5,56,9,3,2,1,4,4,0.6888117343,9,2
3299,2,2,2,1951,,2,1,3,,,5,2,2,13,,,,5,44,9,3,2,1,3,4,0.6888117343,9,2
3299,3,2,3,1969,,3,2,3,,,5,2,2,12,1,2,,5,26,9,3,2,1,1,4,0.6888117343,9,2
3299,4,2,3,1970,,4,2,3,,,5,2,2,1,,4,,5,25,9,3,2,1,1,4,0.6888117343,9,2
3299,5,1,3,1972,,5,2,2,,,5,2,2,12,1,2,,5,23,9,3,2,1,1,4,0.6888117343,9,2
3389,1,1,1,1912,,1,1,2,,,2,1,2,15,1,2,1,2,83,20,5,3,0,5,2,2.36913703,20,3
3389,2,2,2,1924,,2,1,2,,,2,1,2,16,,,2,2,71,20,5,3,0,5,2,2.36913703,20,3
3663,1,1,1,1920,,1,1,5,5,,3,1,2,15,3,9,1,2,75,16,4,3,2,5,1,0.4667518418,16,3
3663,2,2,2,1926,,2,1,2,,,4,2,2,13,,,2,2,69,16,4,3,2,5,1,0.4667518418,18,3
3717,1,2,1,1954,,1,2,4,,,4,2,2,13,,,1,3,41,16,4,3,2,3,3,0.4729499036,16,3
3717,2,1,4,1916,,2,4,3,,,2,1,1,15,4,9,,3,79,16,4,3,2,5,3,0.4729499036,16,3
3717,3,2,5,1911,,3,2,2,,,1,1,1,16,,,,3,84,16,4,3,2,5,3,0.4729499036,16,3
3905,1,1,1,1941,,1,1,2,,,4,1,2,15,8,5,1,5,54,20,5,3,2,4,1,0.2915646761,20,3
3905,2,2,2,1947,,2,1,2,,,4,1,2,13,,,2,5,48,20,5,3,2,3,1,0.2915646761,20,3
3905,3,1,3,1971,,3,2,5,1,,4,2,2,11,,,,5,24,20,5,3,2,1,1,0.2915646761,20,3
3905,4,2,3,1981,,4,2,3,,,4,2,2,17,,,,5,14,20,5,3,2,1,1,0.2915646761,20,3
3905,5,1,3,1982,,5,2,3,,,4,2,2,17,,,,5,13,20,5,3,2,1,1,0.2915646761,20,3
4236,1,2,1,1914,,1,4,1,,,3,2,2,15,1,1,1,1,81,3,1,1,2,5,1,0.6399083427,3,1
4238,1,1,1,1926,,1,1,1,,,3,1,2,15,1,2,1,2,69,3,1,1,2,5,2,0.6313166354,19,3
4238,2,2,2,1928,,2,1,1,,,3,1,2,16,,,2,2,67,3,1,1,2,5,2,0.6313166354,19,3
4266,1,1,1,1939,,1,1,2,,,3,1,2,15,1,2,1,7,56,3,1,1,2,4,3,0.5634247985,3,1
4266,2,2,2,1940,,2,1,3,,,4,2,2,13,,,2,7,55,3,1,1,2,4,3,0.5634247985,18,3
4266,3,2,5,1929,,3,2,2,,,2,1,1,16,,,,7,66,3,1,1,2,5,3,0.5634247985,18,3
4266,4,2,4,1908,,4,4,2,,,3,2,2,16,,,,7,87,3,1,1,2,5,3,0.5634247985,3,1
4266,5,1,3,1970,,5,2,3,,,2,1,1,11,,,,7,25,3,1,1,2,1,3,0.5634247985,3,1
