NQUEST,NORD,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
20782,1,8,1977,3000,13,2,0,90
20782,2,5,1986,1300,13,2,0,90
20798,1,3,1981,125,13,2,0,
20798,1,4,1983,508,13,2,0,
20798,1,9,1981,143,12,2,0,
20837,1,8,1989,2300,13,1,2000,100
20837,2,1,1983,505,13,2,0,100
20862,1,3,1981,1250,13,2,0,
20881,1,9,1970,1030,13,2,0,
20920,1,5,1985,4100,13,2,0,90
20920,1,2,1989,260,12,2,0,
20990,1,1,1995,1700,13,2,0,70
21002,1,2,1981,292,13,2,0,
21002,1,9,1982,1100,13,2,0,
21002,1,2,1982,400,13,2,0,
21003,2,1,1989,1700,13,2,0,
21003,4,9,1979,1740,13,2,0,
21128,2,8,1956,1900,13,2,0,80
21368,5,1,1973,1350,13,2,0,
21368,5,3,1988,30,13,2,0,
21456,1,15,1978,3500,13,2,0,80
21461,1,2,1975,680,13,2,0,
21461,2,2,1977,600,13,2,0,
21463,1,1,1985,600,13,2,0,
21463,2,1,1985,576,13,2,0,
21464,1,1,1981,1160,13,2,0,75
21464,2,1,1982,626,13,2,0,
21466,1,2,1994,870,13,2,0,
21466,2,3,1976,760,13,2,0,
21470,1,5,1992,4500,13,1,20000,80
21470,2,4,1972,480,13,2,0,
21472,1,2,1991,250,13,2,0,
21482,1,1,1986,730,13,2,0,
21482,2,1,1982,710,13,2,0,
21510,1,1,1975,1360,13,2,0,60
21510,2,4,1985,107,13,2,0,
21543,1,1,1984,1550,12,1,4000,70
21546,1,1,1987,1400,13,2,0,80
21636,1,3,1994,700,13,2,0,
21699,2,3,1992,600,13,2,0,
21699,3,2,1992,700,13,2,0,
21859,1,1,1991,1400,13,2,0,80
21859,2,1,1993,600,13,2,0,50
21872,1,1,1985,1100,13,2,0,100
21872,1,3,1980,26,13,2,0,
21926,1,1,1990,600,13,2,0,50
21934,1,1,1976,600,13,2,0,30
21934,2,4,1990,600,13,2,0,
22015,1,1,1983,650,13,2,0,
22015,2,1,,500,13,2,0,
22015,2,2,,50,13,2,0,
22021,1,1,1987,650,13,2,0,
22021,1,3,1995,650,13,2,0,
22067,2,1,1993,1500,13,2,0,80
22067,4,11,1985,520,13,2,0,
22086,1,1,1981,750,13,2,0,80
22116,2,7,1980,1000,13,2,0,
22116,2,2,1992,800,13,2,0,
22164,1,2,1990,600,12,2,0,
22164,1,3,1995,600,13,2,0,
22167,2,1,1993,2000,13,2,0,80
22202,1,8,1981,1850,13,2,0,80
22203,2,1,1995,1600,2,2,0,80
22203,6,1,1980,1200,13,2,0,80
22208,1,8,1977,2000,13,2,0,100
22208,2,1,1985,1300,13,2,0,70
22208,3,1,1986,1400,13,2,0,70
22222,1,1,1977,1500,13,2,0,96
