NQUEST,Y,CN,CD1,CD2,CD,C,S
7166,111559.28722,54300,26000,0,26000,80300,31259.287216
7781,14146.500592,10744.223356,0,0,0,10744.223356,3402.2772357
7886,57851.911423,49800,0,0,0,49800,8051.9114231
7895,109713.16285,53210,0,0,0,53210,56503.162848
8168,43570.287859,25200,0,0,0,25200,18370.287859
8331,233336.65466,108000,0,2000,2000,110000,123336.65466
8332,9169.6958588,12960,0,0,0,12960,-3790.304141
8481,10555.105018,12360,0,0,0,12360,-1804.894982
8578,33584.576394,26400,0,0,0,26400,7184.5763936
8591,32476.361653,20400,0,0,0,20400,12076.361653
8754,24000,31200,0,1400,1400,32600,-8600
8868,105997.93638,66600,19000,700,19700,86300,19697.936375
8915,90374.713731,55200,0,750,750,55950,34424.713731
8952,33649.090227,26400,0,0,0,26400,7249.0902272
8954,81429.592541,48000,0,0,0,48000,33429.592541
8955,93786.244118,50400,0,0,0,50400,43386.244118
9248,77970.184717,29800,0,1500,1500,31300,46670.184717
9249,66313.33624,41100,0,0,0,41100,25213.33624
9402,91849.563627,34600,0,0,0,34600,57249.563627
9405,10300,9600,0,0,0,9600,700
9411,28950.135672,29136,0,0,0,29136,-185.8643282
9526,116722.84796,84000,44500,0,44500,128500,-11777.15204
11810,21419.091998,18000,0,0,0,18000,3419.0919975
11940,69601.152263,45600,0,0,0,45600,24001.152263
11972,36887.727118,20300,0,1500,1500,21800,15087.727118
20010,93197.169278,66001.984966,0,20000,20000,86001.984966,7195.1843125
20011,79292.678202,24000,0,0,0,24000,55292.678202
20019,24379.740224,16800,0,0,0,16800,7579.7402236
20020,54064.370808,40700,0,0,0,40700,13364.370808
20028,53180.28598,38200,0,0,0,38200,14980.28598
20033,21258.269786,22080,0,0,0,22080,-821.7302142
20047,234310.35226,56000,20000,2000,22000,78000,156310.35226
20111,22100,20400,0,0,0,20400,1700
20112,17750,17400,0,0,0,17400,350
20154,92043.76681,49600,0,0,0,49600,42443.76681
20169,11180,8400,0,0,0,8400,2780
20170,29930.917615,20760,0,0,0,20760,9170.9176148
20174,65066.173783,46200,26000,1300,27300,73500,-8433.826217
20178,50813.671311,34308.778473,0,0,0,34308.778473,16504.892838
20179,66561.561978,45600,0,0,0,45600,20961.561978
20223,38471.241346,33600,0,0,0,33600,4871.2413462
20231,50928.806275,42600,0,0,0,42600,8328.8062751
20232,65056.858777,60700,0,0,0,60700,4356.8587769
20241,41642.010319,26400,0,700,700,27100,14542.010319
20258,37295.094019,22800,0,1000,1000,23800,13495.094019
20277,46074.59926,18000,0,0,0,18000,28074.59926
20284,61052.21489,60000,7700,1600,9300,69300,-8247.78511
20285,38968.13916,21620,0,0,0,21620,17348.13916
20289,28953.896555,14400,0,0,0,14400,14553.896555
20297,30994.565029,27000,0,0,0,27000,3994.5650285
20358,32525.971334,30000,0,0,0,30000,2525.9713338
20365,34036.773058,24000,0,0,0,24000,10036.773058
20372,47809.357411,33600,0,0,0,33600,14209.357411
20373,34201.626142,24000,0,0,0,24000,10201.626142
20375,44882.497531,37200,20000,0,20000,57200,-12317.50247
20380,10400,9480,0,0,0,9480,920
20386,23759.644559,25200,0,0,0,25200,-1440.355441
20387,44879.006568,25200,17000,0,17000,42200,2679.0065679
20391,18200,22800,0,0,0,22800,-4600
20393,50641.68108,36500,10000,0,10000,46500,4141.68108
20499,45620.451039,21200,15000,0,15000,36200,9420.4510394
20503,57344.134575,57600,0,0,0,57600,-255.8654247
20697,52173.110471,45600,0,3000,3000,48600,3573.1104706
20704,80324.81947,62400,20000,0,20000,82400,-2075.18053
20711,121284.47743,74573.024342,2000,1500,3500,78073.024342,43211.453085
20721,50402.356671,27600,9000,0,9000,36600,13802.356671
20729,64965.177484,41160,0,0,0,41160,23805.177484
20766,45116.280573,33750,0,4000,4000,37750,7366.280573
20767,60133.81776,54000,0,0,0,54000,6133.8177602
20770,43994.317318,26400,0,1500,1500,27900,16094.317318
20782,82609.675407,38400,0,0,0,38400,44209.675407
20784,21865.675561,33600,0,0,0,33600,-11734.32444
20798,20373.081905,19306.699649,0,0,0,19306.699649,1066.382256
20837,78358.556472,39600,27000,0,27000,66600,11758.556472
20839,100583.21865,68020.781306,29000,0,29000,97020.781306,3562.4373469
20845,12000,12720,3500,200,3700,16420,-4420
20846,47958.998979,23580,0,150,150,23730,24228.998979
20849,79709.767632,62400,27000,0,27000,89400,-9690.232368
20862,63639.82957,24000,0,0,0,24000,39639.82957
20881,23794.053488,24000,0,0,0,24000,-205.9465121
20920,148200.24292,90960,20000,0,20000,110960,37240.242917
20936,99732.08249,48065.713307,0,5000,5000,53065.713307,46666.369183
20944,78509.98821,56200,0,2500,2500,58700,19809.98821
20981,68353.164159,25200,0,0,0,25200,43153.164159
20990,24680.828703,22800,0,0,0,22800,1880.8287034
21002,30905.553442,25200,0,0,0,25200,5705.553442
21003,71542.291016,34680,0,0,0,34680,36862.291016
21128,49671.763985,34800,0,3500,3500,38300,11371.763985
21368,86749.897822,53200,0,0,0,53200,33549.897822
21384,33533.252536,19800,0,0,0,19800,13733.252536
21453,33974.524363,20900,0,0,0,20900,13074.524363
21456,90733.353303,48000,0,0,0,48000,42733.353303
21461,19687.252961,17400,0,0,0,17400,2287.2529611
21463,20088,19200,0,0,0,19200,888
21464,32482.193715,8400,300,0,300,8700,23782.193715
21466,27326.576863,12000,0,5500,5500,17500,9826.5768631
21470,128194.95817,57600,5000,5000,10000,67600,60594.958166
21472,30268.038985,21600,0,0,0,21600,8668.0389848
21474,63211.961252,43700,0,0,0,43700,19511.961252
21481,32000,18000,0,2500,2500,20500,11500
21482,21309.599409,16800,0,400,400,17200,4109.5994094
21510,19250.230034,20400,0,0,0,20400,-1149.769966
21543,74614.213954,33600,23000,0,23000,56600,18014.213954
21546,28137.537183,21000,0,5000,5000,26000,2137.5371833
21626,30853.351296,27600,4000,1800,5800,33400,-2546.648704
21627,25419.310186,23812.703674,0,0,0,23812.703674,1606.6065117
21636,11550.62104,10200,0,0,0,10200,1350.6210403
21639,72129.259051,33600,3000,4000,7000,40600,31529.259051
21693,30348.386328,30000,0,0,0,30000,348.38632794
21699,40805.391767,20400,0,0,0,20400,20405.391767
21761,31922.133812,22800,0,0,0,22800,9122.1338123
21772,29097.094005,19200,0,0,0,19200,9897.094005
21859,54280.213752,44550.285015,0,0,0,44550.285015,9729.9287369
21872,22570.304072,23400,0,400,400,23800,-1229.695928
21875,72150.777677,42000,1000,2000,3000,45000,27150.777677
21877,57170.630082,37800,0,0,0,37800,19370.630082
21879,35339.427313,22800,15000,1500,16500,39300,-3960.572687
21880,59850.122751,36000,0,0,0,36000,23850.122751
21926,10200,14400,0,0,0,14400,-4200
21934,18600,17400,0,0,0,17400,1200
21952,52676.057051,28800,0,0,0,28800,23876.057051
22015,16190.613361,12590.613361,0,0,0,12590.613361,3600
22021,27500,26200,0,0,0,26200,1300
22067,75472.341912,35400,0,500,500,35900,39572.341912
22074,33699.557026,30000,0,0,0,30000,3699.5570263
22086,9750,8832,0,0,0,8832,918
22099,21648.914533,16800,0,0,0,16800,4848.9145326
22116,78051.438416,52600,0,600,600,53200,24851.438416
22155,83176.754095,32000,0,0,0,32000,51176.754095
