NQUEST,NORD,YL2,YL1,YTP1,YTP2,YTA1,YTA2,YTA3,YCR1,YL,YTP,YTA,YT,YM1,YM2,YM,YCR2,YCR3,YCR,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
912,2,0,15000,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000
923,1,0,0,8190,0,0,0,0,0,0,8190,0,8190,0,0,0,12000,11600,23600,283.57249947,0,0,0,283.57249947,23883.572499,32073.572499
1084,1,0,26000,0,0,0,0,0,0,26000,0,0,0,8000,500,7500,6500,24000,30500,3418.433717,2248.7057771,0,0,5667.139494,36167.139494,69667.139494
1084,2,0,25000,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000
1120,1,1600,75000,0,0,0,0,0,0,76600,0,0,0,0,0,0,0,16000,16000,191.52698623,936.35701953,485.31217091,1300,313.19617667,16313.196177,92913.196177
1120,2,0,55000,0,0,0,0,0,0,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000
1120,3,0,0,32981,0,9600,0,0,0,0,32981,9600,42581,0,0,0,0,0,0,0,0,0,0,0,0,42581
1137,1,0,0,11700,0,0,0,0,0,0,11700,0,11700,0,0,0,0,3600,3600,30.133107728,0,0,0,30.133107728,3630.1331077,15330.133108
1137,2,0,0,4160,0,0,0,0,0,0,4160,0,4160,0,0,0,0,0,0,0,0,0,0,0,0,4160
1238,1,0,21000,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,6000,6000,0,0,0,0,0,6000,27000
1361,1,0,0,70200,0,0,0,0,0,0,70200,0,70200,0,0,0,0,15600,15600,517.77960269,0,0,0,517.77960269,16117.779603,86317.779603
1361,2,0,0,30940,0,0,0,0,0,0,30940,0,30940,0,0,0,0,0,0,0,0,0,0,0,0,30940
1367,1,0,0,7800,0,0,0,0,0,0,7800,0,7800,0,0,0,0,3850,3850,8.8280250546,1799.1824066,0,0,1808.0104317,5658.0104317,13458.010432
1367,2,0,0,5460,0,0,0,0,0,0,5460,0,5460,0,0,0,0,0,0,0,0,0,0,0,0,5460
1371,1,0,29000,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,6000,6000,1252.8319284,0,0,0,1252.8319284,7252.8319284,36252.831928
1387,1,0,0,13000,0,0,0,0,0,0,13000,0,13000,0,0,0,0,8000,8000,0,0,0,0,0,8000,21000
1387,2,0,0,13000,0,0,0,0,0,0,13000,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,13000
1391,1,0,0,4800,0,0,0,0,0,0,4800,0,4800,0,0,0,0,2400,2400,101.95809224,0,0,0,101.95809224,2501.9580922,7301.9580922
1492,1,0,0,16250,0,0,0,0,0,0,16250,0,16250,0,0,0,0,1760,1760,98.368541197,800.87463342,0,0,899.24317461,2659.2431746,18909.243175
1492,2,0,0,3250,0,0,0,0,0,0,3250,0,3250,0,0,0,0,0,0,0,0,0,0,0,0,3250
1742,1,0,0,13200,0,0,0,0,0,0,13200,0,13200,0,0,0,0,4100,4100,505.46023661,0,0,0,505.46023661,4605.4602366,17805.460237
1742,2,0,15000,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000
1742,3,0,16800,0,0,0,0,0,0,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16800
1750,1,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,20000,0,12000,12000,0,0,0,1950,-1950,10050,30050
1759,1,0,0,7200,0,0,0,0,0,0,7200,0,7200,0,0,0,0,3600,3600,0,0,0,0,0,3600,10800
1762,1,0,0,15600,0,0,0,0,0,0,15600,0,15600,0,0,0,0,2400,2400,0,0,0,0,0,2400,18000
1763,1,0,14200,0,0,0,0,0,0,14200,0,0,0,0,0,0,0,4800,4800,1595.5173426,0,0,0,1595.5173426,6395.5173426,20595.517343
1763,2,0,14200,0,0,0,0,0,0,14200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14200
1817,1,0,0,19500,0,0,0,0,0,0,19500,0,19500,0,0,0,0,0,0,447.70172036,4485.5614263,0,0,4933.2631466,4933.2631466,24433.263147
1817,2,0,0,10400,0,0,0,0,0,0,10400,0,10400,0,0,0,0,0,0,0,0,0,0,0,0,10400
1826,1,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,18000,1500,7500,9000,1524.5846014,0,0,0,1524.5846014,10524.584601,28524.584601
1927,1,0,13000,13650,0,0,0,0,0,13000,13650,0,13650,0,0,0,0,0,0,83.752079459,1064.3271521,0,0,1148.0792316,1148.0792316,27798.079232
1927,2,0,0,0,0,0,0,4950,0,0,0,4950,4950,0,0,0,0,0,0,0,0,0,0,0,0,4950
1946,1,0,0,4316,0,0,0,0,0,0,4316,0,4316,0,0,0,0,0,0,366.56563791,0,0,0,366.56563791,366.56563791,4682.5656379
1946,2,0,0,15600,0,0,0,0,0,0,15600,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,15600
1946,4,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
1953,1,0,0,28600,0,0,0,0,0,0,28600,0,28600,0,0,0,0,7200,7200,411.67125241,2344.89318,640.65510809,0,3397.2195405,10597.219541,39197.219541
1953,2,0,0,8190,0,0,0,0,0,0,8190,0,8190,0,0,0,0,0,0,0,0,0,0,0,0,8190
1988,1,0,0,12090,0,0,0,0,0,0,12090,0,12090,0,0,0,0,4800,4800,676.37526037,0,0,0,676.37526037,5476.3752604,17566.37526
1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,279.73009033,0,0,0,279.73009033,3279.7300903,3279.7300903
1989,2,0,0,16900,0,0,0,0,0,0,16900,0,16900,0,0,0,0,0,0,0,0,0,0,0,0,16900
2178,1,0,17000,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,18000,18000,782.97356836,0,0,0,782.97356836,18782.973568,35782.973568
2178,2,0,0,10400,0,0,0,0,0,0,10400,0,10400,0,0,0,0,0,0,0,0,0,0,0,0,10400
2178,3,0,0,10400,0,0,0,0,0,0,10400,0,10400,0,0,0,0,0,0,0,0,0,0,0,0,10400
