NQUEST,NORD,ATTIVP,PARTIME,TUTTANNO,MESILAV,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM
11810,1,1,1,1,12,7,40,2,,20000,2,0
11810,2,1,1,2,2,3,42,2,,1020,2,0
11940,3,1,1,2,11,2,40,2,,10500,2,0
20010,3,1,1,2,6,2,49,1,5,7800,2,0
20011,1,1,1,1,12,7,36,2,,42000,2,0
20020,1,1,1,1,12,6,39,1,1,30000,1,1300
20020,2,1,2,2,7,5,30,2,,8000,2,0
20047,3,1,1,1,12,7,18,2,,21000,2,0
20047,4,1,1,2,7,6,40,2,,9500,2,0
20154,1,1,1,1,12,6,40,1,3,45000,2,0
20154,2,1,2,1,12,7,30,2,,23000,1,1600
20154,3,1,1,2,3,7,38,2,,5000,2,0
20174,1,1,1,1,12,6,37,1,0,45000,2,0
20178,1,1,1,1,12,5,38,2,,28000,1,
20179,1,1,1,1,12,7,36,2,,29000,1,1200
20179,2,1,1,1,12,5,36,2,,24500,2,0
20232,2,1,1,1,12,7,28,2,,24000,2,0
20258,1,1,1,1,12,7,36,1,3,37000,2,0
20277,2,1,1,1,12,1,40,2,,17000,2,0
20284,2,1,1,1,12,6,40,1,0,25000,2,0
20297,1,1,1,2,3,2,40,2,,4200,2,0
20297,1,1,1,2,9,2,40,1,6,14000,2,0
20372,1,1,1,1,12,7,36,2,,28600,2,0
20372,3,1,2,1,12,5,10,1,2,6500,2,0
20375,3,1,1,2,4,2,40,2,,5000,2,0
20387,1,1,1,1,12,3,40,2,,19000,2,0
20387,3,1,1,1,12,4,40,1,3,17000,2,0
20393,1,1,1,1,12,7,38,2,,38000,2,0
20503,1,1,1,1,12,2,45,2,,25000,2,0
20697,1,1,1,1,12,4,50,2,,37000,2,0
20697,4,1,1,1,12,4,40,2,,15000,2,0
20711,1,1,1,1,12,2,40,2,,39000,2,0
20711,3,1,1,1,12,4,40,2,,20800,2,0
20711,4,1,1,1,12,2,46,2,,19500,2,0
20711,5,1,1,1,12,,40,2,,16250,2,0
20721,1,1,1,1,12,6,38,2,,36000,2,0
20729,1,1,1,1,12,6,52,2,,34000,2,0
20729,2,1,1,1,12,7,25,2,,29000,2,0
20766,1,1,1,1,12,7,35,1,1,29900,1,150
20767,2,1,1,1,12,1,40,2,,19500,2,0
20770,1,1,1,1,12,7,36,2,,20000,2,0
20770,2,1,1,1,12,7,36,2,,19000,2,0
20784,2,1,1,2,6,7,18,2,,9000,2,0
20839,1,1,1,1,12,7,36,2,,27000,2,0
20845,2,1,1,1,12,2,42,1,2,12000,2,0
20846,1,1,1,1,12,7,37,1,0,26500,2,0
20846,2,1,1,1,12,5,40,1,2,20000,2,0
20849,1,1,1,1,12,7,40,1,2,40000,2,0
20849,2,1,1,1,12,7,36,2,,29000,2,0
20862,2,1,1,1,12,2,60,2,,21000,2,0
20862,3,1,1,1,12,7,32,2,,19000,2,0
20936,1,1,1,1,12,6,45,1,9,39000,1,2500
20944,1,1,1,1,12,4,48,2,,32000,1,5000
20944,2,1,1,1,12,7,20,1,6,27400,2,0
20981,1,1,1,1,12,7,40,1,0,35000,1,1800
20981,2,1,1,1,12,7,22,2,,21000,2,0
21368,1,1,1,1,12,7,24,2,,28000,2,0
21368,2,1,1,1,12,7,24,2,,28000,2,0
21470,4,1,1,2,1,1,40,2,,1500,2,0
21472,3,1,1,1,12,2,40,2,,17000,2,0
21474,1,1,1,1,12,5,44,1,4,48000,1,1700
21543,3,1,1,1,12,7,40,1,4,33000,2,0
21626,1,1,1,1,12,7,24,2,,27000,2,0
21627,1,1,1,1,12,7,36,2,,19500,2,0
21639,2,1,1,1,12,7,40,2,,40000,2,0
21699,1,1,1,2,5,,36,2,,7000,2,0
21761,1,1,1,1,12,6,40,2,,24000,2,0
21772,1,1,1,1,12,1,40,2,,21000,2,0
21859,3,1,1,1,12,6,40,2,,23000,2,0
21875,1,1,1,1,12,7,60,2,,45000,2,0
21875,2,1,1,1,12,7,36,1,0,26000,2,0
21877,1,1,1,1,12,7,36,1,2,26000,2,0
21877,2,1,1,1,12,7,36,1,0,24000,2,0
21879,1,1,1,1,12,7,36,1,0,30000,2,0
21880,1,1,1,1,12,4,46,1,3,25000,2,0
21880,2,1,1,1,12,7,36,1,0,23000,2,0
21952,2,1,1,1,12,5,40,2,,30600,2,0
21952,3,1,1,1,12,1,40,2,,20460,2,0
22067,1,1,1,1,12,4,40,2,,28400,1,3000
22074,1,1,1,1,12,7,36,2,,23800,2,0
22116,1,1,1,1,12,7,36,2,,20500,2,0
22116,3,1,1,1,12,7,30,2,,23000,2,0
22155,1,1,1,1,12,6,40,2,,40000,2,0
22164,2,1,1,1,12,1,44,2,,16200,2,0
22164,3,1,1,1,12,1,40,2,,14000,2,0
22167,1,1,1,1,12,7,45,1,7,42000,2,0
22169,3,1,1,2,10,1,40,2,,7000,2,0
22173,1,1,1,1,12,2,48,2,,26000,2,0
22203,1,1,1,1,12,2,40,1,0,18000,2,0
22203,2,1,1,2,6,3,40,1,0,9000,2,0
22203,3,1,1,1,12,4,48,1,8,18200,2,0
22203,4,1,1,1,12,4,40,1,0,16900,2,0
22225,2,1,1,1,12,5,42,1,2,32000,2,0
22225,4,1,1,2,3,2,43,2,,6000,2,0
22226,1,1,1,1,12,6,36,2,,28000,2,0
22251,3,1,1,1,12,4,40,2,,13000,2,0
22262,1,1,1,1,12,6,40,2,,50000,1,300
22263,3,1,1,1,12,6,40,1,1,22100,2,0
22272,1,1,1,1,12,6,40,2,,35000,2,0
22272,3,1,1,1,12,4,40,2,,18000,2,0
22274,1,1,1,1,12,6,40,1,10,26000,2,0
22274,3,1,1,1,12,2,40,2,,16000,2,0
22276,1,1,1,1,12,7,36,1,1,22500,2,0
22276,4,1,1,1,12,1,40,1,0,23000,2,0
22277,1,1,1,1,12,7,36,1,0,20000,2,0
22278,1,1,1,1,12,7,36,1,0,22000,2,0
22278,2,1,1,1,12,2,45,1,0,24000,2,0
22286,1,1,1,1,12,1,25,1,0,11700,2,0
22353,2,1,1,1,12,7,40,1,3,38000,1,2160
22506,1,1,1,1,12,6,40,1,2,28000,2,0
22509,5,1,1,2,8,5,30,1,15,14500,2,0
22516,1,1,1,1,12,7,36,2,,21000,2,0
22516,2,1,1,2,7,7,36,2,,10500,2,0
22516,3,1,1,2,1,2,40,2,,2000,2,0
22528,2,1,1,1,12,7,30,2,,26000,2,0
22528,4,1,1,1,12,2,50,2,,13000,2,0
22537,1,1,1,1,12,7,32,1,,19000,2,0
22545,2,1,1,1,12,6,48,2,,28000,2,0
22548,1,1,1,2,4,3,16,2,,6000,2,0
