NQUEST,NORD,SITUAT,PENSVOL,PROBLAV,MINLAV,MAXLAV,PROBTEL,PROBLTX
32718,1,1,2,100,80000,100000,,50
32724,1,1,2,100,70000,90000,,50
32724,2,1,1,,,,,
32725,1,1,2,90,30000,35000,,50
32732,1,1,1,,,,,
32732,2,1,2,100,12000,13000,,50
32735,1,1,1,,,,,
32735,2,1,2,100,26000,27000,,60
32737,1,1,2,100,25000,25000,,40
32744,1,1,2,100,22000,24000,,30
32744,2,2,,50,10000,20000,,50
32751,1,4,,,,,,
32751,3,1,2,100,6000,18000,,90
32755,1,1,2,100,25000,35000,,10
32755,2,1,1,,,,,
32769,1,1,2,80,10000,20000,,90
32777,1,1,2,90,15000,20000,,50
32777,2,1,2,90,15000,20000,,50
32778,1,1,2,100,23000,23000,,50
32778,3,1,2,100,19000,19000,,50
32789,1,1,2,70,12000,20000,,70
32789,2,1,2,70,12000,20000,,60
32822,3,3,,30,15000,20000,,50
32822,4,2,,30,12000,14000,,50
32822,5,2,,50,15000,18000,,50
32833,2,1,2,70,14000,16000,,70
32836,1,1,2,30,24000,30000,,10
32836,2,1,2,30,20000,25000,,10
32839,1,2,,0,26000,28000,,
32850,1,1,2,90,19000,25000,,50
32850,2,1,2,90,16000,18000,,50
32867,1,1,2,100,25000,35000,,50
32867,3,1,2,100,15000,17000,,50
32880,1,1,2,100,24000,28000,,80
32882,1,1,2,10,30000,50000,,40
32882,2,1,2,10,30000,50000,,50
32919,1,1,2,90,18000,24000,,70
32930,2,1,2,100,40000,42000,,80
32937,1,1,1,,,,,
32958,1,1,2,100,20000,25000,,20
32962,1,1,2,100,40000,41000,,10
32962,3,1,2,90,14000,15000,,10
32998,2,1,2,100,20000,30000,,40
32998,3,3,,0,18000,26000,,70
33038,1,1,2,50,15000,20000,,100
33073,1,1,2,100,20000,20000,,100
33208,1,1,1,,,,,
33211,1,4,,,,,,
33211,2,1,2,100,29000,30000,,40
33214,1,1,2,100,18000,20000,,30
33236,1,1,1,,,,,
33240,3,1,2,90,16000,20000,,30
33240,4,1,2,50,10000,25000,4,40
33245,3,1,2,,,,,
33247,1,1,2,90,35000,40000,,90
33247,2,1,2,90,25000,30000,,90
33303,1,1,2,100,14000,16000,,60
33303,2,1,2,100,,,,
33303,3,1,2,100,16000,20000,3,50
33303,4,1,2,80,15000,19000,4,70
33314,1,2,,100,50000,53000,,60
33314,2,2,,70,13000,14000,,50
33328,1,1,2,100,19500,21000,,50
33333,1,1,2,100,20000,30000,,50
33333,2,1,2,100,10000,16000,,20
33340,4,1,2,70,19500,22000,4,50
33347,1,4,,,,,,
33348,3,1,2,100,6000,10000,,50
33350,1,1,1,,,,,
33354,1,1,2,100,40000,60000,,50
33354,2,1,2,100,24000,28000,,50
33354,3,1,2,100,40000,60000,,50
33427,1,1,2,20,,,,
33437,1,2,,30,8000,12000,,10
33437,2,1,2,100,15000,18000,,10
33451,1,1,2,50,15000,30000,,60
33451,2,1,2,30,21000,27000,,60
33457,1,1,2,60,28000,32000,,50
33484,1,1,2,100,30000,35000,,50
33484,2,1,2,100,25000,30000,,50
33485,2,1,1,,,,,
33485,3,1,2,100,26000,26000,,50
33597,1,1,2,80,20000,25000,,100
33600,1,1,2,100,25000,35000,,60
33600,2,1,2,100,25000,30000,,70
33631,3,1,2,80,10000,12000,,80
33633,1,1,2,100,18200,21000,,70
33636,2,1,2,100,27000,28000,,50
33637,1,1,2,100,23000,23000,,50
33639,1,1,2,100,25000,30000,,50
33639,2,1,2,100,15000,20000,,50
33640,1,1,2,100,20000,21000,,50
33644,2,2,,100,17000,18000,,50
33647,1,1,2,100,28000,32000,,50
33647,2,1,2,100,20000,20000,,50
33745,1,1,2,100,23000,23000,,50
33745,2,1,2,100,50000,60000,2,50
33746,1,1,2,100,30000,35000,,0
33746,2,1,2,100,24000,24000,,50
33761,1,1,2,100,80000,80000,,50
33781,1,1,2,100,12000,15000,,50
33781,2,1,2,100,12000,15000,2,50
33789,1,1,2,100,38000,40000,,30
33823,2,1,2,100,20000,22000,2,40
33841,1,2,,50,16000,18000,,30
33841,2,1,2,50,8500,11000,,20
33841,3,1,2,0,,,,
33841,4,2,,80,12000,14000,,50
33877,1,1,2,100,30000,34000,,10
33877,2,1,2,100,30000,33000,2,50
33882,2,1,2,100,28000,30000,,50
33889,2,1,2,90,19000,20000,2,10
33890,1,1,2,50,37000,37000,,50
33890,2,1,2,20,15000,15000,,50
33937,1,1,2,90,,,,
33937,2,1,2,90,,,,
33937,3,1,2,90,,,,
33941,1,1,2,90,30000,40000,,20
33941,2,1,2,90,16000,20000,,20
33950,1,1,2,,25000,27000,,30
33950,3,3,,30,15000,16000,,10
33985,1,1,2,100,100000,100000,,70
33985,2,1,2,100,26000,26000,2,50
33992,1,1,2,0,8500,10000,,0
33992,2,2,,0,,,,
33992,3,1,2,100,15000,18000,,0
34002,1,2,,20,,,,
34005,1,1,2,100,40000,50000,,80
34019,1,2,,60,18000,20000,,80
34023,1,1,2,100,10000,18000,,50
34023,2,1,2,100,10000,18000,,50
34023,3,1,2,,,,,
34023,4,1,2,,,,,
34025,1,2,,60,15000,17000,,50
34028,2,1,2,90,20000,22000,,20
34040,1,1,2,90,15000,18000,,10
34040,3,1,2,90,15000,25000,,80
34040,4,1,2,90,17000,25000,,80
34057,1,1,2,100,47000,50000,,100
34057,2,1,2,100,26650,26650,,100
34059,1,1,2,100,24000,30000,,50
34059,2,1,2,,,,,
34066,1,1,2,100,28000,28000,,50
34066,2,1,2,,,,,
34132,1,1,1,,,,,
34154,1,1,2,50,18000,18000,,50
34199,1,1,2,90,1000,5000,,60
34199,2,1,2,100,19000,19000,,50
34199,4,1,2,100,20000,20000,,50
34201,3,1,2,,,,,
34203,1,1,1,,,,,
34203,3,1,2,100,18000,28000,,80
34215,1,1,2,100,40000,50000,,50
34215,2,1,2,100,30000,40000,,40
34215,3,1,2,80,35000,50000,,50
34215,4,1,2,80,30000,40000,,70
34223,1,1,2,100,40000,60000,,30
34225,1,1,2,60,11000,12000,,50
34228,1,1,2,100,22000,25000,,50
34228,2,1,2,,,,,
34235,2,1,1,,,,,
34258,1,1,2,100,10000,11000,,10
34258,2,1,2,100,10000,11000,,10
34261,1,1,1,,,,,
34261,2,1,2,100,20000,22000,2,90
34262,2,1,1,,,,,
34265,1,1,2,100,55000,60000,,50
34265,2,1,2,100,55000,60000,,50
34268,1,1,2,100,20000,100000,,80
34268,2,1,2,,,,,
34271,1,1,2,50,15000,30000,,50
34274,1,1,2,80,26000,27000,,50
34274,3,1,2,50,15000,16000,,50
34280,1,1,2,100,34000,35000,,50
34280,2,1,2,100,15000,16000,,50
34282,1,1,2,100,10000,12000,,50
34282,2,1,2,100,16000,17000,,50
34332,3,3,,50,13000,20000,,100
34340,3,1,2,70,9000,12000,,100
34340,4,3,,40,,,,
34363,1,2,,0,,,,
34363,2,1,2,100,24000,24000,2,90
34396,3,1,2,70,14000,16000,3,50
34397,3,3,,50,12000,15000,,30
34397,4,3,,40,13000,19000,,40
34397,5,3,,30,19000,24000,,10
34397,6,3,,20,12000,16000,,20
34397,7,3,,10,11000,16000,,20
34399,1,1,2,100,29400,32000,,50
34452,1,1,2,10,9000,10000,,50
34469,1,1,2,100,17000,28000,,60
34470,3,3,,50,12000,14000,3,30
34473,1,1,2,100,24000,26000,,100
34473,2,1,2,100,21000,22000,2,100
34474,3,1,2,50,6000,8000,3,30
34476,1,1,2,100,18000,20000,,100
34476,2,3,,0,10000,15000,,50
34476,3,1,2,50,10000,15000,,50
34498,2,1,2,100,22000,27000,,50
34509,1,1,2,100,24000,28000,,50
34513,1,1,2,100,35000,40000,,50
34534,3,1,2,80,24000,28000,,20
34534,4,3,,50,20000,24000,,40
34534,5,3,,50,24000,26000,,40
34534,6,3,,50,24000,26000,,40
34541,1,1,2,90,32000,34000,,60
34541,3,1,2,50,12000,14000,,40
34544,1,1,2,100,20000,25000,,40
34544,3,3,,50,15000,18000,,20
34544,4,3,,50,16000,20000,,30
34567,1,1,2,80,32000,35000,,10
34567,3,1,2,100,28000,30000,,30
34578,1,1,1,,,,,
34578,2,1,2,100,22000,22000,,100
34593,3,2,,60,9500,13000,,50
34594,1,1,2,100,30000,31000,,80
34595,3,1,2,,,,,
34600,3,2,,20,13000,30000,3,60
34600,4,1,2,,,,,
34706,1,1,2,100,20000,25000,,20
34720,3,1,2,,,,,
34720,4,1,2,,,,,
34726,1,1,2,50,12000,24000,,90
34726,2,1,2,50,12000,24000,,100
34726,3,1,2,,,,,
34726,4,3,,,,,,
34731,3,2,,30,15000,23000,,20
34731,4,2,,60,24000,100000,,0
34731,5,2,,0,15000,23000,,20
34733,1,1,2,100,25000,40000,,80
34738,1,1,2,100,25000,30000,,30
34738,2,1,2,100,15000,25000,,70
34739,1,1,2,0,50000,80000,,
34739,2,1,2,0,50000,80000,,
34757,3,1,2,50,10000,18000,,60
34769,1,2,,50,5000,7200,,90
34775,3,3,,50,8000,15000,,20
34778,4,1,2,,,,,
34783,2,1,2,50,6000,22000,,0
34783,3,3,,0,6000,12000,,0
34791,1,1,2,80,20000,30000,,50
34791,3,1,2,,,,,
34796,1,2,,20,14000,20000,,90
34797,1,1,,,,,,
34825,1,1,2,100,30000,32000,,70
34825,2,1,1,,,,,
34836,1,1,2,100,24000,24000,,50
34845,2,2,,90,18000,20000,,10
34862,1,1,2,70,10000,15000,,50
34900,1,1,2,100,22000,23000,,70
34900,2,1,2,50,19000,20000,,40
34934,2,1,2,100,25000,25000,,50
34988,1,1,2,100,40000,50000,,100
34988,2,1,2,100,20000,24000,,40
34993,2,2,,90,16000,16000,2,70
34993,3,1,2,100,20000,25000,3,50
35005,1,1,2,100,13000,15000,,60
35012,1,1,2,100,36000,40000,,100
35019,1,1,2,30,20000,25000,,30
35026,3,1,2,100,24000,25000,,10
35026,4,3,,30,18000,22000,,30
35076,1,1,2,100,26000,30000,,70
35076,2,1,2,100,23000,30000,,50
35082,1,1,2,100,18000,19000,,40
35082,3,2,,30,18000,20000,,50
35103,1,1,1,,,,,
35103,3,2,,20,12000,18000,,90
35103,4,2,,40,15000,15000,,100
35103,5,1,2,,,,,
35103,7,2,,10,12000,20000,,100
35132,1,1,2,70,25000,35000,,50
35135,3,1,2,50,25000,30000,,90
35135,4,3,,50,18000,30000,,70
35147,1,1,2,100,18000,25000,,50
35164,1,2,,10,20000,30000,,0
35164,2,1,2,30,20000,30000,,0
35205,1,1,2,60,10000,15000,,60
35209,1,1,2,90,22000,26000,,60
35214,1,1,2,100,30000,40000,,70
35214,2,1,1,,,,,
35222,3,1,2,90,20000,21000,,50
35222,4,1,2,90,20000,21000,,50
35223,1,1,2,90,40000,60000,,20
35223,2,1,2,90,35000,40000,,20
35223,3,1,2,90,9000,12000,,20
35229,2,1,2,70,10000,12000,,50
35229,3,3,,100,10400,19500,,60
35234,1,1,2,100,34000,37000,,90
35260,1,1,2,90,22000,22000,,50
35260,2,2,,40,4000,6000,,50
35260,3,3,,90,15000,24000,,50
35297,2,3,,30,12000,20000,,30
35301,1,1,2,80,24000,26000,,60
35301,2,1,2,20,25000,27000,,70
35304,1,1,2,50,15000,20000,,70
35304,2,2,,30,10000,12000,,90
35314,3,1,2,50,10000,18000,,50
35314,4,1,2,50,10000,18000,,50
35315,3,1,2,100,18000,20000,,50
35322,3,1,2,70,20000,22000,,50
35323,1,1,2,100,18000,22000,,50
35323,3,1,2,50,16000,20000,,50
35324,1,1,1,,,,,
35327,1,1,2,100,40000,46000,,50
35337,1,2,,50,11000,11000,,30
35337,3,3,,50,5000,5000,,20
35340,1,1,2,70,22000,22000,,0
35340,3,3,,0,4000,5000,,90
35340,4,1,2,50,3000,5000,,90
35346,1,1,2,100,16000,16000,,50
35353,1,1,2,100,25000,26000,,10
35367,1,1,2,100,17500,17500,,0
35367,3,2,,70,12000,36000,,0
35367,4,1,2,70,2000,5000,,0
35372,1,1,2,100,23000,23000,,10
35372,2,2,,20,12000,15000,,20
35374,1,2,,40,30000,30000,,30
35374,2,1,2,90,28000,28000,,90
35376,1,1,2,100,18000,22000,,100
35378,1,1,2,100,26000,30000,,70
35378,2,1,2,100,22000,25000,,40
35379,1,1,2,0,25000,30000,,70
35382,1,1,2,100,20000,20000,,0
35382,2,1,2,100,20000,20000,,0
35382,3,3,,70,12000,15000,,100
35382,4,3,,50,10000,15000,,100
35383,1,1,2,100,20000,25000,,0
35383,3,3,,0,15000,20000,,100
35383,4,3,,0,15000,20000,,100
35389,1,1,2,90,20000,50000,,70
35389,2,1,2,10,5000,15000,,50
35405,1,2,,10,20000,23000,,50
35405,3,1,2,100,25000,30000,,50
35432,2,1,2,100,9000,12000,,20
35433,1,1,2,90,30000,40000,,40
35443,1,1,2,100,25000,27000,,50
35443,2,1,2,100,20000,21000,,50
35443,3,1,2,100,12000,15000,,50
35443,4,1,2,100,25000,28000,,60
35487,1,1,2,100,36000,51000,,60
35487,4,1,2,90,18000,21000,,50
35488,1,1,2,100,40000,40000,,30
35488,3,1,2,100,28000,45000,,50
35489,1,1,2,80,50000,75000,,60
35489,2,1,2,90,15000,15000,,50
35489,4,1,2,90,16000,16000,,50
35498,3,1,2,100,16000,18000,,60
35500,3,1,2,100,10800,14400,,50
35502,1,1,2,90,18000,24000,,80
35507,3,1,2,100,26000,34000,,30
35507,4,1,2,100,8000,12000,,80
35512,1,1,2,100,20000,24000,,10
35514,1,1,2,100,10400,13000,,40
35514,2,1,2,100,10400,13000,,40
35614,2,1,2,100,28000,30000,,50
35614,3,2,,80,1000,10000,,90
35638,1,1,2,100,12000,14000,,100
35638,2,1,2,100,18000,24000,,100
35641,1,1,1,,,,,
35641,2,1,2,90,30000,45000,,20
35676,1,4,,,,,,
35676,2,1,2,100,30000,40000,,50
35676,3,1,2,100,30000,40000,,80
35682,1,1,2,100,21000,23000,,60
35682,2,1,2,100,26000,30000,,40
35702,1,1,2,100,100000,120000,,80
35702,2,1,2,70,21000,22000,,90
35712,1,2,,20,8000,15000,,100
35712,2,3,,50,20000,30000,,100
35735,1,1,2,90,40000,45000,,50
35735,2,1,2,90,25000,30000,,50
35742,1,1,2,100,30000,34000,,60
35742,2,1,2,100,34000,38000,,50
35788,1,1,2,100,32000,45000,,60
35802,1,2,,20,10000,12000,,80
35802,3,2,,10,,,,
35802,5,3,,30,4000,8000,,50
35812,1,1,2,70,35000,40000,,70
35812,3,3,,40,6000,12000,,60
35813,1,1,2,100,13000,18000,,0
35813,2,1,,,,,,
35862,1,1,2,100,22000,24000,,50
35864,1,1,2,20,8000,12000,,20
35864,3,3,,,,,,
35864,4,3,,,,,,
35866,1,1,2,100,10000,15000,,50
35866,2,1,2,30,7200,8000,,70
35866,3,2,,,,,,
35867,1,2,,10,,,,
35867,2,1,2,90,10000,14000,,70
35879,1,1,2,100,21000,22000,,10
35879,3,3,,,,,,
36004,1,1,2,100,20000,21000,,50
36004,4,3,,50,10000,12000,,50
36005,1,1,2,100,10000,18000,,70
36005,2,1,2,100,10000,13000,,70
36008,1,1,2,0,24000,48000,,40
36008,3,1,2,90,48000,70000,,50
36008,4,3,,60,24000,48000,,100
36011,1,1,2,100,35000,35000,,50
36011,3,1,2,100,28000,35000,,50
36011,4,3,,50,10000,10000,,50
36071,1,1,2,100,17000,18000,,50
36106,2,1,2,30,16000,22000,2,30
36112,1,1,2,100,15000,22000,,50
36112,2,1,2,100,8000,10000,,50
36113,1,2,,0,20000,24000,,50
36113,2,1,2,100,24000,24000,,70
36119,1,1,2,60,12000,24000,,70
36122,1,1,2,60,20000,20000,,30
36130,1,1,2,100,28000,32000,,50
36130,2,2,,50,6000,8000,,50
36131,1,1,2,100,20000,21000,,50
36131,2,1,2,100,20000,21000,,50
36146,1,1,2,90,20000,28000,,50
36156,1,1,2,100,80000,100000,,60
36156,2,1,2,100,36000,38000,,100
36162,1,1,2,100,25000,30000,,60
36162,3,1,2,100,21000,23000,,50
36164,1,1,2,100,23000,25000,,20
36167,1,1,2,100,20000,70000,,50
36167,2,1,2,100,10000,20000,2,50
36175,1,1,2,60,23000,25000,,50
36250,1,1,2,100,26000,30000,,50
36250,2,1,2,100,21000,25000,,50
36260,1,1,2,,21000,21000,,50
36260,2,2,,30,5500,5500,,50
36302,1,1,2,90,32000,35000,,70
36302,3,3,,60,10000,12000,,60
36302,4,3,,30,,,,
36320,1,1,2,100,20000,26000,,20
36323,1,1,1,,,,,
36346,1,1,2,100,,,,
36388,3,3,,80,28000,30000,,50
36389,3,1,2,90,22000,25000,,50
36393,1,1,2,,24000,24000,,10
36393,2,1,2,,17000,20000,,50
36398,1,1,2,,19000,32500,,100
36398,3,1,2,10,20000,30000,,40
36399,1,1,2,100,32000,45000,,50
36399,2,1,2,100,20000,28000,,70
36412,1,2,,,,,,
36420,1,1,2,90,27000,28000,,50
36426,1,1,2,70,25000,27000,,60
36426,2,1,2,90,15000,20000,,40
36427,1,1,2,100,21000,23000,,50
36427,2,1,2,100,28000,32000,,50
36427,3,3,,100,18000,20000,,50
36438,3,2,,100,30000,50000,,50
36441,1,1,1,,,,,
36441,2,1,1,,,,,
36443,1,1,2,90,21000,22000,,50
36443,2,1,2,100,21000,22000,,40
36494,3,3,,30,8000,18000,,50
36494,4,1,2,30,22000,25000,,50
36495,1,1,2,100,6000,7000,,50
36495,2,2,,0,18000,24000,,80
36496,2,1,2,100,19000,21000,,50
36496,3,1,2,100,15000,16000,,50
36501,1,1,2,100,23000,24000,,20
36512,1,1,2,100,22000,25000,,90
36512,2,2,,70,18000,20000,,70
36512,3,1,2,80,20000,25000,,60
36512,4,3,,60,20000,25000,,60
36512,5,2,,60,20000,25000,,60
36514,1,1,2,80,23000,26000,,60
36514,3,3,,40,5000,6000,,30
36514,4,3,,40,4000,6000,,40
36522,1,1,2,100,24000,26000,,60
36522,2,1,2,100,24000,26000,,60
36524,1,1,2,100,30000,35000,,0
36527,1,1,2,100,20000,20000,,50
36527,3,1,2,100,20000,20000,,50
36536,3,3,,30,18000,30000,,40
36544,1,1,2,50,8000,9000,,70
36545,1,1,1,,,,,
36549,3,3,,10,10000,20000,,30
36549,4,3,,10,10000,20000,,20
36554,1,1,2,90,24000,26000,,50
36554,3,3,,20,5000,8000,,70
36554,4,3,,20,5000,8000,,70
36554,5,3,,30,5000,8000,,70
36566,1,1,2,90,8000,14000,,10
36566,2,1,2,90,24000,25000,2,40
36595,1,1,2,100,34000,35000,,50
36597,1,1,2,100,35000,38000,,50
36616,2,2,,10,13000,15000,,50
36628,1,2,,10,15000,25000,,10
36628,3,1,2,80,,,,
36642,1,1,2,90,17000,17000,,20
36655,1,1,2,90,24000,35000,,50
36697,1,1,2,100,25000,26000,,10
36727,3,1,2,80,15600,16900,,50
36733,1,1,2,100,40000,60000,,100
36741,2,1,2,50,16000,17000,,50
36746,3,2,,,,,,
36746,4,1,2,90,1000,4500,,50
36773,1,1,2,100,32000,36000,,100
36773,2,1,2,100,23000,25000,,80
36774,1,1,2,100,7000,8000,,80
36774,2,3,,10,15000,18000,,100
36774,3,3,,50,18000,20000,,100
36785,1,1,2,100,36000,37000,,80
36785,2,1,2,100,30000,31000,2,30
36785,4,1,2,50,18000,20000,4,
36888,1,1,2,100,32000,32000,,50
36892,1,1,2,100,18000,20000,,40
36892,2,1,2,100,15000,20000,,40
36893,1,1,2,100,28000,29000,,50
36893,2,1,2,100,12000,13000,,40
37011,1,1,2,100,33000,35000,,70
37011,2,1,2,100,25000,27000,,30
37012,1,1,2,100,33000,36000,,50
37012,2,1,2,100,28000,30000,,80
37026,1,1,2,100,15000,15000,,50
37034,1,1,2,80,19000,20000,,80
37036,3,1,2,70,5000,7000,3,50
37038,1,1,2,100,50000,50000,,
37038,2,1,2,100,25000,25000,,
37042,1,1,2,100,40000,42000,,50
37042,3,1,2,100,30000,32000,,50
37043,1,1,2,90,20000,25000,,10
37064,1,1,2,100,20000,25000,,50
37073,1,1,2,,,,,
37073,2,1,2,100,,,,
37095,2,1,2,100,16900,18200,2,20
37202,1,1,2,50,12000,20000,,80
37211,1,1,2,100,35000,40000,,80
37211,3,3,,0,3000,6000,,20
37216,1,1,2,100,33000,40000,,
37216,3,3,,100,6000,8000,,
37216,4,3,,60,4000,8000,,
37223,1,1,2,90,21000,25000,,90
37223,2,1,2,100,25000,28000,,90
37245,3,3,,30,10000,16000,,50
37245,4,3,,30,10000,16000,,50
37250,2,1,2,70,2800,3500,,30
37258,2,1,2,90,25000,35000,2,20
37266,3,1,2,100,23400,32500,,30
37287,1,1,2,100,18000,20000,,70
37291,1,1,2,100,,,,
37291,2,1,2,100,,,,
37291,3,1,2,90,12000,20000,,80
37291,4,1,2,80,18000,30000,,80
37294,1,1,2,20,21000,26000,,80
37295,1,1,1,,,,,
37295,2,1,2,100,30000,32000,,80
37295,3,1,2,90,25000,30000,,50
37299,1,1,2,100,18000,24000,,70
37300,1,2,,50,18000,26000,,20
37300,3,1,2,70,4000,8000,,30
37300,4,3,,20,4000,6000,,20
37302,2,1,2,60,10000,15000,,70
37302,3,1,2,80,18000,20000,,30
37313,1,1,2,100,16000,16000,,50
37313,4,3,,10,20000,30000,4,60
37326,1,1,2,60,10000,15000,,30
37326,2,1,2,70,10000,15000,,50
37326,3,3,,10,15000,20000,,60
37328,2,1,2,100,24000,26400,,50
37329,1,1,2,100,18000,24000,,20
37329,2,1,2,100,18000,24000,,30
37329,3,1,2,100,21600,30000,,20
37330,2,1,2,40,5000,6000,,50
37339,2,1,2,100,16900,20800,,30
37342,3,1,2,100,26000,39000,,70
37349,1,1,2,100,24000,30000,,30
37349,3,1,2,100,21600,30000,,50
37349,4,1,2,100,18000,24000,,40
37385,2,1,2,100,24000,26000,,50
37387,1,1,2,100,30000,32000,,10
37387,2,1,2,100,23000,25000,,10
37394,1,1,1,,,,,
37394,3,2,,30,28000,30000,,40
37396,1,1,2,100,25000,30000,,80
37410,1,2,,10,10800,10800,,100
37410,2,1,2,100,24000,24000,,100
37410,3,1,2,100,18000,18000,,100
37458,1,1,2,100,18000,22000,,60
37458,2,2,,0,10000,15000,,100
37461,1,1,2,100,24000,40000,,60
37461,3,1,2,50,10000,15000,,70
37461,4,3,,0,10000,15000,,100
37504,1,1,2,50,50000,100000,,50
37504,2,4,,,,,,
37521,1,1,2,30,10000,15000,,50
37521,2,1,2,100,24000,24000,,50
37576,1,1,2,100,22400,23400,,50
37621,1,1,2,70,25000,30000,,90
37621,2,1,2,70,15000,22000,,90
37638,3,3,,60,15000,20000,,50
37639,1,1,2,100,18000,20000,,90
37639,2,2,,40,15000,18000,,50
37639,3,1,2,70,18000,20000,,80
37639,4,1,2,70,17000,20000,,80
37639,5,2,,20,12000,14000,,50
37642,1,1,2,90,28000,30000,,80
37667,1,1,2,90,18000,20000,,80
37677,1,4,,,,,,
37677,3,1,2,100,25000,45000,,30
37685,1,1,2,90,17000,18000,,100
37687,1,1,2,80,20000,24000,,70
37687,4,1,2,80,18000,20000,,60
37695,3,1,2,60,10000,20000,,50
37698,1,1,2,90,24000,27000,,50
37698,2,1,2,90,21000,25000,,50
37751,1,1,2,50,45000,50000,,50
37751,3,3,,80,50000,70000,,50
37777,1,1,2,90,20000,25000,,50
37780,1,1,2,100,18000,25000,,70
37784,1,1,2,100,40000,50000,,20
37784,2,1,2,100,20000,30000,,30
37788,1,1,2,80,30000,35000,,50
37788,3,1,2,80,20000,30000,,60
37801,1,1,2,100,22000,26000,,50
37808,1,1,2,100,16000,20000,,50
37811,1,1,2,100,18000,25000,,50
37823,1,1,2,50,15000,18000,,50
37835,1,1,2,100,24000,25000,,90
37835,2,1,2,100,36000,48000,,60
37886,1,1,2,100,80000,90000,,10
37886,2,1,2,100,30000,40000,,0
37892,1,1,2,100,40000,45000,,20
38012,1,1,2,100,20800,23400,,50
38012,2,1,2,100,20100,21000,,50
38013,1,1,2,100,28000,29000,,50
38013,2,1,2,100,16900,17900,,80
38016,2,1,2,100,20000,22000,,90
38018,3,1,2,90,15500,19500,,100
38038,1,1,2,100,20000,30000,,50
38038,2,1,2,100,15000,20000,,50
38038,4,3,,30,6000,18000,4,80
38095,1,1,2,100,28000,30000,,50
38095,2,1,2,0,6000,8000,,80
38101,1,1,2,100,23000,23000,,50
38101,2,1,2,100,23000,23000,,50
38109,1,1,2,40,10400,12000,,50
38120,2,1,2,,19000,19000,,50
38124,1,1,2,100,25000,29000,,30
38124,2,1,2,100,26000,28000,,50
38128,1,2,,30,4800,10000,,30
38128,2,1,2,100,15000,15000,,100
38138,2,1,2,90,16000,20000,,30
38186,1,4,,,,,,
38186,2,1,2,100,22000,22000,,50
38251,1,1,2,100,22000,23000,,60
38251,4,3,,30,10000,12000,4,30
38255,1,1,2,60,20000,23000,,80
38262,1,1,2,100,10000,12000,,80
38266,1,1,2,100,15000,18000,,30
38266,2,1,2,100,19000,22000,,40
38271,1,1,2,100,65000,67000,,50
38271,2,1,2,100,26000,28000,,70
38316,1,1,2,100,60000,70000,,0
38316,2,1,2,100,6000,6000,,50
38321,1,1,2,100,15000,18000,,30
38321,2,1,2,100,38000,42000,2,50
38321,3,1,2,100,12000,18000,3,30
38323,5,1,2,,,,,
38328,1,1,2,100,50000,80000,,50
38328,2,1,2,100,17000,20000,2,50
38329,3,1,2,,,,,
38330,1,1,2,100,30000,50000,,50
38333,1,1,2,100,12000,28000,,50
38333,2,1,2,100,8000,16000,,90
38339,1,1,2,90,50000,55000,,90
38339,2,1,2,90,40000,50000,,90
38349,1,1,2,100,40000,50000,,60
38349,3,1,2,100,17000,18000,3,40
38409,1,1,2,100,24000,24000,,80
38426,1,1,2,70,8000,10000,,50
38426,2,1,2,70,8000,10000,,50
38433,3,1,2,,,,,
38440,1,1,2,100,26000,26000,,50
38440,3,1,2,,,,,
38469,2,1,2,100,70000,80000,,40
38493,3,1,2,10,30000,35000,3,30
38523,3,1,2,90,17000,20000,,40
38523,4,1,2,90,15000,19000,,40
38524,3,1,2,90,10000,12000,,30
38542,1,1,2,100,10000,12000,,0
38552,1,1,2,90,30000,36000,,30
38554,3,1,2,90,19000,25000,3,50
38554,4,1,2,90,25000,30000,,20
38587,1,1,2,100,40000,50000,,30
38587,2,1,2,100,17000,19000,,40
38625,1,1,2,90,26000,39000,,40
38625,2,1,2,90,19500,21000,,50
38625,3,3,,40,,,,
38628,1,1,2,90,20000,24000,,50
38645,2,1,2,80,19200,23000,,50
38646,1,1,2,100,18000,20000,,10
38708,1,1,1,,,,,
38710,1,1,2,100,22000,26000,,50
38711,1,1,2,100,22000,26000,,50
38711,2,1,2,100,22000,26000,,50
38726,1,1,2,100,50000,60000,,20
38726,2,1,2,100,36000,39000,,50
38727,1,1,2,100,60000,95000,,40
38727,2,1,2,100,,,,
38729,1,1,2,90,70000,100000,,50
38729,2,3,,50,30000,40000,,30
38729,3,1,2,80,30000,40000,,30
38770,1,1,2,60,18000,24000,,50
38770,3,1,2,100,18000,26000,,30
38770,4,3,,50,12000,18000,,50
38774,1,1,2,100,24000,26000,,50
38774,2,1,2,50,16000,20000,,50
38774,3,1,2,,,,,
38775,1,1,2,100,17550,17550,,10
38802,1,1,2,100,55000,90000,,50
38802,2,1,2,100,26000,26000,,100
38809,1,2,,60,5000,7000,,70
38812,1,1,2,90,18200,18600,,80
38812,2,1,2,90,18200,19000,,50
38812,3,1,2,,,,,
38813,3,1,2,100,14400,14400,,50
38813,4,1,2,100,18000,20000,4,60
38830,3,1,2,,,,,
38877,1,1,2,100,28000,29000,,80
38877,3,1,2,100,18000,19000,,30
38880,1,1,2,100,30000,31000,,30
38880,2,1,2,100,18000,20000,,60
38909,2,1,2,80,19000,20000,,50
38913,1,1,2,70,12000,15000,,50
38914,1,1,2,60,20000,35000,,80
38928,1,1,2,10,40000,50000,,30
38929,1,1,2,100,30000,35000,,20
