NQUEST,GODABIT,UNIPRO,QUOPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,POSS,IMPACQ,MUTUOAB,TMUTUOAB,MUTUOAG,MUTUOIN,MUTUODU,MUTUOVA,TIPOTAX,TAXFIS,TAXVAR,TFITTO,TIPOAFF,PROPRIET,ANABIT,TFITIMP,UBIC1,UBIC2,CATABIT,SUPAB,ANCOSTR,RISTRUT,BAGNI,RISCALD,VALABIT,ALTRAB,ALTRFAB,TERAGR,TERNAGR,NALTRAB,NALTRFAB,NTERAGR,NTERNAGR,VENDIM,ANTIC,ANTICIPI,MANSTRA,TMANSTRA
25,1,1,100,1986,1,,,,6,70000,1,2500,1,35000,25,1,1,5,,,,,,1200,2,1,2,130,1986,1,2,1,500000,1,2,2,2,1,0,0,0,2,2,0,2,0
34,1,1,100,1994,1,2,,,1,630000,1,9500,1,50000,5,1,2,,11.5,,,,,2500,3,1,2,130,1928,1,2,1,900000,2,2,2,2,0,0,0,0,2,2,0,1,30000
38,2,,,,,,,,,,,,,,,,,,,54,5,4,1973,,4,2,3,70,1910,2,1,2,120000,2,2,2,2,0,0,0,0,2,2,0,,
123,1,1,100,1984,1,,,,6,100000,2,,,,,,,,,,,,,700,1,3,3,200,1984,2,1,1,250000,1,1,1,2,1,1,1,0,2,2,0,1,150000
126,5,,,,,,,,,,,,,,,,,,,,,1,1994,400,2,3,3,110,1958,1,1,1,80000,2,2,2,2,0,0,0,0,2,2,0,,
173,1,1,100,1994,1,,,,1,180000,1,16000,1,100000,10,2,1,8,,,,,,,2,3,2,120,1990,2,2,1,200000,2,2,2,2,0,0,0,0,2,2,0,2,0
304,1,1,100,1981,2,,,,4,,,,,,,,,,,,,,,350,2,3,4,80,1980,2,1,2,80000,2,2,1,2,0,0,1,0,2,2,0,2,0
325,1,1,100,1984,1,,,,1,60000,,,,,,,,,,,,,,850,3,3,3,112,1952,2,1,1,200000,2,2,2,2,0,0,0,0,2,2,0,2,0
375,1,1,100,1968,2,,,,6,10700,,,,,,,,,,,,,,,4,1,5,140,1967,1,2,1,200000,2,2,2,2,0,0,0,0,2,2,0,2,0
376,1,1,100,1974,1,2,,,6,30000,,,,,,,,,,,,,,500,4,1,3,140,1974,2,2,1,200000,1,2,2,2,1,0,0,0,2,2,0,1,4000
424,1,1,100,1978,1,,,,1,20000,,,,,,,,,,,,,,700,2,1,3,70,1850,2,1,1,130000,1,2,1,2,2,0,2,0,2,2,0,2,0
465,5,,,,,,,,,,,,,,,,,,,,,1,1983,300,1,1,2,100,1980,2,2,1,200000,2,2,1,2,0,0,1,0,2,2,0,2,0
474,1,1,100,1958,1,,,,1,3000,,,,,,,,,,,,,,500,4,1,5,130,1920,2,2,2,150000,2,1,2,2,0,1,0,0,2,2,0,2,0
558,5,,,,,,,,,,,,,,,,,,,,,1,1983,650,3,1,3,120,1979,2,1,1,100000,2,2,2,2,0,0,0,0,2,2,0,,
561,1,1,100,1979,1,2,,,6,49000,1,7200,1,35000,15,1,2,,13.5,,,,,750,3,1,4,135,1979,2,1,1,380000,2,2,2,2,0,0,0,0,2,2,0,2,0
629,1,1,100,1981,1,2,3,,2,60000,,,,,,,,,,,,,,800,3,3,3,140,1981,2,2,1,200000,2,2,2,2,0,0,0,0,2,2,0,2,0
632,1,1,100,1983,1,2,,,6,90000,,,,,,,,,,,,,,1000,1,3,3,100,1983,2,1,1,250000,1,2,2,2,1,0,0,0,2,2,0,2,0
633,1,1,100,1964,2,,,,5,,,,,,,,,,,,,,,600,1,3,3,100,1964,1,1,1,400000,2,2,1,2,0,0,1,0,2,2,0,2,0
686,1,1,100,1986,1,,,,1,80000,,,,,,,,,,,,,,500,2,1,2,80,1986,2,1,1,200000,2,2,2,2,0,0,0,0,2,2,0,2,0
701,1,1,100,1970,2,,,,1,12000,,,,,,,,,,,,,,800,3,1,2,100,1970,2,2,1,280000,2,2,2,2,0,0,0,0,2,2,0,2,0
823,1,1,100,1984,1,,,,6,200000,,,,,,,,,,,,,,1500,1,3,2,500,1984,2,2,1,700000,1,2,1,2,2,0,1,0,2,2,0,2,0
824,1,1,100,1980,1,2,,,6,,,,,,,,,,,,,,,750,1,3,3,100,1980,2,2,1,400000,2,1,1,2,0,1,4,0,2,2,0,2,0
905,5,,,,,,,,,,,,,,,,,,,,,1,1980,500,4,1,3,125,1962,2,1,1,130000,1,2,2,2,1,0,0,0,2,2,0,1,60000
912,1,1,100,1970,1,,,,1,5000,,,,,,,,,,,,,,500,4,1,3,100,,2,1,1,250000,2,2,1,2,0,0,1,0,2,2,0,2,0
923,1,2,40,1994,1,2,,,4,,,,,,,,,,,,7,,,900,4,1,3,200,1963,2,2,1,350000,1,1,2,2,1,1,0,0,2,2,0,2,0
1084,1,1,100,1991,1,2,,,6,150000,,,,,,,,,,,,,,1000,2,3,3,140,1921,2,2,1,220000,1,2,2,2,2,0,0,0,2,2,0,2,0
1120,1,1,100,1980,1,2,,,1,50000,1,3000,2,30000,20,1,2,,4.5,,,,,1000,3,1,3,225,1965,1,2,1,450000,1,2,2,2,1,0,0,0,2,2,0,1,10000
1137,1,1,100,1957,1,2,,,1,8000,,,,,,,,,,,,,,300,4,1,4,100,1931,2,1,1,70000,2,2,2,2,0,0,0,0,2,2,0,2,0
1238,3,1,100,1960,1,,,,3,,,,,,,,,,,,,,,500,2,3,5,80,1960,2,1,2,80000,2,2,2,2,0,0,0,0,2,2,0,,
