NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YM,YM1,YM2,YC,YCR,YCR1,YCR2,YCR3,YCF,YCF1,YCF2,YCF3,YCF4
8754,24000,24000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8868,105997.93638,103000,88000,15000,0,0,0,0,0,0,0,0,0,0,0,2997.9363751,1200,0,0,1200,1797.9363751,1797.9363751,0,0,0
8915,90374.713731,25200,25200,0,44200,44200,44200,0,0,0,0,0,0,0,0,20974.713731,19200,0,6000,13200,1774.7137314,1774.7137314,0,0,0
8952,33649.090227,18000,18000,0,9360,9360,9360,0,0,0,0,0,0,0,0,6289.0902272,6000,0,0,6000,289.09022717,289.09022717,0,0,0
8954,81429.592541,56000,56000,0,0,0,0,0,0,0,0,0,0,0,0,25429.592541,24600,0,6600,18000,829.59254061,524.67274817,2863.4608018,2641.4589906,5200
8955,93786.244118,0,0,0,67470,67470,67470,0,0,0,0,0,0,0,0,26316.244118,20400,0,0,20400,5916.2441177,5916.2441177,0,0,0
9248,77970.184717,58000,58000,0,0,0,0,0,0,0,0,0,0,0,0,19970.184717,11800,0,0,11800,8170.1847169,1544.3809347,6625.8037822,0,0
9249,66313.33624,35000,35000,0,19800,19800,19800,0,0,0,0,0,0,0,0,11513.33624,11100,0,0,11100,413.33624047,413.33624047,0,0,0
9402,91849.563627,56000,55000,1000,26000,26000,26000,0,0,0,0,0,0,0,0,9849.5636273,9600,0,0,9600,249.56362728,249.56362728,0,0,0
9405,10300,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,1200,1200,0,0,1200,0,0,0,0,0
9411,28950.135672,0,0,0,26000,26000,26000,0,0,0,0,0,0,0,0,2950.1356718,0,0,0,0,2950.1356718,397.87774052,2552.2579312,0,0
9526,116722.84796,0,0,0,0,0,0,0,0,0,0,0,80000,100000,20000,36722.84796,24000,0,0,24000,12722.84796,2088.4618275,12971.568177,4162.8179557,6500
11810,21419.091998,21020,21020,0,0,0,0,0,0,0,0,0,0,0,0,399.09199754,3600,0,0,3600,-3200.908002,49.091997542,0,0,3250
11940,69601.152263,10500,10500,0,40200,40200,40200,0,0,0,0,0,0,0,0,18901.152263,15600,0,0,15600,3301.1522633,440.99192461,2860.1603387,0,0
11972,36887.727118,0,0,0,0,0,0,0,0,0,0,0,28000,28000,0,8887.727118,8300,0,0,8300,587.72711804,587.72711804,0,0,0
