NQUEST,NORD,STA1,STA2,STA3,STB1,STB2,STB3,STB4,STC1,STC2,STC3,STC4,STC5,STC6,STC7,STD1,STD2,STD3,STD4,YTA1,YTA2,YTA3,YTB1,YTB2,YTB3,YTB4,YTC1,YTC2,YTC3,YTC4,YTC5,YTC6,YTC7,YTD1,YTD2,YTD3,YTD4
23460,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0
23460,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0
23466,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
23527,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0
23689,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,9765,0,0,0,0,0,0,0,0,0,0,0,0,0
23689,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840
23689,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0
24025,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,2750,0,0
24025,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,2750,0,0
24071,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
24150,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0
24316,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0
24330,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0
24374,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0
24382,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0
24529,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0
24529,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0
24531,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0
24611,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
24616,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,39000,0,0,0,0,0,0,0,0,0,0,0
24659,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0
24835,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0
24931,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
24940,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0
25087,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25137,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0
