NQUEST,ASS1,ASS1C1,ASS1T1,ASS1G1,ASS1A1,ASS1S1,ASS1C2,ASS1T2,ASS1G2,ASS1A2,ASS1S2,ASS1C3,ASS1T3,ASS1G3,ASS1A3,ASS1S3,ASS1C4,ASS1T4,ASS1G4,ASS1A4,ASS1S4,ASS2,ASS2C1,ASS2G1,ASS2A1,ASS2R1,ASS2S1,ASS2C2,ASS2G2,ASS2A2,ASS2R2,ASS2S2,ASS2C3,ASS2G3,ASS2A3,ASS2R3,ASS2S3,ASS2C4,ASS2G4,ASS2A4,ASS2R4,ASS2S4,ASS4,NASS4,ASS4C11,ASS4C21,ASS4C31,ASS4C41,ASS4CT1,ASS4G1,ASS4A1,ASS4D1,ASS4S1,ASS4C12,ASS4C22,ASS4C32,ASS4C42,ASS4CT2,ASS4G2,ASS4A2,ASS4D2,ASS4S2,ASS4C13,ASS4C23,ASS4C33,ASS4C43,ASS4CT3,ASS4G3,ASS4A3,ASS4D3,ASS4S3,ASS4C14,ASS4C24,ASS4C34,ASS4C44,ASS4CT4,ASS4G4,ASS4A4,ASS4D4,ASS4S4,ASS4RES,ASS4RES1,ASS4RES2,ASS4RES3,ASS4RES4,ASS3,ASS31,ASS32,ASS33,ASS34,ASS35,ASS36,ASS37,ASS38,ASS39,ASS310,ASS3S,ASS3RES,ASS3RE1,ASS3RE2,ASS3RE3,ASS3RE4,ASS3RE5,ASS3RE6,ASS3RE7,ASS3RE8,ASS3RE9,ASS3RE10
31658,1,2,1,1,88,2550,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31662,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31663,1,2,1,1,87,1000,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31664,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,1,1,1,,,,,1,85,10,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31665,2,,,,,0,,,,,,,,,,,,,,,,1,1,1,80,,1800,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31666,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31671,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,1,,,,,,,,50,2,,,,,,,,,,
31676,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,1,,,,,,,,700,2,,,,,,,,,,
31677,2,,,,,0,,,,,,,,,,,,,,,,1,1,1,94,61,2000,1,1,95,67,600,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31679,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31680,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31682,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31684,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31685,1,2,2,1,95,1800,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,,2,,,,,,,,,,
31686,1,2,2,1,92,1500,1,2,1,91,2000,,,,,,,,,,,1,3,1,92,18,800,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31687,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,150,2,,,,,,,,,,
31689,1,1,2,1,82,1000,,,,,,,,,,,,,,,,1,1,1,83,60,1500,2,1,88,60,1500,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,1,,,,,,,,2000,2,,,,,,,,,,
31690,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31692,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,1,,,,1,1,1,,1300,2,,,,,,,,,,
31693,1,1,2,4,91,500,,,,,,,,,,,,,,,,1,1,1,92,55,2000,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,1,1,,,350,2,,,,,,,,,,
31695,2,,,,,0,,,,,,,,,,,,,,,,1,2,1,93,39,1500,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,1,,,,1,1,,,700,2,,,,,,,,,,
31701,1,4,2,1,95,3000,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31704,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31705,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31707,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31708,1,1,2,1,88,1600,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31710,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31712,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31715,1,1,2,1,92,1200,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,1,1,,,200,2,,,,,,,,,,
31716,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,1,1,,,700,2,,,,,,,,,,
31717,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31723,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31724,2,,,,,0,,,,,,,,,,,,,,,,1,3,1,93,18,1200,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,1,,,,,,,,150,2,,,,,,,,,,
31725,1,1,2,1,88,2200,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31726,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31728,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,60,2,,,,,,,,,,
31733,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,1,1,,,800,2,,,,,,,,,,
31734,1,1,2,1,94,2000,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,,,,,900,2,,,,,,,,,,
31735,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,50,2,,,,,,,,,,
31736,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,,,,,95,2,,,,,,,,,,
31737,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31738,2,,,,,0,,,,,,,,,,,,,,,,1,1,1,90,50,5000,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31740,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31741,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31744,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31745,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31746,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31750,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,1,1,,,350,2,,,,,,,,,,
31751,1,1,2,1,95,600,2,2,1,95,600,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,,,,,80,2,,,,,,,,,,
31752,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,800,2,,,,,,,,,,
31757,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31760,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31762,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31768,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,1,1,,,1600,2,,,,,,,,,,
31781,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,1,1,,,250,2,,,,,,,,,,
31783,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31785,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,1,1,1,,4000,2,,,,,,,,,,
31790,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,1,1,1,,700,2,,,,,,,,,,
31791,2,,,,,0,,,,,,,,,,,,,,,,1,2,1,89,35,3200,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,1,1,,,486,2,,,,,,,,,,
31792,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31796,1,1,2,1,80,4000,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,,,,,600,2,,,,,,,,,,
31797,2,,,,,0,,,,,,,,,,,,,,,,1,2,2,89,63,2400,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,,,,,100,2,,,,,,,,,,
31798,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31799,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31801,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,1,1,,,,,1,2,90,15,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31815,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31816,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31855,1,1,2,1,90,419,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31856,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31859,1,1,1,1,80,600,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31860,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31864,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31866,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31868,1,1,2,2,95,1800,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31869,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31871,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31877,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31891,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,1,1,,,1000,2,,,,,,,,,,
31894,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,1,1,,,,,1,2,66,99,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31896,1,1,1,1,83,300,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31899,1,1,2,2,91,1000,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,1,1,1,,,,,1,90,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31903,2,,,,,0,,,,,,,,,,,,,,,,1,3,3,93,65,390,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31904,1,1,2,1,90,600,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31911,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,150,2,,,,,,,,,,
31912,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,1,1,,,150,2,,,,,,,,,,
31913,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,1,1,,,,,1,1,88,10,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,150,2,,,,,,,,,,
31914,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,1,1,1,2,,,,1,95,20,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,100,2,,,,,,,,,,
31915,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,170,2,,,,,,,,,,
31918,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,500,2,,,,,,,,,,
31921,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31923,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
31925,1,2,1,1,84,200,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
32001,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,1,350,2,,,,,,,,,,
32012,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
32014,1,1,2,1,85,1200,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,1,1,,,,,1,1,80,1,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,1,,,,,,,,4000,2,,,,,,,,,,
32015,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
32016,1,2,2,1,88,2000,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
32019,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,1,,,,,,,,100,2,,,,,,,,,,
32028,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,1,1,1,,,,,1,80,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,1,1,,,800,2,,,,,,,,,,
32031,2,,,,,0,,,,,,,,,,,,,,,,1,3,1,95,50,600,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,1,1,,,1400,2,,,,,,,,,,
32032,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
32033,2,,,,,0,,,,,,,,,,,,,,,,1,2,1,91,50,1050,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
32034,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
32041,1,1,2,1,86,1000,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,1,,,,,,,,400,2,,,,,,,,,,
32043,2,,,,,0,,,,,,,,,,,,,,,,1,2,1,86,,1200,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,1,,,,,,,,,200,2,,,,,,,,,,
32044,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,0,2,,,,,,,,,,
