NQUEST,DEPBANC,DEPBANR,DEPPOSC,DEPPOSR,NDEPBANC,NDEPBANR,NDEPPOSC,NDEPPOSR,IDEPBANC,IDEPBANR,IDEPPOSC,IDEPPOSR,UNABAN,BANCHE,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,TAXCC,TAXCC2,SCOPER,TSCOPER,ASSBAN,NASSBAN,ASSBANE1,ASSBANE2,ASSBANE3,PAGAM3U,PAGAM2U,PAGAM5U,PAGAM6U,MOTNAD1,MOTNAD2,MOTNAD3,MOTNAD4,MOTNAD5,MOTNAD6,MOTNAD7,MOTNAD8,MOTNAD9,PAGAM1U,PAGAM1,BONIFIE1,BONIFIE2,BONIFIE3,BANCOMAT,NBANCOMA,NPREL1,PRELMED1,BANCOME1,BANCOME2,BANCOME3,PAGAM4U,PAGAM4,POSE1,POSE2,POSE3,CARTA,CARTE,PCARTE,NPAGCART,CARTEE1,CARTEE2,CARTEE3,MINCON,NPREL2,PRELMED2,PRELE1,PRELE2,PRELE3,VERSAM,NVERS,VERSMED,VERSE1,VERSE2,VERSE3,PAGENT1,PAGENT2,PAGENT3,PAGENT4,PAGENT5,QPAGENT1,QPAGENT2,QPAGENT3,QPAGENT4,QPAGENT5,SCORTA,SPESECON
25,1,2,2,2,2,,,,2,,,,2,2,2,,,,1,,,,,,,6,,1,15000,1,4,,,,1,2,1,2,,,,,,,,,,1,2,,,,1,2,4,500,,,,1,0.25,,,,1,4,2,5,,,,50,2,1000,,,,1,8,1500,,,,1,1,1,2,2,10,80,10,0,0,500,2500
34,1,2,2,2,4,,,,4,,,,2,2,3,,1,,,,,,,1,,,6,1,25000,1,8,,,,1,2,2,1,,,,,,,,,,1,5,,,,1,2,2,300,,,,2,0,,,,2,0,0,,,,,200,3,1000,,,,1,3,2000,,,,1,1,1,2,2,19,80,1,0,0,500,4000
38,1,2,2,2,1,,,,1,,,,1,1,4,1,,,1,,,,,,,,6,2,0,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,0,4,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,50,0.0833333333,10000,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,200,800
123,1,1,2,2,1,1,,,2,2,,,1,1,4,1,,,,,,,,,,,6,1,10000,1,6,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,0.25,2000,,,,1,7,2000,,,,1,2,1,2,2,50,0,50,0,0,1000,2000
126,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,300,1500
173,1,2,2,2,1,,,,2,,,,1,1,3,,,,,,1,,,,,,2,1,5000,1,5,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,2,500,,,,2,0,,,,2,0,0,,,,,200,5,500,,,,1,20,2000,,,,2,1,2,2,2,0,100,0,0,0,500,3500
304,2,2,2,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,2,300,,,,1,12,1700,,,,1,2,2,2,2,100,0,0,0,0,600,1700
325,1,2,2,2,1,,,,1,,,,1,1,4,,,,,,1,,,,,,2,2,0,2,0,,,,2,2,2,2,0,0,0,1,0,0,1,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,2,500,,,,1,12,1000,,,,1,1,2,2,2,20,80,0,0,0,500,1000
375,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,700,1000
376,1,2,2,2,2,,,,2,,,,1,1,4,,,,,,,1,,,,7,,1,5000,1,,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,2,5,200,,,,2,0,,,,1,1,1,0,,,,50,1,600,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,300,2000
424,1,2,2,2,1,,,,1,,,,1,1,3,,,,,,1,,,,,,3,1,1500,1,3,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,0,,,,,2,0,,,,2,0,0,,,,,200,1,500,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,300,250
465,1,1,2,2,1,3,,,1,1,,,2,2,4,,,,,,1,,,,,7,,2,0,2,0,,,,2,2,2,2,0,0,0,0,0,0,1,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,800,1,2500,,,,2,0,,,,,1,1,2,2,2,90,10,0,0,0,500,2000
474,1,2,2,2,1,,,,1,,,,1,1,4,,1,,,1,,,,,,5,,2,0,1,1,,,,1,1,1,1,,,,,,,,,,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,50,2,500,,,,1,2,1500,,,,1,1,2,2,2,10,90,0,0,0,900,900
558,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,,1,,,,,4,2,0,1,0.4166666667,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,4,300,,,,2,0,,,,2,0,0,,,,,300,1,1600,,,,2,0,,,,,2,1,1,2,2,0,40,60,0,0,1000,2800
561,1,2,2,2,2,,,,3,,,,2,2,4,1,,,,,,,,,,,2,1,10000,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,1,1,1,0,,,,100,1,1000,,,,1,16,1500,,,,1,1,1,2,2,30,10,60,0,0,1000,1800
629,1,2,2,2,2,,,,3,,,,2,2,4,1,,,,,,,,,,,2,3,,2,0,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,1,1,1,500,,,,1,4,,,,2,0,0,,,,,100,0,,,,,2,0,,,,,2,2,1,2,2,0,0,100,0,0,800,1000
632,1,2,2,2,2,,,,3,,,,2,2,4,,,,,,,1,,,,,2,3,,1,1,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,2,2,300,,,,1,2,,,,2,0,0,,,,,400,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,400,2000
633,1,2,2,2,1,,,,2,,,,1,1,4,,1,,,,,,,,,,3,1,10000,1,3,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,1,1,0.5,,,,,2,0,,,,2,0,0,,,,,100,1,1000,,,,1,2,1500,,,,1,1,2,2,2,25,75,0,0,0,300,1200
686,1,2,2,2,1,,,,1,,,,1,1,4,1,,,,,,,,,,,6,2,0,1,1,,,,1,2,2,1,,,,,,,,,,2,0,,,,1,1,3,300,,,,2,0,,,,2,0,0,,,,,0,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,1000
701,1,1,2,2,1,1,,,2,1,,,1,1,4,1,,,,,,,,,,,3,2,0,2,0,,,,1,2,2,1,,,,,,,,,,2,0,,,,1,1,5,500,,,,2,0,,,,2,0,0,,,,,0,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,3000
823,1,2,2,2,1,,,,1,,,,1,1,4,1,,,,,,,,,,,4,2,0,1,,,,,2,2,1,2,0,0,0,0,0,0,0,0,2,2,0,,,,2,0,,,,,,,,,,,1,1,1,3,,,,1000,1,1000,,,,1,12,1500,,,,1,2,2,2,2,100,0,0,0,0,1000,800
824,1,1,2,2,1,1,,,2,2,,,1,1,4,1,,,,,,,,,,7,,3,,2,0,,,,2,2,2,2,0,0,0,0,0,0,0,0,4,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,400,,,,1,3,1000,,,,1,2,2,2,2,100,0,0,0,0,500,1000
905,1,1,2,2,1,1,,,2,2,,,1,1,4,,,,,,1,,,,,5,,2,0,1,0.3333333333,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,1,5,300,,,,2,0,,,,2,0,0,,,,,400,0.1666666667,2000,,,,1,3,2000,,,,1,1,2,2,2,60,40,0,0,0,1500,1700
912,2,1,2,2,,1,,,,1,,,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,0.25,400,,,,1,5,500,,,,1,2,1,2,2,30,0,70,0,0,600,1000
923,1,1,2,2,1,1,,,1,1,,,1,1,4,,1,,1,,,,,,,,6,1,3000,1,2,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,0.5,400,,,,1,6,1000,,,,1,1,2,2,2,75,25,0,0,0,500,600
1084,1,2,2,1,2,,,1,2,,,2,2,2,3,1,,,,,,1,,,,6,,1,2000,1,2,,,,2,2,2,2,0,1,0,0,0,0,0,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,500,2,1500,,,,1,10,1000,,,,1,1,1,2,2,20,70,10,0,0,1800,3500
1120,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,,1,,,,12,,1,30000,1,10,,,,1,2,1,1,,,,,,,,,,1,10,,,,1,2,3,500,,,,1,2,,,,1,1,1,2,,,,1000,2,500,,,,1,12,2000,,,,2,1,1,2,2,0,70,30,0,0,1000,1500
1137,2,1,2,2,,1,,,,1,,,1,1,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,1,300,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,1200,1000
1238,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,600,1200
1361,1,1,2,2,2,1,,,2,2,,,1,1,4,,,,,,,1,,,,,6,1,6000,1,15,,,,1,2,1,2,,,,,,,,,,1,2,,,,2,0,,,,,,,,,,,1,3,2,3,,,,500,0,,,,,1,2,2000,,,,2,1,2,2,2,0,100,0,0,0,600,5000
1367,2,1,2,2,,1,,,,1,,,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,1000,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,500,1000
1371,1,1,2,2,1,3,,,1,3,,,1,1,4,1,,,,,1,,,,,,2,2,0,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,500,1,1500,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,800,1600
1387,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,1000,1500
1391,2,1,2,2,,1,,,,2,,,1,1,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,200,400
1492,2,1,2,2,,2,,,,2,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,2,700,,,,1,14,1000,,,,1,2,2,2,2,100,0,0,0,0,900,1700
1742,1,2,2,2,2,,,,1,,,,1,1,3,,,,,,,,,,1,,3,3,,2,0,,,,2,2,2,2,0,1,0,0,0,0,0,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,1000,2,300,,,,1,7,300,,,,2,1,2,1,2,0,70,0,30,0,500,650
1750,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,1800,1800
1759,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,300,500
1762,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,0,0,0,100,0,600,300
1763,2,1,2,2,,1,,,,2,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1,500,,,,1,3,4000,,,,1,2,1,2,2,50,0,50,0,0,1000,1800
1817,1,2,2,2,1,,,,2,,,,1,1,4,1,,,,,,,,,,5,,2,0,1,1,,,,1,2,2,1,,,,,,,,,,2,0,,,,1,1,4,400,,,,2,0,,,,1,1,1,0,,,,100,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,400,2000
1826,1,1,2,2,1,1,,,2,1,,,1,1,4,1,,,,,,,,,,,1,3,,1,1,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,200,0.6666666667,600,,,,2,0,,,,,1,2,1,2,2,30,0,70,0,0,500,1000
1927,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,1,,,,,,3,1,20000,1,0.25,,,,1,2,2,2,,,,,,,,,,1,1,,,,1,1,3,500,,,,2,0,,,,2,0,0,,,,,300,0.3333333333,1000,,,,2,0,,,,,2,1,1,2,2,0,50,50,0,0,500,2000
1946,2,1,2,2,,3,,,,3,,,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,,,,,2,0,,,,,1,2,1,2,2,50,0,50,0,0,1500,3000
1953,1,1,2,2,1,1,,,2,2,,,1,1,4,,,,,,,1,,,,,3,1,,2,0,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,10,200,,,,2,0,,,,2,0,0,,,,,0,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,100,2000
1988,1,2,2,2,1,,,,1,,,,1,1,4,1,,,,,,,,,,,6,2,0,2,0,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,200,0,,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,400,800
1989,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,,1,,,,6,,2,0,1,0.25,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,800,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,1000
2178,1,2,2,2,2,,,,2,,,,2,2,4,,,,,,1,,,,,,3,1,,1,1,,,,1,2,1,1,,,,,,,,,,2,0,,,,1,2,1,200,,,,2,0,,,,1,2,2,0.6666666667,2,3,,100,0,,2,3,,1,1,700,2,3,,1,1,1,2,2,1,49,50,0,0,500,900
2274,2,2,2,1,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,0.1666666667,500,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,500,1500
2447,1,1,2,1,1,1,,1,1,1,,1,1,1,4,1,,,,,,,,,,6.3,,1,2000,1,2,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,1,1,4,300,,,,2,0,,,,2,0,0,,,,,100,1,350,,,,2,0,,,,,1,2,1,2,2,10,0,90,0,0,700,1600
2485,1,2,2,2,1,,,,1,,,,1,1,3,1,,,,,,,,,,,2,2,0,2,0,,,,2,2,2,2,0,0,0,1,0,0,0,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,3000,0,,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,300,500
2577,2,1,2,2,,1,,,,1,,,1,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1,500,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,1300,1500
2579,1,2,2,2,1,,,,1,,,,1,1,3,1,,,,,,,,,,,5,1,8000,1,3,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,2,600,,,,2,0,,,,,1,1,2,2,2,10,90,0,0,0,2000,1800
2866,2,1,2,1,,1,,1,,2,,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0.1666666667,3000,,,,1,4,1000,,,,1,2,1,2,2,80,0,20,0,0,1000,2000
2875,1,2,1,2,1,,1,,3,,1,,1,1,1,,1,,,,,,,,,7.5,,3,,2,0,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,500,,,,1,12,1000,,,,1,2,2,2,2,100,0,0,0,0,1000,3000
2886,1,2,1,1,1,,1,1,1,,1,2,1,1,3,,1,,,,,,,,,,2,3,,2,0,,,,2,2,2,2,0,0,0,0,0,0,0,0,1,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,2,500,,,,2,0,,,,,2,1,1,2,2,0,45,55,0,0,2000,3000
2963,2,1,2,2,,1,,,,2,,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0.5,300,,,,1,3,1000,,,,1,2,2,2,2,100,0,0,0,0,600,1500
2970,1,2,2,2,1,,,,1,,,,1,1,2,,,,1,,1,,,,,,6,2,0,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,1000,0.5,700,,,,1,7,2000,,,,1,2,1,2,2,50,0,50,0,0,800,1700
3078,2,1,2,1,,1,,1,,1,,1,1,1,4,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,2,0,,,,,1,2,1,2,2,70,0,30,0,0,2000,2000
3166,1,2,2,2,1,,,,2,,,,1,1,3,,,,,,,1,,,,,2,1,5000,2,0,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,200,1,2500,,,,2,0,,,,,1,1,2,2,2,16,84,0,0,0,800,2600
3193,1,1,2,2,1,1,,,1,2,,,1,1,3,,,,,,,,1,,,,6,1,5000,1,2,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,200,4,600,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,2000,2000
3203,1,2,2,2,1,,,,2,,,,1,1,4,,1,,,,,,,,,5.75,,1,2000,1,2,,,,1,2,1,2,,,,,,,,,,2,0,,,,1,1,6,400,,,,1,2,,,,1,1,1,0,,,,200,3,1000,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,3000
3204,1,2,2,2,2,,,,1,,,,2,2,3,,1,,,,,,,,,,2,1,3000,1,1,,,,1,2,2,1,,,,,,,,,,2,0,,,,1,2,3,300,,,,1,1,,,,2,0,0,,,,,30,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,200,800
3299,1,1,2,2,1,1,,,1,1,,,2,2,4,,,,,,,1,,,,,6,1,5000,2,0,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,5,500,,,,2,0,,,,2,0,0,,,,,100,0.1666666667,1300,,,,2,0,,,,,1,1,2,2,2,5,95,0,0,0,500,3000
3389,2,1,2,2,,1,,,,1,,,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,1,500,,,,1,3,1000,,,,1,2,2,2,2,100,0,0,0,0,600,1500
3663,2,1,2,2,,2,,,,2,,,2,2,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25,400,,,,1,3,400,,,,1,2,2,2,2,100,0,0,0,0,1000,2000
3717,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,1,,,,,,6,2,0,1,0.1666666667,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,50,0,,,,,1,12,250,,,,1,1,2,2,2,50,50,0,0,0,2500,2300
3905,1,2,2,2,1,,,,2,,,,1,1,3,1,,,,1,,,,,,,3,1,3000,1,1,,,,2,2,2,2,0,1,0,0,0,0,0,0,0,2,0,,,,1,1,3,500,,,,1,2,,,,2,0,0,,,,,500,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,1500,1500
4236,1,2,2,2,1,,,,1,,,,1,1,4,,,,,,,,,,1,,6,2,0,2,0,,,,1,2,2,2,,,,,,,,,,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,0,0,,,,,1,3,500,,,,1,2,2,2,2,100,0,0,0,0,300,400
4238,1,2,2,2,1,,,,2,,,,1,1,4,1,,,,,,,,,,,6,2,0,1,0.1666666667,,,,2,2,2,2,0,0,0,0,0,0,1,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,0,0,,,,,1,4,2000,,,,1,2,2,2,2,100,0,0,0,0,1200,1800
4266,1,2,2,2,1,,,,2,,,,1,1,4,1,,,,,,,,,,,1,2,0,1,0.4166666667,,,,1,2,2,2,,,,,,,,,,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,0.1666666667,,,,,1,3,1000,,,,1,2,2,2,2,100,0,0,0,0,1000,2000
4297,2,2,1,2,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,2,400,,,,1,3,400,,,,1,2,2,2,2,100,0,0,0,0,200,1100
4304,1,2,2,2,3,,,,3,,,,2,3,3,1,1,,,,,,,,,5,,2,0,1,2,2,,,1,1,2,2,,,,,,,,,,2,0,,,,1,2,3,300,2,,,1,0.0833333333,2,,,1,2,2,0.3333333333,2,,,300,1,300,,,,1,1,1400,2,,,2,1,1,2,2,0,50,50,0,0,700,1500
4370,1,2,2,2,3,,,,4,,,,2,3,4,,1,,,,,,,,,6.5,,1,10000,1,2,,,,1,2,2,1,,,,,,,,,,1,3,,,,1,2,6,500,,,,1,10,,,,2,0,0,,,,,50,0.1666666667,2000,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,400,2500
4507,1,2,2,2,1,,,,2,,,,1,1,3,,,,,,,,,,1,,2,1,,1,0.3333333333,,,,1,1,2,2,,,,,,,,,,1,3,,,,1,1,0,,,,,2,0,,,,2,0,0,,,,,500,2,500,,,,2,0,,,,,2,1,2,1,2,0,80,0,20,0,500,1000
4704,2,1,2,2,,1,,,,2,,,1,1,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,400,1000
4730,2,1,2,2,,1,,,,1,,,1,1,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,1000,1500
4732,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,1000,1500
4939,1,1,2,1,1,1,,1,1,2,,2,1,1,2,,1,,,,,,,,,5,,1,15000,2,0,,,,2,2,2,2,0,0,0,1,0,0,0,0,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,0.5,200,,,,2,0,,,,,1,2,1,2,2,80,0,20,0,0,500,1500
4941,1,2,2,2,1,,,,2,,,,1,1,4,1,,,,,,,,,,6,,1,5000,1,2,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,1000,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,1500
5027,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,100,900
5028,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,300,1800
5416,1,2,2,2,1,,,,2,,,,1,1,1,,1,,,1,,,,,,,6,1,1000,1,0.25,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,1,3,500,,,,1,1,,,,2,0,0,,,,,50,0,,,,,2,0,,,,,2,1,1,2,2,0,60,40,0,0,1200,2800
5686,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,900,1800
5697,1,2,2,1,1,,,1,1,,,1,1,1,4,,1,,,,,,,,,,2,1,10000,1,6,,,,2,2,2,2,0,0,0,0,0,0,1,0,0,1,10,,,,2,0,,,,,,,,,,,1,1,1,5,,,,200,1,1500,,,,1,4,800,,,,1,2,2,2,2,100,0,0,0,0,2000,2500
5816,2,1,2,2,,1,,,,2,,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,2,0,,,,,1,2,2,2,2,100,0,0,0,0,900,1900
6013,2,1,2,2,,1,,,,1,,,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,500,,,,1,2,1300,,,,1,2,2,2,2,100,0,0,0,0,200,400
6090,2,1,2,2,,1,,,,1,,,1,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0.3333333333,500,,,,1,6,700,,,,1,2,2,2,2,100,0,0,0,0,1500,700
6107,1,1,2,2,1,2,,,1,2,,,1,1,4,,1,,1,,,,,,,,2,1,4000,1,2,,,,2,2,2,2,0,0,0,0,0,0,0,0,3,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,250,,,,1,12,500,,,,2,2,1,2,2,0,0,100,0,0,350,1500
6110,1,2,2,2,1,,,,2,,,,1,1,4,,1,,,,,1,,,,7.5,,2,0,1,0.4166666667,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,0.25,300,,,,2,0,,,,2,0,0,,,,,100,4,600,,,,1,2,1500,,,,1,1,1,2,2,20,20,60,0,0,2000,4500
6501,1,2,2,2,2,,,,3,,,,1,1,1,,1,,,,,,,,,,6,1,4000,1,3,3,,,2,2,1,2,0,0,0,0,0,0,1,1,0,2,0,,,,1,2,2,350,3,,,1,0.3333333333,3,,,1,1,1,1,,,,400,1,500,3,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,1500
6522,1,1,2,2,2,1,,,2,1,,,2,2,3,,,,,,,1,,,,,6,2,0,2,0,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,200,2,350,,,,1,13,1400,,,,1,2,2,2,2,100,0,0,0,0,500,1000
7015,1,2,2,2,2,,,,2,,,,1,1,4,,,,,,,,,,1,,6,2,0,1,3,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,1,1,300,,,,1,,,,,2,0,0,,,,,10,1,300,,,,1,10,1000,,,,1,2,1,2,2,50,0,50,0,0,500,1500
