NQUEST,DEPBANC,DEPBANR,DEPPOSC,DEPPOSR,NDEPBANC,NDEPBANR,NDEPPOSC,NDEPPOSR,IDEPBANC,IDEPBANR,IDEPPOSC,IDEPPOSR,UNABAN,BANCHE,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,TAXCC,TAXCC2,SCOPER,TSCOPER,ASSBAN,NASSBAN,ASSBANE1,ASSBANE2,ASSBANE3,PAGAM3U,PAGAM2U,PAGAM5U,PAGAM6U,MOTNAD1,MOTNAD2,MOTNAD3,MOTNAD4,MOTNAD5,MOTNAD6,MOTNAD7,MOTNAD8,MOTNAD9,PAGAM1U,PAGAM1,BONIFIE1,BONIFIE2,BONIFIE3,BANCOMAT,NBANCOMA,NPREL1,PRELMED1,BANCOME1,BANCOME2,BANCOME3,PAGAM4U,PAGAM4,POSE1,POSE2,POSE3,CARTA,CARTE,PCARTE,NPAGCART,CARTEE1,CARTEE2,CARTEE3,MINCON,NPREL2,PRELMED2,PRELE1,PRELE2,PRELE3,VERSAM,NVERS,VERSMED,VERSE1,VERSE2,VERSE3,PAGENT1,PAGENT2,PAGENT3,PAGENT4,PAGENT5,QPAGENT1,QPAGENT2,QPAGENT3,QPAGENT4,QPAGENT5,SCORTA,SPESECON
337019,1,1,2,2,3,1,,,6,1,,,2,3,3,,,,,,,,,,1,4,,1,20000,1,10,,,,1,1,2,1,,,,,,,,,,2,0,,,,1,2,6,200,,,,1,5,,,,1,1,1,1,,,,50,0.3333333333,1000,,,,1,5,2000,,,,1,1,1,2,2,10,20,70,0,0,150,1800
337031,1,2,2,2,2,,,,2,,,,1,1,4,,1,,,,1,,,,,5,,2,0,1,0.25,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,2,4,400,,,,2,0,,,,2,0,0,,,,,50,0.1666666667,500,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,2500
337032,1,1,2,2,1,1,,,1,2,,,2,2,5,,,,,,,,,,1,,2,2,0,2,0,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,50,1,900,,,,1,4,1000,,,,1,2,2,2,2,100,0,0,0,0,800,1400
337037,1,2,2,2,1,,,,1,,,,1,1,4,,1,,,,1,,,,,,3,2,0,1,0.5,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,2,500,,,,2,0,,,,1,1,1,0,,,,100,0.5,1500,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,1700
337041,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,,1,,,,6,,2,0,2,0,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,1300,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,700,1300
337046,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,1,,,,,,6,2,0,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,1800,,,,2,0,,,,,1,1,2,2,2,30,70,0,0,0,900,1800
337051,1,1,2,2,1,1,,,2,2,,,1,1,3,,1,,,,,,,,,,6,2,0,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,1,4,300,,,,2,0,,,,2,0,0,,,,,100,1,1000,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,800,2000
337054,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,,1,,,,8,,1,5000,1,0.3333333333,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,1,3,500,,,,1,0.6666666667,,,,1,1,1,0,,,,100,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,600,1800
337070,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,,,,,1,7,,1,2000,1,0.5,,,,1,2,2,2,,,,,,,,,,2,0,,,,1,1,10,200,,,,1,0.25,,,,2,0,0,,,,,50,1,500,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,300,3000
337071,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,250,500
